,at,what,time,is,the,harvard-yale,rivalry,set,aside,?
this,0.32544323801994324,0.5489566326141357,0.43249568343162537,0.480927973985672,0.6274310946464539,0.25573021173477173,0.14387160539627075,0.2594413459300995,0.3187416195869446,0.3155723512172699
rivalry,0.20766015350818634,0.16695702075958252,0.22622457146644592,0.1551303267478943,0.227608323097229,0.25263747572898865,1.0,0.08251693844795227,0.18260006606578827,0.09352650493383408
",",0.38314947485923767,0.3087472915649414,0.3029961884021759,0.4691906273365021,0.4933079481124878,0.3242632746696472,0.2185443490743637,0.24912182986736298,0.2501535415649414,0.31091248989105225
though,0.25611546635627747,0.4089210331439972,0.37636545300483704,0.3265945613384247,0.38776206970214844,0.25171616673469543,0.20745955407619476,0.14302723109722137,0.40837812423706055,0.3188856542110443
",",0.38314947485923767,0.3087472915649414,0.3029961884021759,0.4691906273365021,0.4933079481124878,0.3242632746696472,0.2185443490743637,0.24912182986736298,0.2501535415649414,0.31091248989105225
is,0.25906258821487427,0.28837618231773376,0.25187405943870544,1.0,0.5823672413825989,0.19314062595367432,0.1551303267478943,0.21148966252803802,0.28022003173828125,0.22961433231830597
put,0.27680331468582153,0.3330543637275696,0.31336086988449097,0.22724464535713196,0.34150463342666626,0.15094557404518127,0.07510083168745041,0.35009077191352844,0.3016390800476074,0.2993032932281494
aside,0.25525757670402527,0.3208533823490143,0.3076646625995636,0.28022003173828125,0.3075125813484192,0.2160111367702484,0.18260006606578827,0.28092122077941895,1.0,0.27202221751213074
every,0.3021482229232788,0.30284011363983154,0.3758189380168915,0.3428492546081543,0.4023689329624176,0.15253692865371704,0.06037721782922745,0.24496085941791534,0.23160749673843384,0.24066033959388733
two,0.32178381085395813,0.23363454639911652,0.33960169553756714,0.2315155267715454,0.43858039379119873,0.2500400245189667,0.28480735421180725,0.2889789044857025,0.2491540163755417,0.19645625352859497
years,0.2851444482803345,0.1981470286846161,0.42289087176322937,0.19551363587379456,0.2912273406982422,0.223507821559906,0.18109504878520966,0.12029954791069031,0.1482386291027069,0.1914375126361847
when,0.38876327872276306,0.4700249433517456,0.4363728165626526,0.3471449911594391,0.5091903209686279,0.2686282992362976,0.23098789155483246,0.26233336329460144,0.3343954086303711,0.22841128706932068
the,0.457212895154953,0.42745697498321533,0.43061500787734985,0.5823672413825989,1.0,0.2795542776584625,0.227608323097229,0.2927955985069275,0.3075125813484192,0.22068053483963013
harvard,0.2837338149547577,0.2177114188671112,0.22181284427642822,0.15387701988220215,0.24496200680732727,0.9378097653388977,0.21891222894191742,0.15199953317642212,0.16736337542533875,0.11685016006231308
and,0.3571503460407257,0.31309178471565247,0.3025408685207367,0.3859752118587494,0.5171257257461548,0.3160947561264038,0.2228763997554779,0.27649927139282227,0.2829201817512512,0.20544172823429108
yale,0.2639341950416565,0.1766820251941681,0.16812406480312347,0.0664043128490448,0.20174992084503174,0.7282413840293884,0.22918877005577087,0.15580622851848602,0.20872436463832855,0.1444430649280548
track,0.2173493355512619,0.17872828245162964,0.2308332324028015,0.1642182618379593,0.22914014756679535,0.14295649528503418,0.1428212672472,0.10521495342254639,0.21622997522354126,0.11461397260427475
and,0.3571503460407257,0.31309178471565247,0.3025408685207367,0.3859752118587494,0.5171257257461548,0.3160947561264038,0.2228763997554779,0.27649927139282227,0.2829201817512512,0.20544172823429108
field,0.190035879611969,0.1825202852487564,0.18107864260673523,0.17269009351730347,0.2105809599161148,0.17066988348960876,0.12382875382900238,0.1578865945339203,0.1376171112060547,0.11279727518558502
teams,0.25427719950675964,0.16624371707439423,0.2633274793624878,0.1845376342535019,0.3164927661418915,0.20182937383651733,0.3709959089756012,0.20154184103012085,0.20987631380558014,0.11150168627500534
come,0.17376890778541565,0.39461299777030945,0.21778681874275208,0.25866594910621643,0.36020293831825256,0.14895477890968323,0.12240447103977203,0.2756274342536926,0.2907200753688812,0.22318024933338165
together,0.22121661901474,0.22179445624351501,0.22052262723445892,0.1995578110218048,0.26662585139274597,0.1555176079273224,0.17139832675457,0.19907422363758087,0.20129023492336273,0.1690303236246109
to,0.36524343490600586,0.455847829580307,0.3679993152618408,0.42745086550712585,0.535392165184021,0.26238197088241577,0.18505331873893738,0.320547491312027,0.34527090191841125,0.29463258385658264
