,what,did,tesla,incorrectly,believe,about,x-rays,?
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.15456973016262054,0.12789246439933777,0.16756023466587067,0.08711525052785873,0.10250775516033173
incorrectly,0.31678348779678345,0.24892723560333252,0.15456973016262054,1.0000001192092896,0.23850460350513458,0.2136545330286026,0.23542539775371552,0.26326921582221985
believed,0.32626157999038696,0.3807709813117981,0.08292704075574875,0.1859426200389862,0.6664041876792908,0.32789143919944763,0.23632803559303284,0.17606885731220245
that,0.6297725439071655,0.47518548369407654,0.22102725505828857,0.4147404730319977,0.533393383026123,0.4500710964202881,0.36275678873062134,0.32716336846351624
x-rays,0.28683120012283325,0.26103267073631287,0.08711525052785873,0.23542539775371552,0.3324217200279236,0.1766219288110733,1.0,0.21474985778331757
were,0.22298263013362885,0.4162326455116272,0.1222306564450264,0.21067921817302704,0.258294016122818,0.29814305901527405,0.21197013556957245,0.17890112102031708
longitudinal,0.19673603773117065,0.11872222274541855,0.2347162812948227,0.2680243253707886,0.11444370448589325,0.14121171832084656,0.3154368996620178,0.13119269907474518
waves,0.2342342883348465,0.21477559208869934,0.17720945179462433,0.18146704137325287,0.14248034358024597,0.17323917150497437,0.4041098654270172,0.1603909134864807
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2827083468437195,0.2459280639886856,0.3877100944519043,0.252806156873703,0.31091248989105225
such,0.23989605903625488,0.24497397243976593,0.08131318539381027,0.2229447364807129,0.23928195238113403,0.24973522126674652,0.2885226905345917,0.17851735651493073
as,0.31749409437179565,0.3596470057964325,0.10285310447216034,0.29858672618865967,0.26277852058410645,0.2989700436592102,0.23434855043888092,0.27043893933296204
those,0.44466671347618103,0.38519078493118286,0.1426512598991394,0.2616090178489685,0.38271039724349976,0.3491712808609009,0.3058631122112274,0.3328189253807068
produced,0.1393624097108841,0.16971632838249207,0.1640479862689972,0.0782807320356369,0.16552899777889252,0.23117507994174957,0.1310337483882904,0.1623450517654419
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.22720305621623993,0.20806841552257538,0.39797019958496094,0.20745372772216797,0.20430970191955566
waves,0.2342342883348465,0.21477559208869934,0.17720945179462433,0.18146704137325287,0.14248034358024597,0.17323917150497437,0.4041098654270172,0.1603909134864807
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.22720305621623993,0.20806841552257538,0.39797019958496094,0.20745372772216797,0.20430970191955566
plasmas,0.20649421215057373,0.14837421476840973,0.2856793701648712,0.20322753489017487,0.2569972574710846,0.16933360695838928,0.38939815759658813,0.19674822688102722
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.25340399146080017,0.26988279819488525,0.42038556933403015,0.2065625637769699,0.4130953550338745
