,who,provided,a,philosophical,discussion,of,force,?
aristotle,0.25860172510147095,0.16868562996387482,0.17548255622386932,0.541797935962677,0.2564440667629242,0.22867590188980103,0.14170260727405548,0.129203200340271
provided,0.18789203464984894,1.0,0.20476344227790833,0.22918646037578583,0.20493240654468536,0.272808313369751,0.1915862262248993,0.16893617808818817
a,0.36608949303627014,0.20476344227790833,1.0,0.22680945694446564,0.20356562733650208,0.5052502155303955,0.2451154738664627,0.23916715383529663
philosophical,0.23016059398651123,0.22918646037578583,0.22680945694446564,0.9999999403953552,0.25125595927238464,0.2655055820941925,0.19213838875293732,0.18311575055122375
discussion,0.24412761628627777,0.20493240654468536,0.20356562733650208,0.25125595927238464,1.0000001192092896,0.1657310128211975,0.17159447073936462,0.3569658696651459
of,0.2827862501144409,0.272808313369751,0.5052502155303955,0.2655055820941925,0.1657310128211975,1.0,0.27094775438308716,0.1826142966747284
the,0.3733934462070465,0.304488867521286,0.5829201340675354,0.23365144431591034,0.2391178160905838,0.733189046382904,0.2800885736942291,0.22068053483963013
concept,0.2084418535232544,0.3106559216976166,0.29586365818977356,0.38474220037460327,0.2701486647129059,0.24082158505916595,0.17681357264518738,0.17160645127296448
of,0.2827862501144409,0.272808313369751,0.5052502155303955,0.2655055820941925,0.1657310128211975,1.0,0.27094775438308716,0.1826142966747284
a,0.36608949303627014,0.20476344227790833,1.0,0.22680945694446564,0.20356562733650208,0.5052502155303955,0.2451154738664627,0.23916715383529663
force,0.19492056965827942,0.1915862262248993,0.2451154738664627,0.19213838875293732,0.17159447073936462,0.27094775438308716,1.0000001192092896,0.1650998443365097
as,0.3923053741455078,0.2797299921512604,0.39550232887268066,0.25284242630004883,0.3871479630470276,0.3886612355709076,0.19216643273830414,0.27043893933296204
an,0.2848317325115204,0.24971148371696472,0.44552403688430786,0.19435417652130127,0.2355094999074936,0.32280945777893066,0.21655116975307465,0.19793890416622162
integral,0.11453980952501297,0.15216557681560516,0.263979434967041,0.3272996246814728,0.23447175323963165,0.2775067985057831,0.24277755618095398,0.1463361233472824
part,0.19576206803321838,0.2151065170764923,0.3994528353214264,0.18924829363822937,0.1579064577817917,0.452393114566803,0.15120939910411835,0.08557961881160736
of,0.2827862501144409,0.272808313369751,0.5052502155303955,0.2655055820941925,0.1657310128211975,1.0,0.27094775438308716,0.1826142966747284
aristotelian,0.31525078415870667,0.1894310712814331,0.2305297553539276,0.5880743265151978,0.2468627393245697,0.2504543960094452,0.16038300096988678,0.15906864404678345
cosmology,0.1370525360107422,0.18154965341091156,0.17835034430027008,0.5117227435112,0.2427833378314972,0.24150876700878143,0.2649409770965576,0.19752520322799683
.,0.3541337847709656,0.22066283226013184,0.50484299659729,0.20125450193881989,0.24966099858283997,0.5352458953857422,0.2783275842666626,0.4130953550338745
