,who,discovered,the,compton,effect,?
a.,0.0677177682518959,0.07423742860555649,-0.06011331453919411,0.06559522449970245,-0.0017456590430811048,0.04165230318903923
michelson,0.27096688747406006,0.3111598491668701,0.20293888449668884,0.28564900159835815,0.26322904229164124,0.1441011279821396
",",0.3365725874900818,0.26185235381126404,0.4933079481124878,0.3501780331134796,0.2150653600692749,0.31091248989105225
elementary,0.15313595533370972,0.22396966814994812,0.1842510998249054,0.2518664598464966,0.1949455589056015,0.14365358650684357
charge,0.2713773250579834,0.1781131774187088,0.2730984687805176,0.2048386037349701,0.1887214332818985,0.0958876758813858
calculator,0.2052597850561142,0.21840853989124298,0.1913321614265442,0.15416863560676575,0.20327667891979218,0.19662337005138397
robert,0.2748492956161499,0.19355733692646027,0.2257954627275467,0.2776830494403839,0.12703414261341095,0.11293095350265503
a.,0.0677177682518959,0.07423742860555649,-0.06011331453919411,0.06559522449970245,-0.0017456590430811048,0.04165230318903923
millikan,0.27059006690979004,0.26897090673446655,0.24676664173603058,0.3602205514907837,0.13154837489128113,0.1613718867301941
",",0.3365725874900818,0.26185235381126404,0.4933079481124878,0.3501780331134796,0.2150653600692749,0.31091248989105225
discoverer,0.21377472579479218,0.8391703963279724,0.23508000373840332,0.27959007024765015,0.2506430149078369,0.13923315703868866
of,0.2827862501144409,0.22074753046035767,0.733189046382904,0.2335338592529297,0.24129827320575714,0.1826142966747284
the,0.3733934462070465,0.27493247389793396,1.0,0.2691735029220581,0.2865084111690521,0.22068053483963013
compton,0.15395206212997437,0.16553467512130737,0.2691735029220581,0.9999998807907104,0.2685645520687103,0.20586760342121124
effect,0.18047219514846802,0.22915761172771454,0.2865084111690521,0.2685645520687103,1.0,0.1783771812915802
arthur,0.19130396842956543,0.14926384389400482,0.19352269172668457,0.24370840191841125,0.14682331681251526,0.16990946233272552
h.,-0.20266836881637573,-0.017117446288466454,-0.10884115099906921,-0.13132381439208984,-0.10735254734754562,-0.10847286134958267
compton,0.15395206212997437,0.16553467512130737,0.2691735029220581,0.9999998807907104,0.2685645520687103,0.20586760342121124
",",0.3365725874900818,0.26185235381126404,0.4933079481124878,0.3501780331134796,0.2150653600692749,0.31091248989105225
the,0.3733934462070465,0.27493247389793396,1.0,0.2691735029220581,0.2865084111690521,0.22068053483963013
creator,0.25051745772361755,0.16304469108581543,0.20919115841388702,0.1915149688720703,0.22184647619724274,0.2028008997440338
of,0.2827862501144409,0.22074753046035767,0.733189046382904,0.2335338592529297,0.24129827320575714,0.1826142966747284
the,0.3733934462070465,0.27493247389793396,1.0,0.2691735029220581,0.2865084111690521,0.22068053483963013
first,0.39065709710121155,0.27240344882011414,0.49448907375335693,0.22236625850200653,0.2410399615764618,0.18701928853988647
nuclear,0.1059286817908287,0.21062715351581573,0.23911187052726746,0.14268939197063446,0.22988182306289673,0.1865687519311905
reactor,0.15813225507736206,0.2789662480354309,0.25504618883132935,0.11808683723211288,0.24804888665676117,0.1394413560628891
enrico,0.19534245133399963,0.17401345074176788,0.16877995431423187,0.256621778011322,0.14822088181972504,0.13077311217784882
fermi,0.18591725826263428,0.287604957818985,0.18884438276290894,0.25254589319229126,0.2517238259315491,0.16229401528835297
