,where,did,he,begin,teaching,?
he,0.3705328106880188,0.3292143940925598,1.0000001192092896,0.19861583411693573,0.33855196833610535,0.2089974731206894
started,0.1391441971063614,0.3904789686203003,0.29536134004592896,0.44906386733055115,0.30907848477363586,0.19447724521160126
teaching,0.24929308891296387,0.27443423867225647,0.33855196833610535,0.1990741342306137,1.0000001192092896,0.20424684882164001
in,0.5344807505607605,0.2593238651752472,0.41690486669540405,0.2903634011745453,0.2659059166908264,0.20430970191955566
rotterdam,0.20951880514621735,0.1776346117258072,0.26031622290611267,0.1274641752243042,0.14092528820037842,0.10616995394229889
",",0.3149496018886566,0.3015086054801941,0.40251094102859497,0.27304404973983765,0.2547089457511902,0.31091248989105225
where,0.9999999403953552,0.24159270524978638,0.3705328106880188,0.2661099433898926,0.24929308891296387,0.24793872237205505
he,0.3705328106880188,0.3292143940925598,1.0000001192092896,0.19861583411693573,0.33855196833610535,0.2089974731206894
finished,0.2530268728733063,0.34182655811309814,0.3540959358215332,0.32672205567359924,0.19306375086307526,0.14789283275604248
writing,0.23036018013954163,0.2745545208454132,0.30022892355918884,0.18820720911026,0.4928555190563202,0.21497225761413574
and,0.43859338760375977,0.34479495882987976,0.45427167415618896,0.2599445581436157,0.2573738694190979,0.20544172823429108
publishing,0.17021392285823822,0.12893380224704742,0.1800776869058609,0.15830576419830322,0.3397618234157562,0.11419087648391724
his,0.29880598187446594,0.3546801507472992,0.7171558737754822,0.22923272848129272,0.3326769769191742,0.18075084686279297
multi-volume,0.19380410015583038,0.14211776852607727,0.12818147242069244,0.14860086143016815,0.1900082379579544,0.172145277261734
masterpiece,0.12125606834888458,0.24979044497013092,0.3061964511871338,0.10164083540439606,0.2793865203857422,0.21904873847961426
",",0.3149496018886566,0.3015086054801941,0.40251094102859497,0.27304404973983765,0.2547089457511902,0.31091248989105225
historical,0.18827399611473083,0.1825733780860901,0.17063020169734955,0.11327049136161804,0.17481514811515808,0.1665111482143402
and,0.43859338760375977,0.34479495882987976,0.45427167415618896,0.2599445581436157,0.2573738694190979,0.20544172823429108
critical,0.16375091671943665,0.26059970259666443,0.20864836871623993,0.09513763338327408,0.2535470426082611,0.2388133704662323
dictionary,0.1384187638759613,0.14636196196079254,0.19176483154296875,0.13872896134853363,0.2755412459373474,0.229842871427536
.,0.41390106081962585,0.35288307070732117,0.38061028718948364,0.24827922880649567,0.26479530334472656,0.4130953550338745
