,where,is,corporal,punishment,no,longer,practiced,?
in,0.5344807505607605,0.5394441485404968,0.15530824661254883,0.19258901476860046,0.24372287094593048,0.2513541877269745,0.290182888507843,0.20430970191955566
past,0.30310556292533875,0.2206672728061676,0.09031546860933304,0.19864968955516815,0.2025964856147766,0.3097236156463623,0.24666385352611542,0.2598046660423279
times,0.27159053087234497,0.21773184835910797,0.11097025871276855,0.1198979988694191,0.1766861081123352,0.2413749098777771,0.1534019559621811,0.18880689144134521
",",0.3149496018886566,0.4691906273365021,0.2217067927122116,0.2216428816318512,0.29972612857818604,0.2897856831550598,0.24787157773971558,0.31091248989105225
corporal,0.15824675559997559,0.13202491402626038,1.0,0.34936437010765076,0.16026671230793,0.1808101087808609,0.12221571803092957,0.1554132103919983
punishment,0.2222001552581787,0.22508563101291656,0.34936437010765076,1.0000001192092896,0.2609685957431793,0.26766490936279297,0.2530534863471985,0.23842233419418335
(,0.1970011591911316,0.35393038392066956,0.19582751393318176,0.11360079050064087,0.28322693705558777,0.21640412509441376,0.057768888771533966,0.40561532974243164
spanking,0.24493294954299927,0.25664258003234863,0.3001009523868561,0.3597797155380249,0.2934151291847229,0.2839144468307495,0.22892533242702484,0.3340514600276947
or,0.3651050925254822,0.41870999336242676,0.1871897280216217,0.23232755064964294,0.36535751819610596,0.3673054277896881,0.21259965002536774,0.32389625906944275
paddling,0.3141878843307495,0.24964402616024017,0.19708269834518433,0.16248978674411774,0.18041770160198212,0.2802756130695343,0.2611953914165497,0.17293263971805573
or,0.3651050925254822,0.41870999336242676,0.1871897280216217,0.23232755064964294,0.36535751819610596,0.3673054277896881,0.21259965002536774,0.32389625906944275
caning,0.23815108835697174,0.28356894850730896,0.25296467542648315,0.26914817094802856,0.2930595874786377,0.3802533447742462,0.21664857864379883,0.19453231990337372
or,0.3651050925254822,0.41870999336242676,0.1871897280216217,0.23232755064964294,0.36535751819610596,0.3673054277896881,0.21259965002536774,0.32389625906944275
strapping,0.2801304757595062,0.18959467113018036,0.32348138093948364,0.23771212995052338,0.2223755121231079,0.27061837911605835,0.20619875192642212,0.18098504841327667
or,0.3651050925254822,0.41870999336242676,0.1871897280216217,0.23232755064964294,0.36535751819610596,0.3673054277896881,0.21259965002536774,0.32389625906944275
birching,0.2674039900302887,0.22646471858024597,0.23979590833187103,0.1903134435415268,0.16702744364738464,0.19378305971622467,0.23643358051776886,0.14374473690986633
the,0.5003893971443176,0.5823672413825989,0.22063873708248138,0.2503047287464142,0.3461136817932129,0.361417293548584,0.20430389046669006,0.22068053483963013
student,0.2537801265716553,0.18911804258823395,0.1457492709159851,0.14649443328380585,0.1296563446521759,0.10690734535455704,0.28158143162727356,0.13282090425491333
in,0.5344807505607605,0.5394441485404968,0.15530824661254883,0.19258901476860046,0.24372287094593048,0.2513541877269745,0.290182888507843,0.20430970191955566
order,0.16017383337020874,0.19403748214244843,0.14793835580348969,0.1545315384864807,0.11427950859069824,0.20495004951953888,0.1409212350845337,0.13725648820400238
to,0.47735077142715454,0.42745086550712585,0.15775661170482635,0.208286851644516,0.30015695095062256,0.3737102746963501,0.21371574699878693,0.29463258385658264
cause,0.269110769033432,0.218277707695961,0.08071175217628479,0.2746908664703369,0.2623012065887451,0.25213155150413513,0.11038893461227417,0.240532785654068
physical,0.2050417959690094,0.16296368837356567,0.1911938488483429,0.28574132919311523,0.2349822074174881,0.17156073451042175,0.2441222071647644,0.11781801283359528
pain,0.21413959562778473,0.13863739371299744,0.21623079478740692,0.38484957814216614,0.22703750431537628,0.250721275806427,0.2653510868549347,0.2135392427444458
),0.20711064338684082,0.37732169032096863,0.18031108379364014,0.12738631665706635,0.28349557518959045,0.22194087505340576,0.08069722354412079,0.42300865054130554
was,0.20731619000434875,0.5810302495956421,0.19440697133541107,0.2287234514951706,0.19955526292324066,0.23075184226036072,0.2840479016304016,0.18412111699581146
one,0.3907615840435028,0.4544198513031006,0.16331841051578522,0.24502627551555634,0.32319608330726624,0.3692637085914612,0.17683936655521393,0.2673267424106598
of,0.38066378235816956,0.4854315221309662,0.18547691404819489,0.2056395560503006,0.24809792637825012,0.2788179814815521,0.24753569066524506,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,0.22063873708248138,0.2503047287464142,0.3461136817932129,0.361417293548584,0.20430389046669006,0.22068053483963013
most,0.3678402900695801,0.41165053844451904,0.11076462268829346,0.17340581119060516,0.23710472881793976,0.32448020577430725,0.27223408222198486,0.2107497900724411
common,0.21611684560775757,0.2952355444431305,0.09633602201938629,0.15432219207286835,0.18077169358730316,0.21520733833312988,0.23516297340393066,0.20434872806072235
forms,0.20930740237236023,0.35419854521751404,0.18189074099063873,0.19027894735336304,0.19378797709941864,0.22657708823680878,0.2480679154396057,0.1196754202246666
of,0.38066378235816956,0.4854315221309662,0.18547691404819489,0.2056395560503006,0.24809792637825012,0.2788179814815521,0.24753569066524506,0.1826142966747284
school,0.23611775040626526,0.19488026201725006,0.19004926085472107,0.17317719757556915,0.10638468712568283,0.08852586150169373,0.3399204909801483,0.15091250836849213
discipline,0.18621642887592316,0.13422119617462158,0.22956888377666473,0.3168984055519104,0.15806227922439575,0.11205767840147018,0.4497995674610138,0.06836310029029846
throughout,0.34492164850234985,0.2639545500278473,0.17230194807052612,0.17425307631492615,0.09844379127025604,0.25044766068458557,0.31893396377563477,0.12665234506130219
much,0.30434560775756836,0.3156087100505829,0.09599950909614563,0.2709479331970215,0.3037329912185669,0.49878668785095215,0.2108297497034073,0.23442231118679047
of,0.38066378235816956,0.4854315221309662,0.18547691404819489,0.2056395560503006,0.24809792637825012,0.2788179814815521,0.24753569066524506,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,0.22063873708248138,0.2503047287464142,0.3461136817932129,0.361417293548584,0.20430389046669006,0.22068053483963013
world,0.29259413480758667,0.24458536505699158,0.15341432392597198,0.13142745196819305,0.16245347261428833,0.20128639042377472,0.2596152126789093,0.17579582333564758
.,0.41390106081962585,0.4569662809371948,0.23281329870224,0.24320337176322937,0.35224834084510803,0.3278593122959137,0.18644404411315918,0.4130953550338745
