,evidence,for,what,types,of,structures,were,found,in,2003,?
among,0.19811923801898956,0.2832789719104767,0.21154822409152985,0.23137356340885162,0.3679063022136688,0.17158143222332,0.35641026496887207,0.25090909004211426,0.3211768567562103,-0.07794395089149475,0.14343059062957764
those,0.3174431025981903,0.3446582555770874,0.44466671347618103,0.3695797026157379,0.37935635447502136,0.26791271567344666,0.5048789978027344,0.27531328797340393,0.3419301211833954,-0.1726856678724289,0.3328189253807068
were,0.2598854601383209,0.33592689037323,0.22298263013362885,0.2674507200717926,0.34038281440734863,0.21121425926685333,1.0000001192092896,0.23296621441841125,0.3815755248069763,-0.16775040328502655,0.17890112102031708
evidence,1.0,0.2610411047935486,0.33425694704055786,0.22054916620254517,0.2471507489681244,0.26872482895851135,0.2598854601383209,0.35958874225616455,0.16157563030719757,-0.13938084244728088,0.24151235818862915
of,0.2471507489681244,0.4185989499092102,0.33290785551071167,0.2447618544101715,1.0,0.2804560363292694,0.34038281440734863,0.2982911467552185,0.5696388483047485,-0.16871118545532227,0.1826142966747284
roads,0.1677323579788208,0.23180420696735382,0.19353218376636505,0.19273535907268524,0.25521090626716614,0.35707488656044006,0.282254159450531,0.1733407974243164,0.22915449738502502,-0.10190317034721375,0.17565645277500153
",",0.2751304507255554,0.4464869201183319,0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2790010869503021,0.36755475401878357,0.27385151386260986,0.5201468467712402,-0.21511344611644745,0.31091248989105225
bridges,0.06707897037267685,0.17417870461940765,0.11543038487434387,0.1934739649295807,0.192562535405159,0.3694998025894165,0.24466869235038757,0.11849036812782288,0.2303333431482315,-0.060707468539476395,0.15265579521656036
and,0.25004807114601135,0.5064792633056641,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.29943612217903137,0.42175528407096863,0.27978911995887756,0.4954058527946472,-0.15655243396759033,0.20544172823429108
large,0.21318770945072174,0.22967137396335602,0.2017821967601776,0.3101576864719391,0.3569655418395996,0.3397938311100006,0.3147265911102295,0.25161072611808777,0.2841601073741913,-0.17974743247032166,0.1355665624141693
plazas,0.09847383946180344,0.17506861686706543,0.13420619070529938,0.19048450887203217,0.25533533096313477,0.29388123750686646,0.18053780496120453,0.2348242700099945,0.2051565796136856,-0.1942029893398285,0.16815614700317383
.,0.24887976050376892,0.4726039469242096,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.2735782265663147,0.3378238379955292,0.3618174195289612,0.5591574311256409,-0.226094052195549,0.4130953550338745
