,where,were,the,germanic,tribes,originally,located,?
from,0.3713873624801636,0.29991888999938965,0.40150508284568787,0.24026349186897278,0.12463679164648056,0.29689326882362366,0.2290649116039276,0.19969791173934937
their,0.3356108069419861,0.43277356028556824,0.516537070274353,0.26715853810310364,0.26845473051071167,0.21221309900283813,0.19801606237888336,0.1898253709077835
original,0.15837015211582184,0.27702075242996216,0.4037000238895416,0.18752886354923248,0.09898634254932404,0.5966677069664001,0.11117477715015411,0.17256900668144226
homelands,0.20855088531970978,0.26970773935317993,0.3133435845375061,0.3983248174190521,0.46387651562690735,0.22449199855327606,0.30341070890426636,0.11115454882383347
in,0.5344807505607605,0.3815755248069763,0.6662389636039734,0.24217848479747772,0.19281157851219177,0.3191297650337219,0.35149815678596497,0.20430970191955566
scandinavia,0.207406684756279,0.1789485514163971,0.24652571976184845,0.43807458877563477,0.2543203830718994,0.24826358258724213,0.15023301541805267,0.13888707756996155
and,0.43859338760375977,0.42175528407096863,0.5171257257461548,0.2491096705198288,0.2041163444519043,0.2772660255432129,0.24183952808380127,0.20544172823429108
northern,0.2461140751838684,0.17930571734905243,0.3422943353652954,0.2739127278327942,0.21473228931427002,0.1683700680732727,0.32189637422561646,0.13149388134479523
europe,0.2320680469274521,0.2586973309516907,0.34463706612586975,0.32132285833358765,0.22549261152744293,0.20161505043506622,0.107456274330616,0.18278923630714417
",",0.3149496018886566,0.36755475401878357,0.4933079481124878,0.22153666615486145,0.19590550661087036,0.2660219669342041,0.2678719460964203,0.31091248989105225
germanic,0.18225422501564026,0.3049336373806,0.3006645441055298,1.0000001192092896,0.5284436941146851,0.28479844331741333,0.11144004762172699,0.18380945920944214
tribes,0.18410277366638184,0.31078824400901794,0.26830655336380005,0.5284436941146851,0.9999999403953552,0.1987656056880951,0.14498697221279144,0.08824794739484787
expanded,0.1920405477285385,0.20106330513954163,0.3258892893791199,0.17335082590579987,0.13500002026557922,0.2486880123615265,0.26608121395111084,0.2124357968568802
throughout,0.34492164850234985,0.2758198380470276,0.4158564507961273,0.22720925509929657,0.2054351568222046,0.21646001935005188,0.15765729546546936,0.12665234506130219
northern,0.2461140751838684,0.17930571734905243,0.3422943353652954,0.2739127278327942,0.21473228931427002,0.1683700680732727,0.32189637422561646,0.13149388134479523
and,0.43859338760375977,0.42175528407096863,0.5171257257461548,0.2491096705198288,0.2041163444519043,0.2772660255432129,0.24183952808380127,0.20544172823429108
western,0.21352119743824005,0.22601988911628723,0.37920868396759033,0.2526334226131439,0.2541656792163849,0.18990877270698547,0.2740417718887329,0.17439141869544983
europe,0.2320680469274521,0.2586973309516907,0.34463706612586975,0.32132285833358765,0.22549261152744293,0.20161505043506622,0.107456274330616,0.18278923630714417
in,0.5344807505607605,0.3815755248069763,0.6662389636039734,0.24217848479747772,0.19281157851219177,0.3191297650337219,0.35149815678596497,0.20430970191955566
