,what,is,the,main,denomination,of,christians,in,kenya,?
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.26250898838043213,0.733189046382904,0.24734680354595184,0.6662389636039734,0.21657514572143555,0.22068053483963013
vast,0.23471814393997192,0.2100648730993271,0.28638118505477905,0.14669302105903625,0.17298726737499237,0.28792089223861694,0.23353621363639832,0.24572928249835968,0.12321529537439346,0.12112510949373245
majority,0.25967487692832947,0.19749082624912262,0.28757327795028687,0.22475625574588776,0.2513360381126404,0.29706597328186035,0.2829112112522125,0.2563854157924652,0.21174056828022003,0.220119908452034
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.2670862376689911,1.0,0.25621283054351807,0.5696388483047485,0.22226637601852417,0.1826142966747284
kenyans,0.20263339579105377,0.1736961156129837,0.24414950609207153,0.1627778708934784,0.16947013139724731,0.20549276471138,0.30596229434013367,0.23596632480621338,0.8028901815414429,0.18293815851211548
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.2828797399997711,0.21594221889972687,0.39081433415412903,0.2346511036157608,0.3841303884983063,0.1597108691930771,0.24591213464736938
christian,0.17849333584308624,0.1473853588104248,0.19930796325206757,0.12195628136396408,0.44893181324005127,0.23494116961956024,0.7310670018196106,0.17218929529190063,0.10861983895301819,0.1508396863937378
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.21451304852962494,0.22657720744609833,0.35032153129577637,0.1570729911327362,0.3087427020072937,0.10727446526288986,0.40561532974243164
83,0.02445935644209385,-0.048978447914123535,-0.01716534234583378,-0.03828085586428642,0.012662767432630062,-0.05192256346344948,0.03231468051671982,0.00592909986153245,-0.024344146251678467,0.020806502550840378
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.16577275097370148,0.3009537160396576,0.19953428208827972,0.22996963560581207,0.19465309381484985,0.1800173968076706,0.21441808342933655
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20574742555618286,0.24959254264831543,0.3680361211299896,0.17616115510463715,0.3326910734176636,0.12372948974370956,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.24402782320976257,0.4946078956127167,0.255241334438324,0.5201468467712402,0.23432263731956482,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1962798684835434,0.16310179233551025,0.41827285289764404,0.18686701357364655,0.4080928862094879,0.13224487006664276,0.2433311939239502
47.7,-0.24956734478473663,-0.22729426622390747,-0.3315938711166382,-0.17640012502670288,-0.049667973071336746,-0.24992604553699493,-0.0350133515894413,-0.29300862550735474,-0.031800493597984314,-0.16466331481933594
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.16577275097370148,0.3009537160396576,0.19953428208827972,0.22996963560581207,0.19465309381484985,0.1800173968076706,0.21441808342933655
regarding,0.36432263255119324,0.2110801786184311,0.29280903935432434,0.18324488401412964,0.2625061571598053,0.2715161442756653,0.2705349326133728,0.2634240984916687,0.12187017500400543,0.36967232823371887
themselves,0.34807315468788147,0.16502061486244202,0.3444426357746124,0.14458473026752472,0.23132240772247314,0.2638634443283081,0.36083298921585083,0.17596714198589325,0.0553940013051033,0.20170879364013672
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.25940921902656555,0.23284825682640076,0.3886612355709076,0.22496174275875092,0.3887844979763031,0.18995212018489838,0.27043893933296204
protestant,0.23531195521354675,0.1688958704471588,0.2679212689399719,0.1688932329416275,0.5461003184318542,0.31440475583076477,0.5923093557357788,0.2637297511100769,0.20084677636623383,0.14798137545585632
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.29831406474113464,0.18625058233737946,0.5116966962814331,0.2351800501346588,0.4954058527946472,0.20742860436439514,0.20544172823429108
23.5,-0.08743032813072205,-0.1094839796423912,-0.06796955317258835,-0.14431244134902954,-0.2430437058210373,-0.060782477259635925,-0.08252418041229248,-0.13341428339481354,-0.1578235626220703,-0.15556001663208008
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.16577275097370148,0.3009537160396576,0.19953428208827972,0.22996963560581207,0.19465309381484985,0.1800173968076706,0.21441808342933655
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.25940921902656555,0.23284825682640076,0.3886612355709076,0.22496174275875092,0.3887844979763031,0.18995212018489838,0.27043893933296204
roman,0.17852471768856049,0.16690842807292938,0.2862859070301056,0.19113487005233765,0.35364699363708496,0.31028008460998535,0.3694491982460022,0.24986636638641357,0.11106981337070465,0.1663191318511963
catholic,0.1882777214050293,0.19233417510986328,0.26391419768333435,0.13592281937599182,0.4504188299179077,0.3452084958553314,0.5056478381156921,0.26313918828964233,0.14439962804317474,0.16609853506088257
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3177044689655304,0.2670862376689911,1.0,0.25621283054351807,0.5696388483047485,0.22226637601852417,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.38631999492645264,0.26250898838043213,0.733189046382904,0.24734680354595184,0.6662389636039734,0.21657514572143555,0.22068053483963013
latin,0.1759578436613083,0.1937478482723236,0.24914836883544922,0.17075607180595398,0.2836340069770813,0.23412929475307465,0.24041074514389038,0.18954341113567352,0.0987914651632309,0.1303461492061615
rite,0.16578522324562073,0.18697495758533478,0.24104757606983185,0.1538311392068863,0.3385690748691559,0.22512216866016388,0.29445376992225647,0.2069050371646881,0.13388116657733917,0.1351516842842102
