,what,is,in,eldon,square,?
a,0.3320399522781372,0.658733606338501,0.539380669593811,0.22282229363918304,0.22548454999923706,0.23916715383529663
portion,0.287394255399704,0.317487508058548,0.2811550498008728,0.11943861842155457,0.23505640029907227,0.11719609797000885
of,0.33290785551071167,0.4854315221309662,0.5696388483047485,0.1765909343957901,0.2585134208202362,0.1826142966747284
grainger,0.19038473069667816,0.1666562706232071,0.19917434453964233,0.3748769462108612,0.1048506423830986,0.14470532536506653
town,0.19713185727596283,0.30097827315330505,0.34975525736808777,0.26378175616264343,0.32160016894340515,0.09902279824018478
was,0.22111038863658905,0.5810302495956421,0.45514053106307983,0.2563939392566681,0.17827357351779938,0.18412111699581146
demolished,0.1541847437620163,0.20538786053657532,0.2941364049911499,0.2070726901292801,0.28803473711013794,0.15856656432151794
in,0.30808621644973755,0.5394441485404968,1.0,0.29987475275993347,0.2193731665611267,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.6662389636039734,0.21200692653656006,0.2809545397758484,0.22068053483963013
1960s,-0.17530474066734314,0.053287625312805176,0.0007937865448184311,0.08207950741052628,0.05254150182008743,-0.08257022500038147
to,0.455847829580307,0.42745086550712585,0.45010748505592346,0.19790610671043396,0.17897218465805054,0.29463258385658264
make,0.3792211413383484,0.3331545889377594,0.268858402967453,0.12602292001247406,0.1093730553984642,0.28314751386642456
way,0.4835909903049469,0.31685471534729004,0.30444321036338806,0.16040083765983582,0.2137133628129959,0.31575819849967957
for,0.3017193675041199,0.43268078565597534,0.4322226941585541,0.1797560304403305,0.1615643948316574,0.264628142118454
the,0.42745697498321533,0.5823672413825989,0.6662389636039734,0.21200692653656006,0.2809545397758484,0.22068053483963013
eldon,0.17536026239395142,0.18042348325252533,0.29987475275993347,1.0,0.1257597953081131,0.18489088118076324
square,0.12660330533981323,0.2405121773481369,0.2193731665611267,0.1257597953081131,1.0,0.1201515942811966
shopping,0.128513902425766,0.2358693778514862,0.25587013363838196,0.1775975227355957,0.3402014374732971,0.1303974688053131
centre,0.12324132025241852,0.29804176092147827,0.2765078544616699,0.17145350575447083,0.2833855152130127,0.019365152344107628
",",0.3087472915649414,0.4691906273365021,0.5201468467712402,0.3295696973800659,0.2723195254802704,0.31091248989105225
including,0.18328791856765747,0.25093933939933777,0.35857823491096497,0.1825745701789856,0.2156289964914322,0.1633303165435791
all,0.41981086134910583,0.2553904056549072,0.3335905969142914,0.13569697737693787,0.18830405175685883,0.29575422406196594
but,0.5029441118240356,0.4106791317462921,0.48674455285072327,0.20350530743598938,0.11698723584413528,0.27921953797340393
one,0.376489520072937,0.4544198513031006,0.4129433035850525,0.1632820963859558,0.2554338574409485,0.2673267424106598
side,0.2532914876937866,0.27624061703681946,0.2626299262046814,0.12294917553663254,0.23841464519500732,0.07831130921840668
of,0.33290785551071167,0.4854315221309662,0.5696388483047485,0.1765909343957901,0.2585134208202362,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.6662389636039734,0.21200692653656006,0.2809545397758484,0.22068053483963013
original,0.24651947617530823,0.2681281864643097,0.2534193694591522,0.16494497656822205,0.16160792112350464,0.17256900668144226
eldon,0.17536026239395142,0.18042348325252533,0.29987475275993347,1.0,0.1257597953081131,0.18489088118076324
square,0.12660330533981323,0.2405121773481369,0.2193731665611267,0.1257597953081131,1.0,0.1201515942811966
itself,0.3625122308731079,0.3638126254081726,0.28042417764663696,0.16458968818187714,0.21842846274375916,0.17933900654315948
.,0.3567904531955719,0.4569662809371948,0.5591574311256409,0.2686053216457367,0.2698345184326172,0.4130953550338745
