,what,modern,math,concept,did,zhu,shijie,do,work,similar,to,?
the,0.42745697498321533,0.3283970355987549,0.15668486058712006,0.2355310022830963,0.34736719727516174,0.18920078873634338,0.2649824321269989,0.30239659547805786,0.2704800069332123,0.2963123023509979,0.535392165184021,0.22068053483963013
mathematician,0.1574619710445404,0.1545228213071823,0.4631826877593994,0.2691917419433594,0.16927407681941986,0.19151900708675385,0.19410592317581177,0.11970162391662598,0.1881026178598404,0.0876697450876236,0.12644395232200623,0.11787978559732437
zhu,0.13083988428115845,0.10818570107221603,0.15256300568580627,0.08344191312789917,0.10236618667840958,1.0,0.4761301875114441,0.1362898200750351,0.13106189668178558,0.034482911229133606,0.10538344085216522,0.1967044323682785
shijie,0.2064761519432068,0.19900153577327728,0.1600738763809204,0.18341940641403198,0.13883963227272034,0.4761301875114441,1.0,0.14498519897460938,0.12031473964452744,0.14538398385047913,0.16639210283756256,0.2173389345407486
(,0.2411840260028839,0.15444137156009674,0.19312290847301483,0.13642218708992004,0.18979617953300476,0.18246231973171234,0.2962258458137512,0.24216170608997345,0.22960703074932098,0.1786314696073532,0.30882009863853455,0.40561532974243164
1249–1314,0.1743452250957489,0.2624593675136566,0.15188969671726227,0.23493410646915436,0.08289803564548492,0.03804092854261398,0.08236446976661682,0.15060259401798248,0.14216411113739014,0.14901170134544373,0.1945861130952835,-0.007821708917617798
),0.26259949803352356,0.17084072530269623,0.23288220167160034,0.13767710328102112,0.18584993481636047,0.18711809813976288,0.3036794662475586,0.24460165202617645,0.251366525888443,0.17831005156040192,0.31236231327056885,0.42300865054130554
solved,0.247396320104599,0.1228286549448967,0.35629478096961975,0.22262348234653473,0.189043328166008,0.06525500863790512,0.07328561693429947,0.17130522429943085,0.3018013834953308,0.170384019613266,0.1576203852891922,0.2692696750164032
simultaneous,0.26387661695480347,0.2233993411064148,0.275421142578125,0.3222769498825073,0.09737241268157959,0.039272740483284,0.09556255489587784,0.22656847536563873,0.1025133952498436,0.28071096539497375,0.21654094755649567,0.13119907677173615
equations,0.26397332549095154,0.14431409537792206,0.5087994933128357,0.3802691102027893,0.199812114238739,0.1447506994009018,0.12992103397846222,0.2644166648387909,0.3318065106868744,0.18856337666511536,0.24253343045711517,0.2186179906129837
with,0.2464839518070221,0.17969171702861786,0.1808823049068451,0.16215780377388,0.25472134351730347,0.12269148975610733,0.20312434434890747,0.23744353652000427,0.2649822533130646,0.36291107535362244,0.4239959120750427,0.2433311939239502
up,0.28591108322143555,0.18569737672805786,0.14738401770591736,0.17616665363311768,0.21613863110542297,0.032322123646736145,0.15018756687641144,0.26271459460258484,0.2375064194202423,0.25329330563545227,0.40375280380249023,0.1819818764925003
to,0.455847829580307,0.193939670920372,0.23824778199195862,0.2465057224035263,0.4452643394470215,0.10538344085216522,0.16639210283756256,0.38876664638519287,0.3482864499092102,0.2888135313987732,1.0,0.29463258385658264
four,0.18057085573673248,0.23646309971809387,0.1354881376028061,0.21989856660366058,0.20222175121307373,0.10839420557022095,0.1679304838180542,0.1615660935640335,0.19019712507724762,0.2360949069261551,0.2803118824958801,0.14532537758350372
