,were,the,centers,profitable
(,0.14743882417678833,0.33289089798927307,0.13447198271751404,0.05165248364210129
in,0.3815755248069763,0.6662389636039734,0.3050653338432312,0.21801091730594635
addition,0.25986790657043457,0.32955414056777954,0.29017308354377747,0.2183227390050888
to,0.31913647055625916,0.535392165184021,0.23697607219219208,0.2744014859199524
selling,0.24248859286308289,0.25230732560157776,0.19711452722549438,0.4035998284816742
ge,0.09559976309537888,0.17362771928310394,0.08636651933193207,0.20084701478481293
computers,0.23370985686779022,0.19305875897407532,0.3157269060611725,0.2689121663570404
",",0.36755475401878357,0.4933079481124878,0.18621011078357697,0.19929175078868866
the,0.3906462490558624,1.0,0.3307511508464813,0.25568124651908875
centers,0.2284010797739029,0.3307511508464813,1.0000001192092896,0.2616077661514282
were,1.0000001192092896,0.3906462490558624,0.2284010797739029,0.2826652526855469
computer,0.14470656216144562,0.19781450927257538,0.2351047694683075,0.17628653347492218
service,0.15802285075187683,0.22661015391349792,0.2575644254684448,0.28042885661125183
bureaus,0.1976565420627594,0.27524641156196594,0.3130183219909668,0.21668489277362823
",",0.36755475401878357,0.4933079481124878,0.18621011078357697,0.19929175078868866
offering,0.18105146288871765,0.2296384871006012,0.25374099612236023,0.39699387550354004
batch,0.19959677755832672,0.1901983916759491,0.1444818079471588,0.20307189226150513
processing,0.13212618231773376,0.246895894408226,0.2231099009513855,0.29305142164230347
services,0.19147804379463196,0.2381475418806076,0.3711469769477844,0.3354278802871704
.,0.3378238379955292,0.5934505462646484,0.2238491028547287,0.1722509115934372
,were,the,centers,profitable
they,0.5580583214759827,0.49925389885902405,0.24263155460357666,0.3167401850223541
lost,0.283426433801651,0.3376973867416382,0.1705963909626007,0.23061653971672058
money,0.27462732791900635,0.2699695825576782,0.1753356009721756,0.4661286771297455
from,0.29991888999938965,0.40150508284568787,0.16716735064983368,0.17144758999347687
the,0.3906462490558624,1.0,0.3307511508464813,0.25568124651908875
beginning,0.31133952736854553,0.49622642993927,0.2832338213920593,0.28479111194610596
",",0.36755475401878357,0.4933079481124878,0.18621011078357697,0.19929175078868866
and,0.42175528407096863,0.5171257257461548,0.31431901454925537,0.27375364303588867
sinback,0.1887253224849701,0.30068886280059814,0.16100330650806427,0.18189027905464172
",",0.36755475401878357,0.4933079481124878,0.18621011078357697,0.19929175078868866
a,0.17203083634376526,0.5829201340675354,0.27225613594055176,0.2306303083896637
high-level,0.10088606178760529,0.30730852484703064,0.2319955974817276,0.26038095355033875
marketing,0.11933832615613937,0.21615102887153625,0.2513963580131531,0.4700586497783661
manager,0.10471133887767792,0.18262924253940582,0.10152774304151535,0.19169531762599945
",",0.36755475401878357,0.4933079481124878,0.18621011078357697,0.19929175078868866
was,0.590133786201477,0.48711544275283813,0.1675269901752472,0.2560335397720337
given,0.25531911849975586,0.37508252263069153,0.1348671317100525,0.2069198489189148
the,0.3906462490558624,1.0,0.3307511508464813,0.25568124651908875
job,0.1659110188484192,0.24242734909057617,0.15228170156478882,0.23071491718292236
of,0.34038281440734863,0.733189046382904,0.2771235704421997,0.19608184695243835
turning,0.20115680992603302,0.3650859296321869,0.13635994493961334,0.2566198408603668
the,0.3906462490558624,1.0,0.3307511508464813,0.25568124651908875
business,0.1444443315267563,0.2389037162065506,0.28631576895713806,0.4591502845287323
around,0.3049486577510834,0.40085816383361816,0.36124467849731445,0.2451169341802597
.,0.3378238379955292,0.5934505462646484,0.2238491028547287,0.1722509115934372
