,about,how,many,walloons,and,huguenots,emigrated,to,england,and,ireland,in,this,era,?
both,0.24329400062561035,0.3017238676548004,0.5466644167900085,0.26540833711624146,0.5503310561180115,0.22772513329982758,0.24559812247753143,0.3897709250450134,0.22611114382743835,0.5503310561180115,0.19297060370445251,0.3960166871547699,0.3937772214412689,0.17918702960014343,0.19455738365650177
before,0.31852203607559204,0.33293965458869934,0.2728588581085205,0.20637623965740204,0.3518902659416199,0.21720461547374725,0.22377723455429077,0.4190867841243744,0.23043961822986603,0.3518902659416199,0.1473913937807083,0.4155850410461426,0.39637717604637146,0.3692242205142975,0.2507109045982361
and,0.3875081241130829,0.33647966384887695,0.5296266674995422,0.32074102759361267,1.0,0.28783127665519714,0.24211961030960083,0.48971283435821533,0.35173749923706055,1.0,0.2852447032928467,0.4954058527946472,0.42353692650794983,0.23158983886241913,0.20544172823429108
after,0.2603839039802551,0.23871733248233795,0.2586410939693451,0.16678929328918457,0.3765919506549835,0.27856364846229553,0.27872180938720703,0.37890323996543884,0.24485193192958832,0.3765919506549835,0.1923658698797226,0.44050168991088867,0.3357301354408264,0.2584264576435089,0.16608688235282898
the,0.37995871901512146,0.33890387415885925,0.4335206151008606,0.2618098855018616,0.5171257257461548,0.30745792388916016,0.24469347298145294,0.535392165184021,0.28280043601989746,0.5171257257461548,0.2573983073234558,0.6662389636039734,0.6274310946464539,0.266272634267807,0.22068053483963013
1708,0.13142038881778717,0.1942511647939682,0.19353029131889343,0.21847529709339142,0.10435225814580917,0.09332308918237686,0.03550757095217705,0.11587031185626984,0.0945536345243454,0.10435225814580917,0.043641723692417145,0.11479359865188599,0.14415961503982544,0.06745194643735886,0.1984906941652298
passage,0.17849083244800568,0.2544544041156769,0.16796548664569855,0.1379159390926361,0.26472169160842896,0.3296334147453308,0.15259690582752228,0.3151622712612152,0.22414885461330414,0.26472169160842896,0.20300617814064026,0.2546468675136566,0.3184349238872528,0.20812545716762543,0.11149881780147552
of,0.40939709544181824,0.2480744868516922,0.37253960967063904,0.2505747377872467,0.5116966962814331,0.27577435970306396,0.21708126366138458,0.41548454761505127,0.24624483287334442,0.5116966962814331,0.2551186680793762,0.5696388483047485,0.45148900151252747,0.20396220684051514,0.1826142966747284
the,0.37995871901512146,0.33890387415885925,0.4335206151008606,0.2618098855018616,0.5171257257461548,0.30745792388916016,0.24469347298145294,0.535392165184021,0.28280043601989746,0.5171257257461548,0.2573983073234558,0.6662389636039734,0.6274310946464539,0.266272634267807,0.22068053483963013
foreign,0.1407560259103775,0.2628900706768036,0.29732653498649597,0.17872822284698486,0.25234511494636536,0.2520681321620941,0.2790425717830658,0.2349770963191986,0.0865134596824646,0.25234511494636536,0.1788015514612198,0.23181180655956268,0.23326793313026428,0.15030929446220398,0.13770383596420288
protestants,0.19036780297756195,0.18276342749595642,0.2771928310394287,0.3091747760772705,0.26846030354499817,0.5508098602294922,0.23426711559295654,0.26797059178352356,0.2930607199668884,0.26846030354499817,0.3145046830177307,0.26583972573280334,0.2522323429584503,0.1945461481809616,0.15855816006660461
naturalization,0.2323794811964035,0.27514252066612244,0.2979596257209778,0.18143942952156067,0.263049840927124,0.3170968294143677,0.36150598526000977,0.2224201112985611,0.22818753123283386,0.263049840927124,0.18059976398944855,0.2916907072067261,0.29877540469169617,0.17865298688411713,0.24616435170173645
act,0.11857692152261734,0.21768730878829956,0.2125060111284256,0.11101511120796204,0.2776535749435425,0.24704232811927795,0.07702192664146423,0.24833928048610687,0.26710808277130127,0.2776535749435425,0.24175502359867096,0.22050046920776367,0.2470771074295044,0.15218676626682281,0.1482519507408142
",",0.3877100944519043,0.22659391164779663,0.40610817074775696,0.23453691601753235,0.6633074283599854,0.23394492268562317,0.3080633282661438,0.44245919585227966,0.2732875645160675,0.6633074283599854,0.24259544909000397,0.5201468467712402,0.4316047728061676,0.19162635505199432,0.31091248989105225
an,0.2700941264629364,0.2520636022090912,0.2465583086013794,0.100564144551754,0.2838519215583801,0.1543605476617813,0.13097457587718964,0.3138085603713989,0.15076041221618652,0.2838519215583801,0.14025838673114777,0.2605783939361572,0.41881775856018066,0.14721882343292236,0.19793890416622162
estimated,0.3612971007823944,0.21406520903110504,0.25811848044395447,0.18800991773605347,0.211697056889534,0.20818644762039185,0.2375955730676651,0.2046545445919037,0.12172915041446686,0.211697056889534,0.14307241141796112,0.2508986294269562,0.25014832615852356,0.1208118423819542,0.18149758875370026
"50,000",0.05515005812048912,0.13222238421440125,0.026483552530407906,0.006678557489067316,0.03476105257868767,0.061592116951942444,-0.13246357440948486,0.10667608678340912,0.04151954874396324,0.03476105257868767,-0.019677165895700455,-0.04095596447587013,0.15787415206432343,-0.029165342450141907,0.02804366871714592
protestant,0.18674904108047485,0.15037773549556732,0.2339637130498886,0.29188185930252075,0.25109967589378357,0.5519246459007263,0.2667631506919861,0.23639842867851257,0.3156525492668152,0.25109967589378357,0.32822519540786743,0.2637297511100769,0.24984940886497498,0.1945241242647171,0.14798137545585632
walloons,0.213518887758255,0.17685027420520782,0.2878344655036926,1.0000001192092896,0.32074102759361267,0.4158315360546112,0.20928461849689484,0.21436482667922974,0.2631365954875946,0.32074102759361267,0.21642756462097168,0.22857673466205597,0.19914822280406952,0.12010986357927322,0.1857677847146988
and,0.3875081241130829,0.33647966384887695,0.5296266674995422,0.32074102759361267,1.0,0.28783127665519714,0.24211961030960083,0.48971283435821533,0.35173749923706055,1.0,0.2852447032928467,0.4954058527946472,0.42353692650794983,0.23158983886241913,0.20544172823429108
