,what,was,the,average,cost,for,a,tv,ad,lasting,30,seconds,during,super,bowl,50,?
cbs,0.1950361132621765,0.26256829500198364,0.2283918708562851,0.19109442830085754,0.1723526418209076,0.20941372215747833,0.16314536333084106,0.5679857730865479,0.07904361933469772,0.20711876451969147,0.015075087547302246,0.2119588702917099,0.25509363412857056,0.23111854493618011,0.2528696060180664,-0.030295440927147865,0.14594407379627228
broadcast,0.17857211828231812,0.24068336188793182,0.2713715434074402,0.200475811958313,0.13827234506607056,0.2546502649784088,0.2046348601579666,0.5626955032348633,0.08856480568647385,0.23067128658294678,-0.032415688037872314,0.24458639323711395,0.24461494386196136,0.1449931412935257,0.18237876892089844,-0.01586120016872883,0.15760008990764618
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.127910777926445,0.1336439698934555,0.22938419878482819,0.26005712151527405,0.2682373523712158,0.06299305707216263,0.10721231251955032,0.02300216630101204,0.17694975435733795,0.16951335966587067,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.1515442579984665,0.2092275321483612,0.24430087208747864,0.19533146917819977,0.1964709460735321,0.1156758964061737,0.20062166452407837,-0.030675051733851433,0.20954594016075134,0.22041946649551392,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,0.03536339849233627,-0.040493376553058624,0.029183456674218178,0.034183140844106674,0.019886968657374382,0.03135479614138603,0.045415181666612625,0.060261838138103485,-0.05085534229874611,0.07054752856492996,0.0833745002746582,0.005446359980851412,0.9999999403953552,0.030512850731611252
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.23465414345264435,0.25200018286705017,0.4322226941585541,0.539380669593811,0.17989183962345123,0.1957923024892807,0.3458682894706726,-0.005278158001601696,0.15088556706905365,0.4627237319946289,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.23177006840705872,0.4739971458911896,0.5829201340675354,0.20034731924533844,0.24233382940292358,0.3242513835430145,0.0730796679854393,0.1997634470462799,0.4838213622570038,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,0.07241999357938766,0.024254169315099716,0.11615988612174988,0.0347411222755909,0.029226766899228096,0.0604739747941494,-0.0780421569943428,-0.12361244112253189,0.09693912416696548,0.027661997824907303,0.18026593327522278,0.1647888869047165,-0.02133081667125225,0.07886100560426712
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23098047077655792,0.20970560610294342,0.4464869201183319,0.427140474319458,0.2778550088405609,0.21154692769050598,0.23596498370170593,-0.002004974754527211,0.2238321751356125,0.3225448727607727,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2138829380273819,0.2846847474575043,0.5064792633056641,0.3739250600337982,0.2652006149291992,0.1829509735107422,0.31302410364151,0.08511074632406235,0.22837801277637482,0.36462149024009705,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.20544172823429108
