,what,is,there,a,push,for,in,the,u.s.,to,reduce,consumer,drug,costs,?
in,0.30808621644973755,0.5394441485404968,0.5361666083335876,0.539380669593811,0.12143252044916153,0.4322226941585541,1.0,0.6662389636039734,-0.003064807504415512,0.45010748505592346,0.22053970396518707,0.22071419656276703,0.24474680423736572,0.1732029914855957,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.47025805711746216,0.5829201340675354,0.27820274233818054,0.4739971458911896,0.6662389636039734,1.0,0.06592652946710587,0.535392165184021,0.2735816240310669,0.2662927806377411,0.22177673876285553,0.2180386483669281,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.19206386804580688,0.2732578217983246,0.13992835581302643,0.30487096309661865,0.3938477039337158,0.34367692470550537,-0.016844162717461586,0.2715383470058441,0.2361181378364563,0.26806145906448364,0.2762739956378937,0.20549340546131134,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.22680425643920898,0.24708621203899384,0.13810060918331146,0.2496437132358551,0.3977442979812622,0.3463578522205353,-0.013163301162421703,0.2828785181045532,0.22697217762470245,0.24191933870315552,0.2900499701499939,0.2154189795255661,0.16272737085819244
",",0.3087472915649414,0.4691906273365021,0.4587128460407257,0.427140474319458,0.20323559641838074,0.4464869201183319,0.5201468467712402,0.4933079481124878,0.030410487204790115,0.44245919585227966,0.15094059705734253,0.23435404896736145,0.1941215842962265,0.15185250341892242,0.31091248989105225
there,0.35085538029670715,0.3904260993003845,1.0,0.4214206337928772,0.19956204295158386,0.3728419542312622,0.5361666083335876,0.47025805711746216,0.01172493677586317,0.40669289231300354,0.2593574523925781,0.18538117408752441,0.14277736842632294,0.2462817132472992,0.29405656456947327
has,0.20338068902492523,0.5668748617172241,0.42909398674964905,0.4670248031616211,0.2175646722316742,0.450642853975296,0.4173259735107422,0.4177538752555847,0.014947312884032726,0.3619994819164276,0.2103867381811142,0.17143845558166504,0.17701223492622375,0.23297351598739624,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.3571467399597168,0.3315402865409851,0.17608729004859924,0.39068686962127686,0.3515113592147827,0.3563927710056305,0.007175118196755648,0.34945759177207947,0.23513507843017578,0.18462304770946503,0.18983027338981628,0.24201850593090057,0.24354910850524902
a,0.3320399522781372,0.658733606338501,0.4214206337928772,1.0,0.2631731927394867,0.44038116931915283,0.539380669593811,0.5829201340675354,0.0347411222755909,0.45503583550453186,0.22714994847774506,0.2176821529865265,0.22027458250522614,0.21436090767383575,0.23916715383529663
push,0.3135983347892761,0.1884135752916336,0.19956204295158386,0.2631731927394867,0.9999999403953552,0.19414381682872772,0.12143252044916153,0.27820274233818054,0.1014055460691452,0.3226611018180847,0.3141835033893585,0.15571704506874084,0.1017938032746315,0.15742741525173187,0.19372594356536865
to,0.455847829580307,0.42745086550712585,0.40669289231300354,0.45503583550453186,0.3226611018180847,0.4451248347759247,0.45010748505592346,0.535392165184021,0.09732837975025177,1.0,0.35182690620422363,0.2662132978439331,0.2615036964416504,0.30544713139533997,0.29463258385658264
legalize,0.2413913458585739,0.18908831477165222,0.2383386343717575,0.2262272834777832,0.18912743031978607,0.2900533676147461,0.3109974265098572,0.25900739431381226,-0.016593579202890396,0.3165225684642792,0.22650761902332306,0.29218611121177673,0.3965208828449249,0.23678795993328094,0.21432186663150787
