,what,is,the,central,business,district,of,san,diego,?
downtown,0.1348404437303543,0.21999821066856384,0.2602716088294983,0.1913793832063675,0.3174465298652649,0.40016987919807434,0.21455974876880646,0.27212876081466675,0.2178671658039093,0.15638743340969086
san,0.19375550746917725,0.1594623327255249,0.2858080565929413,0.20643937587738037,0.16463854908943176,0.18726517260074615,0.25237205624580383,0.9999999403953552,0.6883842349052429,0.10952327400445938
diego,0.16958405077457428,0.1608497053384781,0.20885010063648224,0.13762103021144867,0.16646680235862732,0.11401040107011795,0.1941702961921692,0.6883842349052429,0.9999999403953552,0.11438121646642685
is,0.28837618231773376,1.0,0.5823672413825989,0.273421049118042,0.19332653284072876,0.2656395733356476,0.4854315221309662,0.1594623327255249,0.1608497053384781,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3417201042175293,0.2389037162065506,0.2690705955028534,0.733189046382904,0.2858080565929413,0.20885010063648224,0.22068053483963013
central,0.17723965644836426,0.273421049118042,0.3417201042175293,1.0,0.1912079155445099,0.22319814562797546,0.3415789008140564,0.20643937587738037,0.13762103021144867,0.14787602424621582
business,0.21758167445659637,0.19332653284072876,0.2389037162065506,0.1912079155445099,1.0,0.18776759505271912,0.23985227942466736,0.16463854908943176,0.16646680235862732,0.1545659303665161
district,0.13126243650913239,0.2656395733356476,0.2690705955028534,0.22319814562797546,0.18776759505271912,1.0,0.2673880457878113,0.18726517260074615,0.11401040107011795,0.06725285202264786
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3415789008140564,0.23985227942466736,0.2673880457878113,1.0,0.25237205624580383,0.1941702961921692,0.1826142966747284
san,0.19375550746917725,0.1594623327255249,0.2858080565929413,0.20643937587738037,0.16463854908943176,0.18726517260074615,0.25237205624580383,0.9999999403953552,0.6883842349052429,0.10952327400445938
diego,0.16958405077457428,0.1608497053384781,0.20885010063648224,0.13762103021144867,0.16646680235862732,0.11401040107011795,0.1941702961921692,0.6883842349052429,0.9999999403953552,0.11438121646642685
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2587154507637024,0.2952407896518707,0.25852543115615845,0.4946078956127167,0.25561806559562683,0.25578492879867554,0.31091248989105225
though,0.4089210331439972,0.3265945613384247,0.38776206970214844,0.18277347087860107,0.23514626920223236,0.13468442857265472,0.37307101488113403,0.12739141285419464,0.13766461610794067,0.3188856542110443
the,0.42745697498321533,0.5823672413825989,1.0,0.3417201042175293,0.2389037162065506,0.2690705955028534,0.733189046382904,0.2858080565929413,0.20885010063648224,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.2984377145767212,0.27742817997932434,0.42766356468200684,0.32503411173820496,0.32193511724472046,0.2495635747909546,0.13423943519592285
is,0.28837618231773376,1.0,0.5823672413825989,0.273421049118042,0.19332653284072876,0.2656395733356476,0.4854315221309662,0.1594623327255249,0.1608497053384781,0.22961433231830597
filled,0.17941854894161224,0.17559823393821716,0.2674119770526886,0.10630425810813904,0.14914143085479736,0.07532503455877304,0.24504315853118896,0.04398304596543312,0.10390691459178925,0.1782117635011673
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1716245859861374,0.2318158596754074,0.12251965701580048,0.41827285289764404,0.20429159700870514,0.1760377287864685,0.2433311939239502
business,0.21758167445659637,0.19332653284072876,0.2389037162065506,0.1912079155445099,1.0,0.18776759505271912,0.23985227942466736,0.16463854908943176,0.16646680235862732,0.1545659303665161
districts,0.16162313520908356,0.20545536279678345,0.233962744474411,0.15506573021411896,0.138702392578125,0.7729225754737854,0.2693168818950653,0.09998460114002228,0.03322974219918251,0.10677915066480637
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.3193301260471344,0.25987809896469116,0.23195737600326538,0.5352458953857422,0.24563752114772797,0.2188110053539276,0.4130953550338745
