,what,did,tesla,do,in,december,1878,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.23402775824069977,1.0,0.25854936242103577,0.007239070255309343,0.20430970191955566
december,0.19304980337619781,0.2542226016521454,0.10906380414962769,0.14908112585544586,0.25854936242103577,1.0,-0.07341888546943665,0.2480352818965912
1878,0.06034142151474953,-0.013777859508991241,0.013019487261772156,0.07449787855148315,0.007239070255309343,-0.07341888546943665,0.9999999403953552,0.08696702867746353
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.3283645510673523,0.5201468467712402,0.4136100113391876,0.04348711669445038,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.13880622386932373,0.17097744345664978,0.10906380414962769,0.013019487261772156,0.10250775516033173
left,0.2442072629928589,0.27335280179977417,0.0739469900727272,0.1755148321390152,0.21139952540397644,0.12784667313098907,-0.05595319718122482,0.13251960277557373
graz,0.1652703881263733,0.15470579266548157,0.27265462279319763,0.15139490365982056,0.25709354877471924,0.12692731618881226,-0.039936602115631104,0.19033589959144592
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.276123583316803,0.4954058527946472,0.22940969467163086,-0.045571405440568924,0.20544172823429108
severed,0.10068795084953308,0.17354895174503326,0.046775151044130325,0.07667665183544159,0.22852765023708344,0.12399166077375412,-0.08155451714992523,0.08613809198141098
all,0.41981086134910583,0.33943864703178406,0.14510658383369446,0.38664430379867554,0.3335905969142914,0.16545496881008148,0.01008444931358099,0.29575422406196594
relations,0.184731587767601,0.2268659770488739,0.1307172328233719,0.12748964130878448,0.22494478523731232,0.23304328322410583,-0.005131011828780174,0.13942402601242065
with,0.2464839518070221,0.25472134351730347,0.16424812376499176,0.23744353652000427,0.4080928862094879,0.14869219064712524,-0.012001215480268002,0.2433311939239502
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.15088757872581482,0.3598145842552185,0.27263614535331726,-0.05818820372223854,0.18075084686279297
family,0.16391263902187347,0.19502942264080048,0.04926548898220062,0.11684401333332062,0.2165997177362442,0.15362727642059326,0.08086445182561874,0.15222905576229095
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.38876664638519287,0.45010748505592346,0.21181435883045197,-0.013903154991567135,0.29463258385658264
hide,0.3019925057888031,0.21967408061027527,0.047895822674036026,0.26734694838523865,0.1395210325717926,0.13282500207424164,0.08224217593669891,0.280157208442688
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.30239659547805786,0.6662389636039734,0.23266014456748962,-0.0035915602929890156,0.22068053483963013
fact,0.4454877972602844,0.30747947096824646,0.19631604850292206,0.33229097723960876,0.25253036618232727,0.15425951778888702,0.046177297830581665,0.2798655927181244
that,0.6297725439071655,0.47518548369407654,0.22102725505828857,0.44533252716064453,0.435920387506485,0.19844987988471985,0.05535763129591942,0.32716336846351624
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.19599148631095886,0.41690486669540405,0.27266743779182434,-0.07503626495599747,0.2089974731206894
dropped,0.1258322298526764,0.3167249262332916,0.149772047996521,0.12319133430719376,0.22307343780994415,0.19005101919174194,0.02400202676653862,0.1272711455821991
out,0.3633197546005249,0.28413498401641846,0.2017683982849121,0.30558764934539795,0.3576207756996155,0.1332782357931137,0.055492568761110306,0.22020699083805084
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.26150479912757874,0.5696388483047485,0.1503814309835434,-0.04301106929779053,0.1826142966747284
school,0.18774057924747467,0.19696208834648132,0.16295383870601654,0.13649480044841766,0.26157811284065247,0.22370262444019318,0.015233408659696579,0.15091250836849213
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.3613996207714081,0.5591574311256409,0.3439200222492218,0.020098458975553513,0.4130953550338745
