,civil,disobedients,have,chosen,many,different,kinds,of,what,type,of,behaviors,?
civil,1.0,0.5063242316246033,0.16153892874717712,0.09569620341062546,0.2212105095386505,0.13609759509563446,0.09922157973051071,0.24698495864868164,0.15091551840305328,0.05067194625735283,0.24698495864868164,0.18531858921051025,0.1494513899087906
disobedients,0.5063242316246033,0.9999998807907104,0.30075547099113464,0.18959465622901917,0.34408441185951233,0.308755099773407,0.30866488814353943,0.32510921359062195,0.3241478204727173,0.20870141685009003,0.32510921359062195,0.43025633692741394,0.18925230205059052
have,0.16153892874717712,0.30075547099113464,0.9999999403953552,0.18838442862033844,0.5841760635375977,0.5267002582550049,0.4081910252571106,0.3802283704280853,0.39808809757232666,0.242574080824852,0.3802283704280853,0.37827837467193604,0.32991164922714233
chosen,0.09569620341062546,0.18959465622901917,0.18838442862033844,1.0,0.22512753307819366,0.271287202835083,0.0625668317079544,0.3265131711959839,0.24263155460357666,0.15974712371826172,0.3265131711959839,0.13124485313892365,0.18667186796665192
a,0.21693918108940125,0.26969417929649353,0.338716596364975,0.26963019371032715,0.2872205972671509,0.29175353050231934,0.23927396535873413,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1814500391483307,0.23916715383529663
variety,0.07566709071397781,0.23269225656986237,0.3256779909133911,0.1480025351047516,0.5123591423034668,0.5170829892158508,0.4722694158554077,0.21034783124923706,0.20492127537727356,0.28866416215896606,0.21034783124923706,0.32708415389060974,0.13376861810684204
of,0.24698495864868164,0.32510921359062195,0.3802283704280853,0.3265131711959839,0.37253960967063904,0.3747533857822418,0.28535863757133484,1.0,0.33290785551071167,0.18112817406654358,1.0,0.20580612123012543,0.1826142966747284
different,0.13609759509563446,0.308755099773407,0.5267002582550049,0.271287202835083,0.6061229109764099,1.0,0.6362926959991455,0.3747533857822418,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.3476645052433014,0.24476227164268494
illegal,0.17244401574134827,0.3693588376045227,0.2836313843727112,0.08882752805948257,0.297632098197937,0.28809601068496704,0.28104767203330994,0.19375135004520416,0.21956031024456024,0.1518467217683792,0.19375135004520416,0.2226184755563736,0.1562941074371338
acts,0.1234428659081459,0.3565171957015991,0.2163836508989334,0.16588643193244934,0.20894886553287506,0.21927665174007416,0.2415577471256256,0.26445579528808594,0.24949195981025696,0.14897046983242035,0.26445579528808594,0.33101511001586914,0.07075770199298859
.,0.2541380822658539,0.2842986583709717,0.41614407300949097,0.242553249001503,0.3974229395389557,0.31511759757995605,0.23792381584644318,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2654164433479309,0.4130953550338745
