,how,many,ways,are,available,to,help,reduce,the,stress,of,teaching,?
there,0.3328511416912079,0.4993700683116913,0.3198884129524231,0.5433560013771057,0.3503713011741638,0.40669289231300354,0.2834847867488861,0.2593574523925781,0.47025805711746216,0.19508303701877594,0.44397735595703125,0.221792072057724,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.38641616702079773,1.0,0.31910744309425354,0.3504326641559601,0.2738749086856842,0.24856437742710114,0.40399202704429626,0.21872113645076752,0.39081433415412903,0.23373855650424957,0.24591213464736938
several,0.28568220138549805,0.7239733338356018,0.3280213475227356,0.4241659343242645,0.21179081499576569,0.36196985840797424,0.20461620390415192,0.19710177183151245,0.40559855103492737,0.19487042725086212,0.3271615505218506,0.2031899392604828,0.15595775842666626
ways,0.5360958576202393,0.46680548787117004,1.0,0.38641616702079773,0.19088265299797058,0.3916551172733307,0.37696322798728943,0.33836424350738525,0.25153350830078125,0.2698313891887665,0.23171216249465942,0.3020016849040985,0.2710120975971222
to,0.44169697165489197,0.40243685245513916,0.3916551172733307,0.3504326641559601,0.2394571453332901,1.0,0.46191298961639404,0.35182690620422363,0.535392165184021,0.2759045660495758,0.41548454761505127,0.2762126624584198,0.29463258385658264
mitigate,0.3571404814720154,0.31007954478263855,0.3590700328350067,0.3029506206512451,0.2966557741165161,0.33896347880363464,0.42082035541534424,0.4953199028968811,0.2710644602775574,0.37724336981773376,0.24459674954414368,0.18445627391338348,0.27815142273902893
the,0.33890387415885925,0.4335206151008606,0.25153350830078125,0.40399202704429626,0.26723232865333557,0.535392165184021,0.30064165592193604,0.2735816240310669,1.0,0.18694822490215302,0.733189046382904,0.2182690054178238,0.22068053483963013
occupational,0.1557747721672058,0.22386568784713745,0.19621847569942474,0.14539676904678345,0.19505977630615234,0.2024950236082077,0.16188065707683563,0.148922398686409,0.1973530650138855,0.23412597179412842,0.26960793137550354,0.22286416590213776,0.12401652336120605
hazards,0.3110279142856598,0.29457294940948486,0.39650169014930725,0.29801955819129944,0.177555650472641,0.2605954110622406,0.24337728321552277,0.333748996257782,0.2174634337425232,0.29440373182296753,0.2060418576002121,0.256538450717926,0.22479578852653503
of,0.2480744868516922,0.37253960967063904,0.23171216249465942,0.39081433415412903,0.2416580766439438,0.41548454761505127,0.22745388746261597,0.26028934121131897,0.733189046382904,0.1941838562488556,1.0,0.2911611497402191,0.1826142966747284
teaching,0.26766639947891235,0.32002294063568115,0.3020016849040985,0.23373855650424957,0.1766909658908844,0.2762126624584198,0.29695624113082886,0.17461878061294556,0.2182690054178238,0.16238777339458466,0.2911611497402191,1.0000001192092896,0.20424684882164001
.,0.3287222981452942,0.3974229395389557,0.24406853318214417,0.3452940285205841,0.3383464217185974,0.4645031690597534,0.32205137610435486,0.2184620201587677,0.5934505462646484,0.2121095210313797,0.5352458953857422,0.26479530334472656,0.4130953550338745
