,what,comedy,for,abc,ended,its,broadcast,run,in,1986,?
as,0.31749409437179565,0.18734407424926758,0.44774648547172546,0.2286096066236496,0.15908659994602203,0.31874480843544006,0.19535446166992188,0.21759064495563507,0.3887844979763031,0.09074565023183823,0.27043893933296204
far,0.34794166684150696,0.11327249556779861,0.22081951797008514,0.0821944996714592,0.13349121809005737,0.2760116159915924,0.10509109497070312,0.23212231695652008,0.2599720060825348,-0.07373668998479843,0.2170870453119278
as,0.31749409437179565,0.18734407424926758,0.44774648547172546,0.2286096066236496,0.15908659994602203,0.31874480843544006,0.19535446166992188,0.21759064495563507,0.3887844979763031,0.09074565023183823,0.27043893933296204
programming,0.22725710272789001,0.2632570266723633,0.24722188711166382,0.3165910840034485,0.1054227352142334,0.22158177196979523,0.4070121645927429,0.30589762330055237,0.17145347595214844,0.2566705048084259,0.22249025106430054
is,0.28837618231773376,0.23129042983055115,0.43268078565597534,0.16037321090698242,0.1630723774433136,0.4447362422943115,0.1702820062637329,0.20717166364192963,0.5394441485404968,0.0561588779091835,0.22961433231830597
concerned,0.41510701179504395,0.17976514995098114,0.2909458875656128,0.1050947979092598,0.20692121982574463,0.2501554489135742,0.18549536168575287,0.2423788160085678,0.27584534883499146,-0.0033332528546452522,0.27800148725509644
",",0.3087472915649414,0.17748676240444183,0.4464869201183319,0.2097204476594925,0.2682836353778839,0.33157986402511597,0.24917922914028168,0.2309936285018921,0.5201468467712402,0.06415113806724548,0.31091248989105225
four,0.18057085573673248,0.17462867498397827,0.27783235907554626,0.11602456867694855,0.2663898169994354,0.25624504685401917,0.19108189642429352,0.15621820092201233,0.3085027039051056,0.023498879745602608,0.14532537758350372
of,0.33290785551071167,0.16859161853790283,0.4185989499092102,0.14607268571853638,0.27636510133743286,0.48690423369407654,0.20155203342437744,0.2272813767194748,0.5696388483047485,0.11842719465494156,0.1826142966747284
abc,0.1317344456911087,0.3460328280925751,0.22510288655757904,1.0000001192092896,0.2626802623271942,0.19045390188694,0.4876510202884674,0.1768566370010376,0.1697147786617279,0.15814480185508728,0.19065172970294952
's,0.02692362666130066,0.09444256871938705,-0.07241261005401611,0.06670809537172318,-0.00953457411378622,0.03202139586210251,0.0797032043337822,0.017889494076371193,-0.037580832839012146,-0.006848923396319151,-0.023395681753754616
marquee,0.11822305619716644,0.19079487025737762,0.2394723743200302,0.25658467411994934,0.13230612874031067,0.17164303362369537,0.22714775800704956,0.1918366551399231,0.22384251654148102,0.06109216809272766,0.10540568828582764
shows,0.30282244086265564,0.2899321913719177,0.35496386885643005,0.3304527997970581,0.2312035709619522,0.2824936509132385,0.32133233547210693,0.1459360122680664,0.3289647698402405,0.09238660335540771,0.2040930688381195
of,0.33290785551071167,0.16859161853790283,0.4185989499092102,0.14607268571853638,0.27636510133743286,0.48690423369407654,0.20155203342437744,0.2272813767194748,0.5696388483047485,0.11842719465494156,0.1826142966747284
the,0.42745697498321533,0.18746663630008698,0.4739971458911896,0.2068762183189392,0.3356485068798065,0.559237003326416,0.2713715434074402,0.27883726358413696,0.6662389636039734,0.11024544388055801,0.22068053483963013
1970s,-0.020239217206835747,0.005899275187402964,0.04791708290576935,-0.11265640705823898,0.03431783244013786,-0.011291023343801498,-0.08243975043296814,0.024789026007056236,0.057396724820137024,0.024298472329974174,0.03861190751194954
ended,0.1532270610332489,0.19926737248897552,0.25393593311309814,0.2626802623271942,1.0,0.207168310880661,0.2243213951587677,0.23642955720424652,0.3353011906147003,0.09600277990102768,0.15429291129112244
their,0.35142919421195984,0.1396782100200653,0.3406745493412018,0.17463743686676025,0.24458195269107819,0.5367968082427979,0.16217587888240814,0.2519458532333374,0.34976133704185486,-0.0075356317684054375,0.1898253709077835
runs,0.17057748138904572,0.16330768167972565,0.1882663071155548,0.10696805268526077,0.19138884544372559,0.25302407145500183,0.15939122438430786,0.6555101275444031,0.2674408257007599,-0.015325487591326237,0.08094297349452972
during,0.24137552082538605,0.1394873410463333,0.3448435664176941,0.18870772421360016,0.5089324712753296,0.23688937723636627,0.24461494386196136,0.22647301852703094,0.4627237319946289,-0.011419212445616722,0.1325719803571701
the,0.42745697498321533,0.18746663630008698,0.4739971458911896,0.2068762183189392,0.3356485068798065,0.559237003326416,0.2713715434074402,0.27883726358413696,0.6662389636039734,0.11024544388055801,0.22068053483963013
mid-1980s,0.19287826120853424,0.0991099551320076,0.2470930963754654,0.11429709941148758,0.2877199053764343,0.28760161995887756,0.21375064551830292,0.22482308745384216,0.279976487159729,0.04544205218553543,0.03908414766192436
