,what,does,southern,california,have,a,reputation,for,?
despite,0.1825345903635025,0.318399578332901,0.22657199203968048,0.1320684254169464,0.33455711603164673,0.28239360451698303,0.41309139132499695,0.3311030864715576,0.14350546896457672
a,0.3320399522781372,0.38201746344566345,0.25843560695648193,0.2426064908504486,0.338716596364975,1.0,0.2353951334953308,0.44038116931915283,0.23916715383529663
reputation,0.24973461031913757,0.20121508836746216,0.13526441156864166,0.133887380361557,0.27095866203308105,0.2353951334953308,1.0000001192092896,0.28371551632881165,0.14395901560783386
for,0.3017193675041199,0.35159170627593994,0.14496514201164246,0.23038740456104279,0.41175219416618347,0.44038116931915283,0.28371551632881165,0.9999999403953552,0.264628142118454
high,0.20466077327728271,0.2028418332338333,0.15573836863040924,0.21608760952949524,0.2406233847141266,0.22865821421146393,0.17399343848228455,0.1925620585680008,0.11137914657592773
growth,0.1739405393600464,0.18474416434764862,0.14553679525852203,0.0639709085226059,0.2734212279319763,0.21544985473155975,0.24161075055599213,0.24965375661849976,0.07547862827777863
rates,0.2148645967245102,0.27952635288238525,0.08962638676166534,0.1831887662410736,0.28337380290031433,0.24341748654842377,0.18332305550575256,0.24851617217063904,0.13808594644069672
",",0.3087472915649414,0.28617382049560547,0.2795628309249878,0.2704589068889618,0.3541618287563324,0.427140474319458,0.26644301414489746,0.4464869201183319,0.31091248989105225
southern,0.18679563701152802,0.0482201874256134,1.0,0.2983402609825134,0.15745104849338531,0.25843560695648193,0.13526441156864166,0.14496514201164246,0.11225555837154388
california,0.1811584085226059,0.10136774927377701,0.2983402609825134,1.0,0.1807585507631302,0.2426064908504486,0.133887380361557,0.23038740456104279,0.1409905105829239
's,0.02692362666130066,-0.02895052544772625,0.02131068892776966,-0.0475497767329216,-0.02807004563510418,0.04866964742541313,0.049814119935035706,-0.07241261005401611,-0.023395681753754616
rate,0.21845893561840057,0.1932356208562851,0.08875614404678345,0.17139843106269836,0.22157570719718933,0.24373900890350342,0.13577131927013397,0.2299952208995819,0.1308269053697586
grew,0.11968503892421722,0.1254964917898178,0.18610593676567078,0.18957427144050598,0.18998461961746216,0.15698304772377014,0.29115208983421326,0.19393101334571838,0.05505307391285896
less,0.31119704246520996,0.33181050419807434,0.1681404411792755,0.12925545871257782,0.4584900736808777,0.3475147485733032,0.26651960611343384,0.3358951508998871,0.22418740391731262
than,0.29388150572776794,0.32178643345832825,0.16775213181972504,0.17079950869083405,0.46517109870910645,0.3126874566078186,0.23809503018856049,0.30793827772140503,0.24917294085025787
the,0.42745697498321533,0.35928019881248474,0.3282862603664398,0.2750805914402008,0.40389683842658997,0.5829201340675354,0.21946515142917633,0.4739971458911896,0.22068053483963013
state,0.24273863434791565,0.15987756848335266,0.2978775203227997,0.3314559757709503,0.2083192616701126,0.25097307562828064,0.1768508106470108,0.19460363686084747,0.1160883978009224
average,0.24068789184093475,0.17787541449069977,0.18616889417171478,0.13245558738708496,0.24795836210250854,0.23812800645828247,0.17893405258655548,0.20724235475063324,0.21764592826366425
of,0.33290785551071167,0.3119818866252899,0.31933003664016724,0.24929828941822052,0.3802283704280853,0.5052502155303955,0.1991330087184906,0.4185989499092102,0.1826142966747284
10.0,-0.01950257457792759,-0.04321008175611496,0.15847566723823547,0.3116178810596466,-0.031603727489709854,0.08068687468767166,-0.07922514528036118,0.04424240067601204,-0.0030855503864586353
%,0.20738190412521362,0.1996830552816391,0.16889634728431702,0.14933079481124878,0.25054386258125305,0.17798779904842377,0.09358131140470505,0.16658860445022583,0.21441808342933655
in,0.30808621644973755,0.214483380317688,0.3190481662750244,0.2772824168205261,0.36843645572662354,0.539380669593811,0.22389911115169525,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.3282862603664398,0.2750805914402008,0.40389683842658997,0.5829201340675354,0.21946515142917633,0.4739971458911896,0.22068053483963013
2000s,0.1495852917432785,0.04576192796230316,-0.2680957317352295,-0.24802160263061523,-0.026365645229816437,-0.136931911110878,-0.027581097558140755,-0.05370233207941055,0.2498977780342102
as,0.31749409437179565,0.31202155351638794,0.17950406670570374,0.1933012157678604,0.37788212299346924,0.39550232887268066,0.28857773542404175,0.44774648547172546,0.27043893933296204
california,0.1811584085226059,0.10136774927377701,0.2983402609825134,1.0,0.1807585507631302,0.2426064908504486,0.133887380361557,0.23038740456104279,0.1409905105829239
's,0.02692362666130066,-0.02895052544772625,0.02131068892776966,-0.0475497767329216,-0.02807004563510418,0.04866964742541313,0.049814119935035706,-0.07241261005401611,-0.023395681753754616
growth,0.1739405393600464,0.18474416434764862,0.14553679525852203,0.0639709085226059,0.2734212279319763,0.21544985473155975,0.24161075055599213,0.24965375661849976,0.07547862827777863
became,0.1434093862771988,0.1381855607032776,0.20726598799228668,0.17841118574142456,0.16746708750724792,0.28774285316467285,0.29158201813697815,0.3017078936100006,0.11374033987522125
concentrated,0.20476274192333221,0.18856865167617798,0.1255556344985962,0.14246675372123718,0.22913889586925507,0.22587455809116364,0.23499120771884918,0.20314665138721466,0.11501483619213104
in,0.30808621644973755,0.214483380317688,0.3190481662750244,0.2772824168205261,0.36843645572662354,0.539380669593811,0.22389911115169525,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.3282862603664398,0.2750805914402008,0.40389683842658997,0.5829201340675354,0.21946515142917633,0.4739971458911896,0.22068053483963013
northern,0.19332477450370789,0.11593209207057953,0.7355895638465881,0.23127253353595734,0.1682901680469513,0.22329643368721008,0.1514863669872284,0.20134946703910828,0.13149388134479523
part,0.3476244807243347,0.26684749126434326,0.37757623195648193,0.14441202580928802,0.25547030568122864,0.3994528353214264,0.14806802570819855,0.250704288482666,0.08557961881160736
of,0.33290785551071167,0.3119818866252899,0.31933003664016724,0.24929828941822052,0.3802283704280853,0.5052502155303955,0.1991330087184906,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.3282862603664398,0.2750805914402008,0.40389683842658997,0.5829201340675354,0.21946515142917633,0.4739971458911896,0.22068053483963013
state,0.24273863434791565,0.15987756848335266,0.2978775203227997,0.3314559757709503,0.2083192616701126,0.25097307562828064,0.1768508106470108,0.19460363686084747,0.1160883978009224
due,0.15204688906669617,0.20878952741622925,0.13226787745952606,0.14267273247241974,0.2766067385673523,0.2190696746110916,0.23843644559383392,0.2363993525505066,0.10954997688531876
to,0.455847829580307,0.4391997456550598,0.18284058570861816,0.20697450637817383,0.4544740617275238,0.45503583550453186,0.20996540784835815,0.4451248347759247,0.29463258385658264
a,0.3320399522781372,0.38201746344566345,0.25843560695648193,0.2426064908504486,0.338716596364975,1.0,0.2353951334953308,0.44038116931915283,0.23916715383529663
stronger,0.26740801334381104,0.25459548830986023,0.14218242466449738,0.14833295345306396,0.32246363162994385,0.25393104553222656,0.26663053035736084,0.22267162799835205,0.12132075428962708
",",0.3087472915649414,0.28617382049560547,0.2795628309249878,0.2704589068889618,0.3541618287563324,0.427140474319458,0.26644301414489746,0.4464869201183319,0.31091248989105225
tech-oriented,0.2799350917339325,0.2861264944076538,0.17206436395645142,0.24748915433883667,0.2875998616218567,0.3601934015750885,0.28925713896751404,0.2732491195201874,0.19130341708660126
economy,0.21764783561229706,0.17583751678466797,0.20250599086284637,0.11905400454998016,0.18772046267986298,0.24415728449821472,0.28147417306900024,0.2269710749387741,0.11486924439668655
in,0.30808621644973755,0.214483380317688,0.3190481662750244,0.2772824168205261,0.36843645572662354,0.539380669593811,0.22389911115169525,0.4322226941585541,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.3282862603664398,0.2750805914402008,0.40389683842658997,0.5829201340675354,0.21946515142917633,0.4739971458911896,0.22068053483963013
