,what,characteristic,identifies,the,french,ancestry,of,some,south,africans,?
many,0.36131182312965393,0.3296940326690674,0.15795870125293732,0.4335206151008606,0.2158181369304657,0.23415538668632507,0.37253960967063904,0.7976660132408142,0.2319321483373642,0.2919760048389435,0.2124512493610382
families,0.17109867930412292,0.23908713459968567,0.13115225732326508,0.26391902565956116,0.14083164930343628,0.3171710968017578,0.2529911398887634,0.3202737867832184,0.17086637020111084,0.33923178911209106,0.14422203600406647
",",0.3087472915649414,0.263354629278183,0.2236303836107254,0.4933079481124878,0.28806620836257935,0.3105199337005615,0.4946078956127167,0.42400437593460083,0.3256652057170868,0.21605533361434937,0.31091248989105225
today,0.3814660608768463,0.15175025165081024,0.15280742943286896,0.35740926861763,0.15276992321014404,0.19462187588214874,0.3291318118572235,0.4624233841896057,0.2322976142168045,0.17065474390983582,0.17338968813419342
mostly,0.32312366366386414,0.23028898239135742,0.16671350598335266,0.3490641117095947,0.23680351674556732,0.24904683232307434,0.2964755594730377,0.5306856036186218,0.25988879799842834,0.2406046986579895,0.09124795347452164
afrikaans-speaking,0.3283485174179077,0.2818354368209839,0.26039499044418335,0.3511854112148285,0.44069790840148926,0.40141794085502625,0.31560584902763367,0.3497498333454132,0.3397267758846283,0.5287612676620483,0.22428303956985474
",",0.3087472915649414,0.263354629278183,0.2236303836107254,0.4933079481124878,0.28806620836257935,0.3105199337005615,0.4946078956127167,0.42400437593460083,0.3256652057170868,0.21605533361434937,0.31091248989105225
have,0.39808809757232666,0.3933867812156677,0.2549470067024231,0.40389683842658997,0.16117613017559052,0.2014404684305191,0.3802283704280853,0.6421269774436951,0.15469403564929962,0.2700519561767578,0.32991164922714233
surnames,0.15947236120700836,0.17656302452087402,0.24342487752437592,0.19482983648777008,0.16562798619270325,0.43020471930503845,0.18380562961101532,0.237163245677948,0.16497820615768433,0.23867563903331757,0.1774638444185257
indicating,0.3006964325904846,0.3912205398082733,0.4255290627479553,0.3288414180278778,0.13352884352207184,0.1843840330839157,0.32798802852630615,0.2997008264064789,0.1053716242313385,0.18090078234672546,0.23140811920166016
their,0.35142919421195984,0.3907562494277954,0.2119777351617813,0.516537070274353,0.18787698447704315,0.23762287199497223,0.4329940676689148,0.5109887719154358,0.15484310686588287,0.2878435254096985,0.1898253709077835
french,0.17393042147159576,0.14510388672351837,0.11181844025850296,0.2555147111415863,1.0000001192092896,0.19447357952594757,0.19450366497039795,0.20150943100452423,0.18581080436706543,0.2721724510192871,0.1386883556842804
huguenot,0.1912020891904831,0.1859930008649826,0.14197738468647003,0.29557526111602783,0.5233030915260315,0.33969786763191223,0.29061198234558105,0.2022833526134491,0.23090137541294098,0.3705321252346039,0.1359742432832718
ancestry,0.1751311868429184,0.20870229601860046,0.26548758149147034,0.22235198318958282,0.19447357952594757,0.9999999403953552,0.22947031259536743,0.18429416418075562,0.1758946031332016,0.355214923620224,0.1593272089958191
.,0.3567904531955719,0.2017466127872467,0.24315837025642395,0.5934505462646484,0.2480926215648651,0.24739529192447662,0.5352458953857422,0.40663889050483704,0.2798699140548706,0.2213464230298996,0.4130953550338745
,what,characteristic,identifies,the,french,ancestry,of,some,south,africans,?
many,0.36131182312965393,0.3296940326690674,0.15795870125293732,0.4335206151008606,0.2158181369304657,0.23415538668632507,0.37253960967063904,0.7976660132408142,0.2319321483373642,0.2919760048389435,0.2124512493610382
of,0.33290785551071167,0.2943860590457916,0.3297317922115326,0.733189046382904,0.19450366497039795,0.22947031259536743,1.0,0.4300730526447296,0.33382371068000793,0.22422538697719574,0.1826142966747284
the,0.42745697498321533,0.28210532665252686,0.3151623606681824,1.0,0.2555147111415863,0.22235198318958282,0.733189046382904,0.4566698372364044,0.3129390776157379,0.2805749773979187,0.22068053483963013
farms,0.15934501588344574,0.15314756333827972,-0.012648713774979115,0.23249253630638123,0.11404407769441605,0.23052309453487396,0.24435943365097046,0.3060827851295471,0.31305763125419617,0.2740759253501892,0.15135478973388672
in,0.30808621644973755,0.2336774468421936,0.21217532455921173,0.6662389636039734,0.22093388438224792,0.226922869682312,0.5696388483047485,0.4010399878025055,0.33642083406448364,0.2187054604291916,0.20430970191955566
the,0.42745697498321533,0.28210532665252686,0.3151623606681824,1.0,0.2555147111415863,0.22235198318958282,0.733189046382904,0.4566698372364044,0.3129390776157379,0.2805749773979187,0.22068053483963013
western,0.2454150915145874,0.18377114832401276,0.06427151709794998,0.37920868396759033,0.16370365023612976,0.1684408336877823,0.32974064350128174,0.26199302077293396,0.4157097041606903,0.19032874703407288,0.17439141869544983
cape,0.17391739785671234,0.19724693894386292,0.13165074586868286,0.2352786809206009,0.22227029502391815,0.07307731360197067,0.23413194715976715,0.15205508470535278,0.3729645609855652,0.3384040892124176,0.10433043539524078
