,why,did,the,european,nations,and,japan,separated,themselves,from,united,states,during,the,crisis,?
some,0.429519385099411,0.42553430795669556,0.4566698372364044,0.23190714418888092,0.2068023383617401,0.5337774157524109,0.19346465170383453,0.23039110004901886,0.4968397915363312,0.35210713744163513,0.22087086737155914,0.2479456067085266,0.2788774073123932,0.4566698372364044,0.1766936331987381,0.2562315762042999
european,0.11949624866247177,0.2440035194158554,0.3423081040382385,0.9999998807907104,0.398174911737442,0.24143946170806885,0.21879225969314575,0.05236247926950455,0.19249780476093292,0.2091801017522812,0.28714028000831604,0.25554242730140686,0.23395675420761108,0.3423081040382385,0.27786383032798767,0.14560863375663757
nations,0.1802302747964859,0.22762395441532135,0.3506215214729309,0.398174911737442,0.9999998807907104,0.2505394220352173,0.22384235262870789,0.1393754482269287,0.2384272813796997,0.18500196933746338,0.4378493130207062,0.4257693290710449,0.27692583203315735,0.3506215214729309,0.32771700620651245,0.20999202132225037
and,0.27806392312049866,0.34479495882987976,0.5171257257461548,0.24143946170806885,0.2505394220352173,1.0,0.2348099797964096,0.30934858322143555,0.3146885335445404,0.3601827025413513,0.28213179111480713,0.2974761426448822,0.36462149024009705,0.5171257257461548,0.17489491403102875,0.20544172823429108
japan,0.11159700155258179,0.16141492128372192,0.22735914587974548,0.21879225969314575,0.22384235262870789,0.2348099797964096,1.0,0.11753729730844498,0.15901145339012146,0.1818128079175949,0.33044925332069397,0.3006630837917328,0.1745821237564087,0.22735914587974548,0.23379391431808472,0.1312343180179596
sought,0.30171990394592285,0.3768143653869629,0.2821049392223358,0.2215680629014969,0.29329758882522583,0.2640237808227539,0.11452431976795197,0.18401920795440674,0.3017973303794861,0.2597581446170807,0.20711961388587952,0.22485145926475525,0.2582572102546692,0.2821049392223358,0.25020354986190796,0.1753331869840622
to,0.4100138247013092,0.4452643394470215,0.535392165184021,0.21011990308761597,0.26476410031318665,0.48971283435821533,0.24116237461566925,0.2442285269498825,0.37259936332702637,0.4069952368736267,0.2715383470058441,0.2828785181045532,0.2828781306743622,0.535392165184021,0.21038146317005157,0.29463258385658264
disassociate,0.2923489809036255,0.2848665416240692,0.32193049788475037,0.22929421067237854,0.3394477069377899,0.3393685519695282,0.1869829297065735,0.1814785599708557,0.30298006534576416,0.26281869411468506,0.3270406424999237,0.30660775303840637,0.24900664389133453,0.32193049788475037,0.3473259508609772,0.2709895968437195
themselves,0.25412479043006897,0.32371795177459717,0.3444426357746124,0.19249780476093292,0.2384272813796997,0.3146885335445404,0.15901145339012146,0.2027616649866104,1.0,0.21627750992774963,0.13945834338665009,0.19522622227668762,0.21271204948425293,0.3444426357746124,0.171883225440979,0.20170879364013672
from,0.2592364251613617,0.20248863101005554,0.40150508284568787,0.2091801017522812,0.18500196933746338,0.3601827025413513,0.1818128079175949,0.2992449700832367,0.21627750992774963,1.0,0.27339106798171997,0.24283263087272644,0.3186885714530945,0.40150508284568787,0.1873762011528015,0.19969791173934937
united,0.14904677867889404,0.21137088537216187,0.34367692470550537,0.28714028000831604,0.4378493130207062,0.28213179111480713,0.33044925332069397,0.0992666706442833,0.13945834338665009,0.27339106798171997,1.0000001192092896,0.8952266573905945,0.2649564743041992,0.34367692470550537,0.1907387673854828,0.17266890406608582
states,0.16029080748558044,0.21754568815231323,0.3463578522205353,0.25554242730140686,0.4257693290710449,0.2974761426448822,0.3006630837917328,0.1320144534111023,0.19522622227668762,0.24283263087272644,0.8952266573905945,1.0,0.2439209669828415,0.3463578522205353,0.17198017239570618,0.16272737085819244
foreign,0.20443053543567657,0.16029956936836243,0.2946566939353943,0.2914330065250397,0.35426267981529236,0.25234511494636536,0.21980780363082886,0.11362806707620621,0.22327908873558044,0.2357778251171112,0.27675479650497437,0.2659599483013153,0.2613697946071625,0.2946566939353943,0.27132073044776917,0.13770383596420288
