,who,did,the,broncos,beat,to,win,their,division,in,2015,?
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.535392165184021,0.28308698534965515,0.516537070274353,0.26203617453575134,0.6662389636039734,0.1466771513223648,0.22068053483963013
broncos,0.1763724684715271,0.1738176792860031,0.25985947251319885,1.0000001192092896,0.299129456281662,0.23674264550209045,0.29460665583610535,0.2565864324569702,0.2997756898403168,0.20316283404827118,-0.0028495145961642265,0.18377114832401276
defeated,0.24426424503326416,0.23103484511375427,0.2833898365497589,0.3003196120262146,0.4585265815258026,0.22105613350868225,0.4918956160545349,0.17199310660362244,0.16345104575157166,0.24813973903656006,0.2633931338787079,0.1413237303495407
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.535392165184021,0.28308698534965515,0.516537070274353,0.26203617453575134,0.6662389636039734,0.1466771513223648,0.22068053483963013
pittsburgh,0.19273275136947632,0.11489082127809525,0.22728557884693146,0.46763214468955994,0.1780538260936737,0.16627483069896698,0.22531622648239136,0.18049933016300201,0.09755098819732666,0.1921023428440094,-0.11197727918624878,0.17622371017932892
steelers,0.2024606466293335,0.1293059140443802,0.24458691477775574,0.6163044571876526,0.3288456201553345,0.20648124814033508,0.34262895584106445,0.2769385576248169,0.23290866613388062,0.16642944514751434,-0.06812445819377899,0.2030561864376068
in,0.2792111933231354,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.16871558129787445,0.45010748505592346,0.2503834664821625,0.34976133704185486,0.2658538520336151,1.0,0.0891268327832222,0.20430970191955566
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24951939284801483,0.535392165184021,0.28308698534965515,0.516537070274353,0.26203617453575134,0.6662389636039734,0.1466771513223648,0.22068053483963013
divisional,0.12287947535514832,0.17902438342571259,0.29866886138916016,0.32206958532333374,0.2122587412595749,0.19002176821231842,0.23858554661273956,0.17982441186904907,0.830296516418457,0.27742800116539,0.13931363821029663,0.08093056827783585
round,0.14290806651115417,0.11159620434045792,0.19933617115020752,0.2565499246120453,0.31973010301589966,0.22003763914108276,0.22705447673797607,0.16917337477207184,0.15777365863323212,0.17063008248806,0.041216932237148285,0.17003268003463745
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2718006372451782,0.44245919585227966,0.2999197840690613,0.3045167922973633,0.24344468116760254,0.5201468467712402,0.06568983197212219,0.31091248989105225
23–16,0.030127037316560745,0.004766777623444796,0.0726022943854332,0.4549325406551361,0.2160753756761551,0.003799776779487729,0.2717381715774536,-0.04785884544253349,0.2160530835390091,0.15335093438625336,0.003791280323639512,-0.04613818600773811
