,what,could,anyone,do,to,martin,luther,without,legal,consequence,?
it,0.45803478360176086,0.329755574464798,0.38150954246520996,0.337066113948822,0.513711154460907,0.22085990011692047,0.15365919470787048,0.23948165774345398,0.20401179790496826,0.20594234764575958,0.25732165575027466
permitted,0.2224852293729782,0.412985622882843,0.3526902496814728,0.3327924907207489,0.3581922650337219,0.027601921930909157,0.11069269478321075,0.3746410310268402,0.3806968629360199,0.33501219749450684,0.21977035701274872
anyone,0.5307026505470276,0.4343861937522888,1.0,0.3956851363182068,0.419222891330719,0.1912357658147812,0.21880435943603516,0.45250406861305237,0.29896578192710876,0.3048233985900879,0.4948124587535858
to,0.455847829580307,0.5461788773536682,0.419222891330719,0.38876664638519287,1.0,0.1691744029521942,0.18029534816741943,0.37970873713493347,0.2818027436733246,0.3111545145511627,0.29463258385658264
kill,0.2582238018512726,0.2145324945449829,0.2251468300819397,0.2541767656803131,0.328944593667984,0.09617604315280914,0.12932898104190826,0.19391663372516632,0.10408338904380798,0.1228034645318985,0.1932259500026703
luther,0.2134782373905182,0.1768653839826584,0.21880435943603516,0.10933273285627365,0.18029534816741943,0.6228963136672974,1.0,0.14397957921028137,0.23293247818946838,0.13237561285495758,0.1732746809720993
without,0.3181614279747009,0.35356050729751587,0.45250406861305237,0.3709314465522766,0.37970873713493347,0.14296431839466095,0.14397957921028137,1.0,0.31014466285705566,0.33769458532333374,0.2928665280342102
legal,0.26388198137283325,0.25446227192878723,0.29896578192710876,0.23565219342708588,0.2818027436733246,0.1654754877090454,0.23293247818946838,0.31014466285705566,0.9999998807907104,0.29928746819496155,0.2143220454454422
consequence,0.29853200912475586,0.2855500280857086,0.3048233985900879,0.25647273659706116,0.3111545145511627,0.11060889810323715,0.13237561285495758,0.33769458532333374,0.29928746819496155,0.9999999403953552,0.196389839053154
.,0.3567904531955719,0.3200591504573822,0.289960116147995,0.3613996207714081,0.4645031690597534,0.25235527753829956,0.24907569587230682,0.29967203736305237,0.24492493271827698,0.17088335752487183,0.4130953550338745
