,how,do,competing,businesses,attract,workers,?
their,0.3316696584224701,0.35424983501434326,0.24995701014995575,0.32231155037879944,0.3230469226837158,0.28854039311408997,0.1898253709077835
competitors,0.23067554831504822,0.2078501135110855,0.7730647325515747,0.34246107935905457,0.2181124985218048,0.23833726346492767,0.16859129071235657
will,0.41543328762054443,0.4303531050682068,0.21165211498737335,0.2713865637779236,0.3231368958950043,0.2307453602552414,0.35046905279159546
take,0.32433539628982544,0.40664049983024597,0.21930883824825287,0.242267906665802,0.25812944769859314,0.19951629638671875,0.21897350251674652
advantage,0.2616216540336609,0.20511838793754578,0.28034326434135437,0.24239201843738556,0.21538230776786804,0.19190329313278198,0.10412604361772537
of,0.2480744868516922,0.26150479912757874,0.19861507415771484,0.22186020016670227,0.22641630470752716,0.20827822387218475,0.1826142966747284
the,0.33890387415885925,0.30239659547805786,0.25845134258270264,0.25707828998565674,0.2244306355714798,0.23066683113574982,0.22068053483963013
situation,0.42087048292160034,0.25660836696624756,0.2764834463596344,0.2353033870458603,0.1955079734325409,0.22579796612262726,0.2714049518108368
by,0.34370526671409607,0.1481526494026184,0.1606784611940384,0.18947067856788635,0.1789720207452774,0.1887902021408081,0.17966607213020325
offering,0.19772285223007202,0.2320186048746109,0.2942796051502228,0.40034353733062744,0.24674254655838013,0.18049177527427673,0.15441901981830597
a,0.29312583804130554,0.26237669587135315,0.18894045054912567,0.2595558762550354,0.21770675480365753,0.25033822655677795,0.23916715383529663
higher,0.2273179441690445,0.25567880272865295,0.18160748481750488,0.2752610445022583,0.1987636685371399,0.2392912656068802,0.15679465234279633
wage,0.2567095160484314,0.2176283895969391,0.21621085703372955,0.3544451892375946,0.12876802682876587,0.4480087161064148,0.21983641386032104
the,0.33890387415885925,0.30239659547805786,0.25845134258270264,0.25707828998565674,0.2244306355714798,0.23066683113574982,0.22068053483963013
best,0.25441184639930725,0.23113809525966644,0.3326166570186615,0.1234753429889679,0.1729210466146469,0.12277223914861679,0.2799045741558075
of,0.2480744868516922,0.26150479912757874,0.19861507415771484,0.22186020016670227,0.22641630470752716,0.20827822387218475,0.1826142966747284
their,0.3316696584224701,0.35424983501434326,0.24995701014995575,0.32231155037879944,0.3230469226837158,0.28854039311408997,0.1898253709077835
labor,0.2055332511663437,0.16891427338123322,0.17220252752304077,0.31986966729164124,0.07132396847009659,0.5137044787406921,0.19386747479438782
.,0.3287222981452942,0.3613996207714081,0.18471822142601013,0.2546134889125824,0.17662270367145538,0.17509925365447998,0.4130953550338745
