,what,manner,of,words,does,mullet,think,luther,would,choose,?
however,0.4480680823326111,0.32798832654953003,0.3800618350505829,0.3321150243282318,0.4463717043399811,0.2435537576675415,0.516847550868988,0.19122347235679626,0.5514755845069885,0.3447820246219635,0.2152075469493866
",",0.3087472915649414,0.2023988962173462,0.4946078956127167,0.2805471420288086,0.28617382049560547,0.34736886620521545,0.3095206320285797,0.23255878686904907,0.32586824893951416,0.25782981514930725,0.31091248989105225
mullett,0.1533220410346985,0.10309987515211105,0.1948888599872589,0.06686316430568695,0.11963605880737305,0.7296211123466492,0.15392237901687622,0.24033905565738678,0.13161030411720276,0.16645057499408722,0.17166751623153687
suggests,0.3129163086414337,0.3235847055912018,0.2974354028701782,0.2767733633518219,0.33154788613319397,0.21302147209644318,0.408206969499588,0.03700398653745651,0.36494681239128113,0.24596241116523743,0.2323666214942932
that,0.6297725439071655,0.32388678193092346,0.41498205065727234,0.3719562590122223,0.4764937460422516,0.2216569036245346,0.5798900723457336,0.21746599674224854,0.5895259380340576,0.3452182114124298,0.32716336846351624
given,0.21883496642112732,0.22118675708770752,0.39388060569763184,0.2834293246269226,0.25750163197517395,0.13617712259292603,0.30405351519584656,0.10702143609523773,0.3330545723438263,0.341709166765213,0.2570464313030243
his,0.26976513862609863,0.24049614369869232,0.38364991545677185,0.2386544793844223,0.20403875410556793,0.155334934592247,0.24885986745357513,0.27093374729156494,0.292866975069046,0.1877552717924118,0.18075084686279297
nature,0.2566179633140564,0.3013390898704529,0.22892364859580994,0.19004042446613312,0.19841256737709045,0.15652377903461456,0.23711277544498444,0.146257683634758,0.21896317601203918,0.15863165259361267,0.17397694289684296
",",0.3087472915649414,0.2023988962173462,0.4946078956127167,0.2805471420288086,0.28617382049560547,0.34736886620521545,0.3095206320285797,0.23255878686904907,0.32586824893951416,0.25782981514930725,0.31091248989105225
``,0.008517155423760414,0.11817336082458496,0.06780257821083069,0.14403259754180908,0.06539655476808548,0.07176665961742401,0.021398255601525307,-0.013964727520942688,0.08063928782939911,0.09017355740070343,0.0685480609536171
we,0.5622460842132568,0.3082931339740753,0.2769293785095215,0.3491147458553314,0.4014210104942322,0.12721683084964752,0.6787288188934326,0.16611410677433014,0.5316502451896667,0.3461090624332428,0.535264790058136
