,what,was,the,occasion,for,the,boat,demonstration,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.16129016876220703,0.4322226941585541,0.6662389636039734,0.1934967190027237,0.27814018726348877,0.20430970191955566
1898,0.27383363246917725,-0.018546821549534798,-0.022823922336101532,0.08213676512241364,0.07176770269870758,-0.022823922336101532,0.12478993088006973,-0.04484476521611214,0.1948045939207077
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.27114757895469666,0.4464869201183319,0.4933079481124878,0.21446914970874786,0.27810192108154297,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.1115165501832962,0.13983871042728424,0.1324402391910553,0.11209569126367569,0.33262601494789124,0.10250775516033173
demonstrated,0.20940876007080078,0.21351228654384613,0.2412586510181427,0.17693249881267548,0.30166593194007874,0.2412586510181427,0.0791049674153328,0.8073047995567322,0.1947716772556305
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.23190216720104218,0.44038116931915283,0.5829201340675354,0.26391369104385376,0.26581549644470215,0.23916715383529663
radio-controlled,0.31165561079978943,0.26627612113952637,0.3496111035346985,0.06259213387966156,0.21597565710544586,0.3496111035346985,0.21700245141983032,0.2743142247200012,0.18487884104251862
boat—which,0.3004089891910553,0.3802085518836975,0.4623936712741852,0.3203015625476837,0.3407534658908844,0.4623936712741852,0.732565701007843,0.23147496581077576,0.2530039846897125
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.3424264192581177,0.4540175199508667,0.4571082592010498,0.2337060123682022,0.23625464737415314,0.2089974731206894
dubbed,0.07724779844284058,0.3000064492225647,0.2979377508163452,0.1950378119945526,0.2250577211380005,0.2979377508163452,0.10136682540178299,0.22247953712940216,0.14647041261196136
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.06278536468744278,0.01270448137074709,0.029072100296616554,-0.0019328135531395674,0.02130320481956005,0.0685480609536171
teleautomaton,0.3454027771949768,0.1665952354669571,0.2658497393131256,0.10283217579126358,0.27477917075157166,0.2658497393131256,0.1617487668991089,0.20305919647216797,0.29741448163986206
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,-0.06278664618730545,-0.04479556903243065,0.041273195296525955,-0.10054222494363785,-0.06051810085773468,0.018684765323996544
—to,0.28869226574897766,0.16239690780639648,0.20468340814113617,0.15102405846118927,0.25156229734420776,0.20468340814113617,0.08405610918998718,0.16571953892707825,0.3152444362640381
the,0.42745697498321533,0.48711544275283813,1.0,0.22899624705314636,0.4739971458911896,1.0,0.2424127608537674,0.2881111800670624,0.22068053483963013
public,0.1729622185230255,0.2513592839241028,0.22857438027858734,0.2260321080684662,0.3092794418334961,0.22857438027858734,0.18656980991363525,0.24812373518943787,0.19872993230819702
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.31931862235069275,0.3448435664176941,0.4838213622570038,0.24480409920215607,0.27918556332588196,0.1325719803571701
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.13905435800552368,0.3236706852912903,0.4207492768764496,0.14891000092029572,0.18899418413639069,0.19793890416622162
electrical,0.19961315393447876,0.2032313495874405,0.2523402273654938,0.11273343861103058,0.20076188445091248,0.2523402273654938,0.09086193144321442,0.27875983715057373,0.10923371464014053
exhibition,0.1526671200990677,0.24921445548534393,0.22614671289920807,0.17596448957920074,0.269664466381073,0.22614671289920807,0.17645755410194397,0.3352757394313812,0.11494685709476471
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.1614541858434677,0.34237727522850037,0.457212895154953,0.19056570529937744,0.2638597786426544,0.21978627145290375
madison,0.18737371265888214,0.2292308360338211,0.24276024103164673,0.15754207968711853,0.20578211545944214,0.24276024103164673,0.08521805703639984,0.20371359586715698,0.15323159098625183
square,0.12660330533981323,0.17827357351779938,0.2809545397758484,0.14135690033435822,0.1615643948316574,0.2809545397758484,0.18520411849021912,0.2573259472846985,0.1201515942811966
garden,0.20641201734542847,0.2112511396408081,0.23359008133411407,0.14898501336574554,0.19887973368167877,0.23359008133411407,0.2150377780199051,0.17941561341285706,0.16720405220985413
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.18884871900081635,0.4726039469242096,0.5934505462646484,0.2795538306236267,0.20932240784168243,0.4130953550338745
