,what,declaration,predicated,the,emigration,of,huguenot,refugees,?
after,0.21973377466201782,0.21392834186553955,0.15760385990142822,0.4565047025680542,0.2487487643957138,0.3867455720901489,0.26476725935935974,0.21363522112369537,0.16608688235282898
the,0.42745697498321533,0.28377723693847656,0.19102923572063446,1.0,0.33268171548843384,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
revocation,0.3527876138687134,0.395569384098053,0.25979965925216675,0.28586745262145996,0.3566741347312927,0.2844073474407196,0.29530271887779236,0.2884339392185211,0.32403331995010376
of,0.33290785551071167,0.3193452060222626,0.21827566623687744,0.733189046382904,0.28587231040000916,1.0,0.29061198234558105,0.1848231703042984,0.1826142966747284
the,0.42745697498321533,0.28377723693847656,0.19102923572063446,1.0,0.33268171548843384,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
edict,0.16707053780555725,0.3241495192050934,0.31069615483283997,0.17931364476680756,0.29280781745910645,0.2533416450023651,0.3915477693080902,0.27711600065231323,0.16218337416648865
of,0.33290785551071167,0.3193452060222626,0.21827566623687744,0.733189046382904,0.28587231040000916,1.0,0.29061198234558105,0.1848231703042984,0.1826142966747284
nantes,0.13674625754356384,0.22294487059116364,0.14518770575523376,0.20705030858516693,0.25004842877388,0.21890923380851746,0.5313296914100647,0.18013039231300354,0.15215469896793365
",",0.3087472915649414,0.264011949300766,0.19465237855911255,0.4933079481124878,0.2729322612285614,0.4946078956127167,0.24752236902713776,0.18526069819927216,0.31091248989105225
the,0.42745697498321533,0.28377723693847656,0.19102923572063446,1.0,0.33268171548843384,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
dutch,0.1643560230731964,0.13698500394821167,0.13732729852199554,0.1705695390701294,0.17033758759498596,0.14408773183822632,0.39192789793014526,0.18563847243785858,0.1081366017460823
republic,0.18626701831817627,0.3518819212913513,0.14622916281223297,0.2862427830696106,0.24219952523708344,0.2802940905094147,0.2274702787399292,0.2593606412410736,0.16880398988723755
received,0.1010502278804779,0.20357899367809296,0.13578978180885315,0.24890556931495667,0.20951847732067108,0.2628524899482727,0.17008842527866364,0.25680333375930786,0.11905962228775024
the,0.42745697498321533,0.28377723693847656,0.19102923572063446,1.0,0.33268171548843384,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
largest,0.13463157415390015,0.07397806644439697,0.10183566808700562,0.3757036626338959,0.20284095406532288,0.36650770902633667,0.19646020233631134,0.14617009460926056,0.12401245534420013
group,0.2114069163799286,0.09494832903146744,0.14867031574249268,0.30795547366142273,0.25042662024497986,0.25542253255844116,0.1790638267993927,0.18581844866275787,0.13827809691429138
of,0.33290785551071167,0.3193452060222626,0.21827566623687744,0.733189046382904,0.28587231040000916,1.0,0.29061198234558105,0.1848231703042984,0.1826142966747284
huguenot,0.1912020891904831,0.33278825879096985,0.1609358787536621,0.29557526111602783,0.4025833308696747,0.29061198234558105,1.0000001192092896,0.3226073086261749,0.1359742432832718
refugees,0.17684882879257202,0.2848912179470062,0.11847051233053207,0.2474880963563919,0.4884684979915619,0.1848231703042984,0.3226073086261749,1.0,0.10817430168390274
",",0.3087472915649414,0.264011949300766,0.19465237855911255,0.4933079481124878,0.2729322612285614,0.4946078956127167,0.24752236902713776,0.18526069819927216,0.31091248989105225
an,0.2821882665157318,0.18660731613636017,0.21578314900398254,0.4207492768764496,0.17505939304828644,0.32280945777893066,0.18697282671928406,0.10094741731882095,0.19793890416622162
estimated,0.19670580327510834,0.1112431064248085,0.28053972125053406,0.29184040427207947,0.251755028963089,0.30473583936691284,0.20110413432121277,0.27209386229515076,0.18149758875370026
total,0.19850242137908936,0.14617407321929932,0.16871140897274017,0.27068960666656494,0.11565952748060226,0.29045331478118896,0.13261821866035461,0.11049387603998184,0.14396025240421295
of,0.33290785551071167,0.3193452060222626,0.21827566623687744,0.733189046382904,0.28587231040000916,1.0,0.29061198234558105,0.1848231703042984,0.1826142966747284
"75,000",0.030178425833582878,0.02456684038043022,-0.08794617652893066,0.10290729999542236,-0.008470534346997738,0.11166533827781677,0.04231971874833107,0.032556451857089996,0.026292284950613976
to,0.455847829580307,0.23193620145320892,0.2863733768463135,0.535392165184021,0.2972380816936493,0.41548454761505127,0.24496324360370636,0.24055486917495728,0.29463258385658264
"100,000",0.05318872258067131,0.025297479704022408,0.1978801190853119,0.12082944065332413,-0.05183545872569084,0.15585832297801971,0.09757385402917862,-0.13661590218544006,0.035472359508275986
people,0.32444337010383606,0.23489977419376373,0.16241158545017242,0.36838498711586,0.23790660500526428,0.3251037895679474,0.2596796452999115,0.3616764545440674,0.23739641904830933
.,0.3567904531955719,0.2248830944299698,0.20911788940429688,0.5934505462646484,0.29217660427093506,0.5352458953857422,0.2060975730419159,0.20494338870048523,0.4130953550338745
