,what,does,warszawa,mean,in,polish,?
warsaw,0.10373849421739578,0.16921466588974,0.5773555040359497,0.08629105985164642,0.22642600536346436,0.6311136484146118,0.09769917279481888
's,0.02692362666130066,-0.02895052544772625,0.005772850941866636,0.023306747898459435,-0.037580832839012146,0.047667719423770905,-0.023395681753754616
name,0.18623162806034088,0.21063627302646637,0.16953648626804352,0.22177204489707947,0.2459065467119217,0.14126770198345184,0.15381577610969543
in,0.30808621644973755,0.214483380317688,0.21249134838581085,0.2099098116159439,1.0,0.1896398365497589,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.20702846348285675,0.25977957248687744,0.6662389636039734,0.17708231508731842,0.22068053483963013
polish,0.08233486860990524,0.12843264639377594,0.4174444079399109,0.10405828058719635,0.1896398365497589,1.0,0.14012759923934937
language,0.28220435976982117,0.1965407431125641,0.20533989369869232,0.2613634467124939,0.23268210887908936,0.18849898874759674,0.25349316000938416
is,0.28837618231773376,0.4403602182865143,0.14272388815879822,0.3152560591697693,0.5394441485404968,0.14989061653614044,0.22961433231830597
warszawa,0.10578237473964691,0.08519752323627472,0.9999998807907104,0.07791048288345337,0.21249134838581085,0.4174444079399109,0.16275280714035034
",",0.3087472915649414,0.28617382049560547,0.2625257670879364,0.27540135383605957,0.5201468467712402,0.2655222415924072,0.31091248989105225
approximately,0.21610312163829803,0.16432708501815796,0.11788973957300186,0.16184931993484497,0.3145860731601715,0.16094088554382324,0.10237617790699005
/vɑːrˈʃɑːvə/,0.1926191747188568,0.10804109275341034,0.26082563400268555,0.10458001494407654,0.18870094418525696,0.19782327115535736,0.159733846783638
(,0.2411840260028839,0.2728188931941986,0.3256986737251282,0.24319502711296082,0.3087427020072937,0.19593769311904907,0.40561532974243164
also,0.42747777700424194,0.4118025600910187,0.14777694642543793,0.3196479380130768,0.5073733329772949,0.1757330447435379,0.21848613023757935
formerly,0.1585959643125534,0.13822227716445923,0.22020700573921204,0.10309704393148422,0.25645580887794495,0.13430634140968323,0.0843876302242279
spelled,0.15883488953113556,0.17424164712429047,0.15614047646522522,0.26220589876174927,0.22594206035137177,0.11737572401762009,0.13924984633922577
warszewa,0.14544449746608734,0.11038953065872192,0.8415200710296631,0.1301347017288208,0.27662786841392517,0.4901088774204254,0.20756083726882935
and,0.31309178471565247,0.3461615741252899,0.19907118380069733,0.22596950829029083,0.4954058527946472,0.2486540973186493,0.20544172823429108
warszowa,0.117624931037426,0.06447144597768784,0.8199750781059265,0.13186323642730713,0.2726106643676758,0.4565432071685791,0.15968017280101776
