,why,has,warsaw,seen,many,improvements,over,the,past,decade,?
however,0.425906240940094,0.3999234735965729,0.15847697854042053,0.4005177319049835,0.5381983518600464,0.33235788345336914,0.45125138759613037,0.49814513325691223,0.37044790387153625,0.2758053243160248,0.2152075469493866
",",0.2827242314815521,0.3734780251979828,0.25300899147987366,0.28642043471336365,0.40610817074775696,0.32688429951667786,0.3301127254962921,0.4933079481124878,0.25483980774879456,0.18535472452640533,0.31091248989105225
over,0.27820903062820435,0.370955228805542,0.11534307152032852,0.2886390686035156,0.47131630778312683,0.2591037154197693,1.0,0.39856547117233276,0.4169456362724304,0.30265486240386963,0.25742942094802856
the,0.30742117762565613,0.4177538752555847,0.23137180507183075,0.3442007005214691,0.4335206151008606,0.269887775182724,0.39856547117233276,1.0,0.2747827172279358,0.2552448511123657,0.22068053483963013
past,0.33946990966796875,0.3907585144042969,0.14292961359024048,0.2699003219604492,0.4130312204360962,0.3037218451499939,0.4169456362724304,0.2747827172279358,0.9999999403953552,0.2777310907840729,0.2598046660423279
decade,0.11011532694101334,0.20074307918548584,0.11887286603450775,0.1689542680978775,0.2173006236553192,0.27477702498435974,0.30265486240386963,0.2552448511123657,0.2777310907840729,1.0000001192092896,0.11237446963787079
warsaw,0.12199772894382477,0.16755639016628265,1.0,0.09064557403326035,0.1653265357017517,0.20301344990730286,0.11534307152032852,0.23137180507183075,0.14292961359024048,0.11887286603450775,0.09769917279481888
has,0.24175488948822021,1.0,0.16755639016628265,0.2517690062522888,0.4266262650489807,0.2687196433544159,0.370955228805542,0.4177538752555847,0.3907585144042969,0.20074307918548584,0.15994466841220856
seen,0.3148857057094574,0.2517690062522888,0.09064557403326035,1.0,0.34234827756881714,0.2263087034225464,0.2886390686035156,0.3442007005214691,0.2699003219604492,0.1689542680978775,0.2567344307899475
many,0.38531482219696045,0.4266262650489807,0.1653265357017517,0.34234827756881714,0.9999999403953552,0.3468572199344635,0.47131630778312683,0.4335206151008606,0.4130312204360962,0.2173006236553192,0.2124512493610382
improvements,0.20392942428588867,0.2687196433544159,0.20301344990730286,0.2263087034225464,0.3468572199344635,0.9999999403953552,0.2591037154197693,0.269887775182724,0.3037218451499939,0.27477702498435974,0.26583096385002136
due,0.24495384097099304,0.19837327301502228,0.17273680865764618,0.25585049390792847,0.214676633477211,0.25906816124916077,0.2075299322605133,0.22577603161334991,0.18351854383945465,0.1776762306690216,0.10954997688531876
to,0.4100138247013092,0.3619994819164276,0.1953994333744049,0.2634880542755127,0.40243685245513916,0.320855051279068,0.38635820150375366,0.535392165184021,0.3031400740146637,0.16759321093559265,0.29463258385658264
solid,0.2757077217102051,0.21679756045341492,0.1519998013973236,0.21319974958896637,0.228647381067276,0.17295102775096893,0.16472430527210236,0.21678750216960907,0.18723243474960327,0.15551011264324188,0.2297065705060959
economic,0.19009041786193848,0.2052665501832962,0.260360449552536,0.1169089823961258,0.25956982374191284,0.23758749663829803,0.1459772288799286,0.282455176115036,0.20098289847373962,0.21363364160060883,0.1206481084227562
