,what,does,the,immune,system,protect,against,?
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.2541976273059845,0.26662686467170715,0.3276433050632477,0.310872346162796,0.29463258385658264
function,0.22155974805355072,0.23271898925304413,0.2037137746810913,0.33145061135292053,0.30217769742012024,0.24887615442276,0.09084667265415192,0.20672395825386047
properly,0.37598976492881775,0.3755761981010437,0.28738877177238464,0.2336363047361374,0.2825813889503479,0.2658647894859314,0.08881335705518723,0.3050191104412079
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.22548046708106995,0.31168749928474426,0.31091248989105225
an,0.2821882665157318,0.29477936029434204,0.4207492768764496,0.20370379090309143,0.17536801099777222,0.18392978608608246,0.17087337374687195,0.19793890416622162
immune,0.2410416603088379,0.22944720089435577,0.21364226937294006,1.0,0.3962631821632385,0.261508584022522,0.26737844944000244,0.16080476343631744
system,0.23557309806346893,0.2021704614162445,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.167859748005867,0.1443454623222351,0.15556083619594574
must,0.30362528562545776,0.5070070028305054,0.2713140547275543,0.2441614270210266,0.23213762044906616,0.2433142513036728,0.1582689881324768,0.23707495629787445
detect,0.2313081920146942,0.267243355512619,0.242866650223732,0.35782623291015625,0.30013588070869446,0.36313122510910034,0.14435720443725586,0.20705679059028625
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.20466765761375427,0.2589043080806732,0.21272259950637817,0.2227657586336136,0.23916715383529663
wide,0.22181174159049988,0.18184135854244232,0.28078147768974304,0.09945198148488998,0.1658249795436859,0.21762782335281372,0.09809301793575287,0.12719376385211945
variety,0.20492127537727356,0.1519579142332077,0.22543764114379883,0.2318156510591507,0.14920534193515778,0.14758701622486115,0.12567275762557983,0.13376861810684204
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.16620753705501556,0.25597915053367615,0.19880573451519012,0.2669808566570282,0.1826142966747284
