,after,1945,",",what,challenged,the,french,empire,?
however,0.41216742992401123,-0.1281912624835968,0.4037865996360779,0.4480680823326111,0.3700755536556244,0.49814513325691223,0.17906759679317474,0.22600525617599487,0.2152075469493866
after,1.0,-0.05498345196247101,0.38860568404197693,0.21973377466201782,0.342441588640213,0.4565047025680542,0.18600507080554962,0.23534879088401794,0.16608688235282898
1945,-0.05498345196247101,0.9999999403953552,0.05705150589346886,-0.14733538031578064,0.05787969008088112,-0.12090112268924713,-0.0374775305390358,-0.0469297394156456,-0.03421006724238396
anti-colonial,0.2573396563529968,-0.11689586192369461,0.28887346386909485,0.21838143467903137,0.2687920033931732,0.3057573139667511,0.32063034176826477,0.38989579677581787,0.1794319450855255
movements,0.10298584401607513,-0.10041704028844833,0.2241983860731125,0.23197974264621735,0.1437220722436905,0.31594985723495483,0.18205080926418304,0.1346619427204132,0.1501890867948532
began,0.42210453748703003,0.006442368496209383,0.2705576717853546,0.1665823757648468,0.2220754474401474,0.3059147596359253,0.17735633254051208,0.21061348915100098,0.1370266228914261
to,0.37890323996543884,-0.12532354891300201,0.44245919585227966,0.455847829580307,0.2755841314792633,0.535392165184021,0.1713797152042389,0.21448755264282227,0.29463258385658264
challenge,0.29858076572418213,-0.017569392919540405,0.23062120378017426,0.2741846442222595,0.7865375280380249,0.28209173679351807,0.1273624747991562,0.2124750316143036,0.2207598239183426
the,0.4565047025680542,-0.12090112268924713,0.4933079481124878,0.42745697498321533,0.2500322163105011,1.0,0.2555147111415863,0.32532164454460144,0.22068053483963013
empire,0.23534879088401794,-0.0469297394156456,0.27646857500076294,0.21723191440105438,0.1917727142572403,0.32532164454460144,0.2086276113986969,1.0000001192092896,0.14909450709819794
.,0.35870397090911865,-0.019170649349689484,0.6812511086463928,0.3567904531955719,0.21830077469348907,0.5934505462646484,0.2480926215648651,0.2811720371246338,0.4130953550338745
