,in,the,process,of,vaccination,",",what,is,introduced,in,order,to,develop,a,specific,immunity,?
the,0.6662389636039734,1.0,0.264274537563324,0.733189046382904,0.19237637519836426,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.242969810962677,0.6662389636039734,0.3284194767475128,0.535392165184021,0.26276466250419617,0.5829201340675354,0.3501757085323334,0.25992491841316223,0.22068053483963013
principle,0.16382117569446564,0.24017377197742462,0.3609940707683563,0.2430231273174286,0.32133740186691284,0.22548964619636536,0.3569014072418213,0.20634804666042328,0.23336827754974365,0.16382117569446564,0.2571549415588379,0.22799374163150787,0.2299930900335312,0.1871873140335083,0.2652134597301483,0.22724275290966034,0.2002675086259842
behind,0.3174246549606323,0.38928431272506714,0.11835657060146332,0.2801654636859894,0.0732160285115242,0.27367478609085083,0.1959938108921051,0.24618369340896606,0.10130105167627335,0.3174246549606323,0.13419952988624573,0.2780356705188751,0.1648479402065277,0.26228266954421997,0.1894194781780243,0.1390485018491745,0.19274599850177765
vaccination,0.19506871700286865,0.19237637519836426,0.3088521659374237,0.1953464299440384,1.0000001192092896,0.2128513753414154,0.2781207263469696,0.16436927020549774,0.23438705503940582,0.19506871700286865,0.1619671881198883,0.28497716784477234,0.3565562665462494,0.20833338797092438,0.31288209557533264,0.466124564409256,0.2296753078699112
(,0.3087427020072937,0.33289089798927307,0.15470461547374725,0.35032153129577637,0.11707475036382675,0.6363511681556702,0.2411840260028839,0.35393038392066956,0.1706768423318863,0.3087427020072937,0.1917618215084076,0.30882009863853455,0.09047092497348785,0.3206180930137634,0.2145749181509018,0.14039519429206848,0.40561532974243164
also,0.5073733329772949,0.6021018624305725,0.23756733536720276,0.4924938678741455,0.2921029031276703,0.4717654287815094,0.42747777700424194,0.5012649297714233,0.26052504777908325,0.5073733329772949,0.2635660767555237,0.5348826050758362,0.25111573934555054,0.5149940252304077,0.29924002289772034,0.20484919846057892,0.21848613023757935
called,0.40847352147102356,0.489897221326828,0.20657534897327423,0.4222904443740845,0.16266022622585297,0.26549121737480164,0.3235960602760315,0.430266410112381,0.3185385465621948,0.40847352147102356,0.19453170895576477,0.2987143397331238,0.2710880935192108,0.4868806302547455,0.21085023880004883,0.15664662420749664,0.18963319063186646
immunization,0.18476538360118866,0.31715086102485657,0.40506675839424133,0.2503308951854706,0.6452689170837402,0.2435542494058609,0.2880867123603821,0.22283697128295898,0.15938004851341248,0.18476538360118866,0.29980096220970154,0.2861436903476715,0.3445297181606293,0.24674543738365173,0.35558199882507324,0.6874008178710938,0.25270628929138184
),0.3326910734176636,0.3456730246543884,0.14333556592464447,0.3680361211299896,0.1263783723115921,0.63033527135849,0.26259949803352356,0.37732169032096863,0.15697863698005676,0.3326910734176636,0.2052282840013504,0.31236231327056885,0.09497416764497757,0.3640355169773102,0.1913466602563858,0.11909116804599762,0.42300865054130554
is,0.5394441485404968,0.5823672413825989,0.21762968599796295,0.4854315221309662,0.16436927020549774,0.4691906273365021,0.28837618231773376,1.0,0.18314895033836365,0.5394441485404968,0.19403748214244843,0.42745086550712585,0.1934473067522049,0.658733606338501,0.27748769521713257,0.15477107465267181,0.22961433231830597
