,in,what,year,is,the,oldest,pharmacy,said,to,have,been,established,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.5823672413825989,1.0,0.30836519598960876,0.1938311904668808,0.3024602234363556,0.535392165184021,0.40389683842658997,0.3563927710056305,0.33092597126960754,0.22068053483963013
oldest,0.33251360058784485,0.12504005432128906,0.19566205143928528,0.3135911226272583,0.30836519598960876,0.9999999403953552,0.1127052828669548,0.11194653064012527,0.16884976625442505,0.20033782720565796,0.2191784828901291,0.29543769359588623,0.14864160120487213
is,0.5394441485404968,0.28837618231773376,0.2402215600013733,1.0,0.5823672413825989,0.3135911226272583,0.16101746261119843,0.2595660388469696,0.42745086550712585,0.3613572418689728,0.39566612243652344,0.1754443645477295,0.22961433231830597
claimed,0.21382014453411102,0.2667301297187805,0.2035185843706131,0.17499059438705444,0.2761930227279663,0.19088418781757355,0.07714242488145828,0.490069180727005,0.2575981914997101,0.27874717116355896,0.30681607127189636,0.3025869131088257,0.2083493024110794
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.42745086550712585,0.535392165184021,0.16884976625442505,0.1824638396501541,0.34274402260780334,1.0,0.4544740617275238,0.34945759177207947,0.15850777924060822,0.29463258385658264
have,0.36843645572662354,0.39808809757232666,0.23220738768577576,0.3613572418689728,0.40389683842658997,0.20033782720565796,0.172938272356987,0.3617204427719116,0.4544740617275238,0.9999999403953552,0.6493861675262451,0.17518210411071777,0.32991164922714233
been,0.3515113592147827,0.2567804455757141,0.2560553550720215,0.39566612243652344,0.3563927710056305,0.2191784828901291,0.07285185903310776,0.32838234305381775,0.34945759177207947,0.6493861675262451,0.9999998807907104,0.18789145350456238,0.24354910850524902
set,0.2663729190826416,0.28954121470451355,0.16030070185661316,0.21148966252803802,0.2927955985069275,0.05283316224813461,0.1234428659081459,0.1911209374666214,0.320547491312027,0.24742956459522247,0.16857275366783142,0.20333877205848694,0.1698019951581955
up,0.3120773434638977,0.28591108322143555,0.16653390228748322,0.2853454053401947,0.38423117995262146,0.12165079265832901,0.13557898998260498,0.24499623477458954,0.40375280380249023,0.34569859504699707,0.22395798563957214,0.15988722443580627,0.1819818764925003
in,1.0,0.30808621644973755,0.3359307050704956,0.5394441485404968,0.6662389636039734,0.33251360058784485,0.22082467377185822,0.23461468517780304,0.45010748505592346,0.36843645572662354,0.3515113592147827,0.3118882477283478,0.20430970191955566
1221,0.042547889053821564,0.2299218624830246,0.07971842586994171,0.12556546926498413,0.0773986354470253,0.07672490924596786,0.24493065476417542,0.13581150770187378,0.09441270679235458,0.16526852548122406,0.08879179507493973,0.11392069607973099,0.3804313540458679
in,1.0,0.30808621644973755,0.3359307050704956,0.5394441485404968,0.6662389636039734,0.33251360058784485,0.22082467377185822,0.23461468517780304,0.45010748505592346,0.36843645572662354,0.3515113592147827,0.3118882477283478,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.5823672413825989,1.0,0.30836519598960876,0.1938311904668808,0.3024602234363556,0.535392165184021,0.40389683842658997,0.3563927710056305,0.33092597126960754,0.22068053483963013
church,0.2493300437927246,0.1944202184677124,0.17190417647361755,0.203276589512825,0.23846197128295898,0.21877340972423553,0.07648252695798874,0.1711566299200058,0.24439501762390137,0.14373023808002472,0.19947001338005066,0.21564553678035736,0.18081501126289368
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4854315221309662,0.733189046382904,0.33351290225982666,0.18226979672908783,0.29014745354652405,0.41548454761505127,0.3802283704280853,0.31685134768486023,0.2735237777233124,0.1826142966747284
santa,0.20108501613140106,0.23841293156147003,0.11570822447538376,0.1796122044324875,0.23511074483394623,0.1465904265642166,0.1271529495716095,0.10383054614067078,0.17084521055221558,0.15219612419605255,0.1662767380475998,0.10566716641187668,0.17321589589118958
maria,0.20570816099643707,0.157850980758667,0.18614840507507324,0.12217415869235992,0.15531538426876068,0.17457345128059387,0.07144766300916672,0.1875285506248474,0.18360072374343872,0.14528916776180267,0.1923065334558487,0.09080468118190765,0.16458186507225037
