,where,did,luther,spend,his,career,?
he,0.3705328106880188,0.3292143940925598,0.2454872578382492,0.2832432687282562,0.7171558737754822,0.4547770023345947,0.2089974731206894
spent,0.23081740736961365,0.26986101269721985,0.10460559278726578,0.6740381121635437,0.4525286853313446,0.41965994238853455,0.09774520993232727
the,0.5003893971443176,0.34736719727516174,0.1759674996137619,0.21215185523033142,0.4394008219242096,0.19230268895626068,0.22068053483963013
rest,0.4005465805530548,0.2655303180217743,0.1438615471124649,0.36393654346466064,0.32109877467155457,0.1651107668876648,0.1725541204214096
of,0.38066378235816956,0.2513895630836487,0.1719115972518921,0.2479970008134842,0.38364991545677185,0.18121089041233063,0.1826142966747284
his,0.29880598187446594,0.3546801507472992,0.27093374729156494,0.28552481532096863,0.9999998807907104,0.46897244453430176,0.18075084686279297
career,0.13192176818847656,0.2809877395629883,0.23338311910629272,0.2534926235675812,0.46897244453430176,0.9999999403953552,0.1300809234380722
in,0.5344807505607605,0.2593238651752472,0.20523880422115326,0.211025670170784,0.3598145842552185,0.2564375698566437,0.20430970191955566
this,0.4012809097766876,0.3609912693500519,0.17328955233097076,0.25280025601387024,0.3549620509147644,0.16351760923862457,0.3155723512172699
position,0.24009771645069122,0.2170831561088562,0.15110158920288086,0.09197650104761124,0.2973788380622864,0.26253893971443176,0.15529610216617584
at,0.4402937591075897,0.28390252590179443,0.13834704458713531,0.2675708532333374,0.27659502625465393,0.2598465383052826,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,0.1759674996137619,0.21215185523033142,0.4394008219242096,0.19230268895626068,0.22068053483963013
university,0.26550742983818054,0.15114416182041168,0.2046351283788681,0.15893137454986572,0.22286750376224518,0.23426392674446106,0.11887256056070328
of,0.38066378235816956,0.2513895630836487,0.1719115972518921,0.2479970008134842,0.38364991545677185,0.18121089041233063,0.1826142966747284
wittenberg,0.20689909160137177,0.15746602416038513,0.42518264055252075,0.06053469330072403,0.28627532720565796,0.14647941291332245,0.15716047585010529
.,0.41390106081962585,0.35288307070732117,0.24907569587230682,0.26459771394729614,0.3119256794452667,0.2458854615688324,0.4130953550338745
