,what,feature,of,the,amazon,made,people,believe,it,could,n't,have,many,inhabitants,?
for,0.3017193675041199,0.3259601891040802,0.4185989499092102,0.4739971458911896,0.165912926197052,0.3147922456264496,0.24900002777576447,0.2833847403526306,0.32171204686164856,0.3405117690563202,-0.05512906610965729,0.41175219416618347,0.40972793102264404,0.10000225901603699,0.264628142118454
a,0.3320399522781372,0.2832804024219513,0.5052502155303955,0.5829201340675354,0.1865728348493576,0.3180864453315735,0.3483705520629883,0.2732302248477936,0.5452592968940735,0.3736826181411743,0.013574101030826569,0.338716596364975,0.2872205972671509,0.2153775542974472,0.23916715383529663
long,0.28276848793029785,0.18158258497714996,0.2567519545555115,0.3075225353240967,0.12735550105571747,0.22723093628883362,0.2521671652793884,0.18681974709033966,0.34568047523498535,0.23749995231628418,0.05002713203430176,0.3668093681335449,0.33054181933403015,0.16485431790351868,0.19699987769126892
time,0.36319252848625183,0.1852640062570572,0.35127586126327515,0.43061500787734985,0.12090844660997391,0.25157099962234497,0.25196269154548645,0.3178318440914154,0.3375589847564697,0.31976425647735596,-0.04533824697136879,0.3659670352935791,0.3523001968860626,0.1568247526884079,0.27391523122787476
",",0.3087472915649414,0.22241170704364777,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.32507219910621643,0.36644625663757324,0.2459280639886856,0.48329564929008484,0.27399855852127075,0.11016341298818588,0.3541618287563324,0.40610817074775696,0.2508344054222107,0.31091248989105225
it,0.45803478360176086,0.25966158509254456,0.38761502504348755,0.6251175999641418,0.22231659293174744,0.3944323658943176,0.3940119743347168,0.31943458318710327,0.9999999403953552,0.329755574464798,-0.08058576285839081,0.40974161028862,0.39615920186042786,0.27168354392051697,0.25732165575027466
was,0.22111038863658905,0.2405846118927002,0.4069072902202606,0.48711544275283813,0.14616160094738007,0.3433256447315216,0.2518421411514282,0.20507054030895233,0.4577186405658722,0.39896807074546814,0.06924254447221756,0.2863433063030243,0.260356068611145,0.2085801661014557,0.18412111699581146
thought,0.4469435214996338,0.19964256882667542,0.34673458337783813,0.3509289622306824,0.21918247640132904,0.328612744808197,0.29005101323127747,0.5178767442703247,0.3732614517211914,0.46168604493141174,-0.021504567936062813,0.45581644773483276,0.39938586950302124,0.13670286536216736,0.2600135803222656
that,0.6297725439071655,0.315730482339859,0.41498205065727234,0.5473989248275757,0.2228476107120514,0.3437977731227875,0.3621441423892975,0.533393383026123,0.5921133160591125,0.5584503412246704,-0.130638986825943,0.6182622313499451,0.5391656160354614,0.15930089354515076,0.32716336846351624
the,0.42745697498321533,0.3053930699825287,0.733189046382904,1.0,0.260541707277298,0.3885267674922943,0.36838498711586,0.2972484529018402,0.6251175999641418,0.35393214225769043,-0.11449059844017029,0.40389683842658997,0.4335206151008606,0.2644902467727661,0.22068053483963013
