,what,format,do,hearst,television,'s,abc,affiliates,transmit,in,?
however,0.4480680823326111,0.20738361775875092,0.39999139308929443,0.25882890820503235,0.14902710914611816,0.011690815910696983,0.13561899960041046,0.17144209146499634,0.2468506544828415,0.3982149362564087,0.2152075469493866
",",0.3087472915649414,0.21768099069595337,0.3283645510673523,0.2706144154071808,0.27995240688323975,-0.0016132977325469255,0.2097204476594925,0.1943977326154709,0.17895877361297607,0.5201468467712402,0.31091248989105225
most,0.3219912350177765,0.1747155338525772,0.31522849202156067,0.1823386549949646,0.15985378623008728,0.024445664137601852,0.12975531816482544,0.18195636570453644,0.2466624528169632,0.41416558623313904,0.2107497900724411
of,0.33290785551071167,0.1439143568277359,0.26150479912757874,0.27715030312538147,0.21995750069618225,-0.03817026689648628,0.14607268571853638,0.1803562045097351,0.20769038796424866,0.5696388483047485,0.1826142966747284
hearst,0.29364898800849915,0.1688392460346222,0.11791149526834488,1.0,0.31168460845947266,0.11525347828865051,0.2835512161254883,0.23117658495903015,0.14266248047351837,0.25979939103126526,0.15023791790008545
television,0.19838058948516846,0.23970246315002441,0.18832378089427948,0.31168460845947266,1.0000001192092896,0.11021530628204346,0.46871840953826904,0.29212433099746704,0.2502202093601227,0.2689782977104187,0.16825827956199646
's,0.02692362666130066,0.020792445167899132,-0.01994597539305687,0.11525347828865051,0.11021530628204346,0.9999999403953552,0.06670809537172318,0.0659567192196846,-0.02016117051243782,-0.037580832839012146,-0.023395681753754616
16,-0.009719534777104855,-0.01862293854355812,0.036069054156541824,0.04361112788319588,0.04181280359625816,0.0028852298855781555,0.043185193091630936,0.1041685938835144,0.0899619311094284,0.03388594090938568,0.08446579426527023
abc-affiliated,0.15757881104946136,0.24298124015331268,0.20377117395401,0.24763816595077515,0.2826040983200073,0.04447317495942116,0.29616865515708923,0.8888251781463623,0.178425595164299,0.26901721954345703,0.13518930971622467
stations,0.1621520221233368,0.19570614397525787,0.21009011566638947,0.18098056316375732,0.3494590222835541,0.029389679431915283,0.23858611285686493,0.34138554334640503,0.3457670509815216,0.25864288210868835,0.13192185759544373
transmit,0.21877305209636688,0.24061642587184906,0.2446703016757965,0.14266248047351837,0.2502202093601227,-0.02016117051243782,0.1837865710258484,0.19841676950454712,1.0000001192092896,0.14338745176792145,0.16771046817302704
the,0.42745697498321533,0.21678368747234344,0.30239659547805786,0.28846439719200134,0.24569597840309143,-0.01540423184633255,0.2068762183189392,0.1912562996149063,0.2503734529018402,0.6662389636039734,0.22068053483963013
