,how,much,does,it,cost,to,gain,entry,to,a,parliament,meeting,?
entry,0.2123076617717743,0.15371555089950562,0.2319636046886444,0.21066837012767792,0.1473144292831421,0.24303153157234192,0.14220581948757172,1.0000001192092896,0.24303153157234192,0.21248941123485565,0.17743182182312012,0.11946135014295578,0.21010564267635345
is,0.22544461488723755,0.3156087100505829,0.4403602182865143,0.6328473687171936,0.21065181493759155,0.42745086550712585,0.15809303522109985,0.20053718984127045,0.42745086550712585,0.658733606338501,0.19676777720451355,0.17450086772441864,0.22961433231830597
free,0.18879985809326172,0.1843024343252182,0.18965205550193787,0.22278957068920135,0.2100123167037964,0.2913753390312195,0.21324880421161652,0.2575938403606415,0.2913753390312195,0.23877057433128357,0.20170052349567413,0.12648142874240875,0.1278279572725296
",",0.22659391164779663,0.36182254552841187,0.28617382049560547,0.48329564929008484,0.20970560610294342,0.44245919585227966,0.2041122019290924,0.22724184393882751,0.44245919585227966,0.427140474319458,0.25442883372306824,0.25274211168289185,0.31091248989105225
but,0.43101516366004944,0.5130084753036499,0.4353378415107727,0.5299214720726013,0.29953086376190186,0.5542377829551697,0.3214209973812103,0.21362528204917908,0.5542377829551697,0.44750767946243286,0.21308359503746033,0.26222655177116394,0.27921953797340393
booking,0.23041068017482758,0.21461138129234314,0.2343321442604065,0.20500287413597107,0.22132699191570282,0.23487922549247742,0.22224454581737518,0.232685387134552,0.23487922549247742,0.27921271324157715,0.2387070506811142,0.2650587856769562,0.18485598266124725
in,0.2601168751716614,0.2725222110748291,0.214483380317688,0.5130809545516968,0.25200018286705017,0.45010748505592346,0.23473112285137177,0.23369251191616058,0.45010748505592346,0.539380669593811,0.2323146015405655,0.24940791726112366,0.20430970191955566
advance,0.17746175825595856,0.24941672384738922,0.15357705950737,0.21714021265506744,0.2303198128938675,0.27594003081321716,0.24101881682872772,0.15788346529006958,0.27594003081321716,0.22027155756950378,0.10331322252750397,0.16709935665130615,0.21102593839168549
is,0.22544461488723755,0.3156087100505829,0.4403602182865143,0.6328473687171936,0.21065181493759155,0.42745086550712585,0.15809303522109985,0.20053718984127045,0.42745086550712585,0.658733606338501,0.19676777720451355,0.17450086772441864,0.22961433231830597
recommended,0.23848584294319153,0.2174837440252304,0.27159687876701355,0.1860087513923645,0.16237770020961761,0.2934373915195465,0.16982527077198029,0.21285083889961243,0.2934373915195465,0.2842293977737427,0.1150246411561966,0.18002016842365265,0.22072286903858185
due,0.19407185912132263,0.2505093812942505,0.20878952741622925,0.2184215486049652,0.28005528450012207,0.35188060998916626,0.21923822164535522,0.1596243977546692,0.35188060998916626,0.2190696746110916,0.13605225086212158,0.08985752612352371,0.10954997688531876
to,0.44169697165489197,0.40610215067863464,0.4391997456550598,0.513711154460907,0.2525014281272888,1.0,0.3898973762989044,0.24303153157234192,1.0,0.45503583550453186,0.20290622115135193,0.2453547865152359,0.29463258385658264
limited,0.2116495817899704,0.30516189336776733,0.2681020200252533,0.24430862069129944,0.2515256702899933,0.2564510405063629,0.3324546813964844,0.18435905873775482,0.2564510405063629,0.25281569361686707,0.1801140457391739,0.13157673180103302,0.09444807469844818
space,0.1899009644985199,0.22150516510009766,0.1845475137233734,0.1662190854549408,0.22601361572742462,0.22712917625904083,0.13323962688446045,0.19002720713615417,0.22712917625904083,0.20296213030815125,0.14707636833190918,0.12141948193311691,0.1885536164045334
.,0.3287222981452942,0.3374604284763336,0.3022993505001068,0.5593622326850891,0.26134178042411804,0.4645031690597534,0.20901274681091309,0.21514472365379333,0.4645031690597534,0.50484299659729,0.23747818171977997,0.23260334134101868,0.4130953550338745
