,what,is,normally,eaten,for,lunch,and,supper,?
breakfast,0.22803165018558502,0.18498678505420685,0.23236870765686035,0.4848431944847107,0.2387787252664566,0.5921158194541931,0.21345771849155426,0.40566763281822205,0.1800449788570404
is,0.28837618231773376,1.0,0.39886221289634705,0.22367334365844727,0.43268078565597534,0.12639346718788147,0.3859752118587494,0.19833578169345856,0.22961433231830597
usually,0.32521089911460876,0.4230746626853943,0.7246292233467102,0.31717121601104736,0.34784460067749023,0.24886687099933624,0.3817319869995117,0.225841224193573,0.19435347616672516
tea,0.1909407526254654,0.15645386278629303,0.24934139847755432,0.31120923161506653,0.2581605017185211,0.3319002091884613,0.22572338581085205,0.2736049294471741,0.18135163187980652
or,0.33867141604423523,0.41870999336242676,0.5445803999900818,0.27491244673728943,0.4111599624156952,0.19175568222999573,0.4713204801082611,0.20005469024181366,0.32389625906944275
porridge,0.32004380226135254,0.25639984011650085,0.2406584769487381,0.536917507648468,0.2321600466966629,0.39201563596725464,0.3122309148311615,0.3518349528312683,0.23312824964523315
with,0.2464839518070221,0.3250955045223236,0.34506672620773315,0.24324572086334229,0.39140474796295166,0.1570120006799698,0.5477725267410278,0.17975018918514252,0.2433311939239502
bread,0.218822181224823,0.19997449219226837,0.252590537071228,0.542957603931427,0.11859652400016785,0.4275223910808563,0.22956383228302002,0.32567915320396423,0.16616880893707275
",",0.3087472915649414,0.4691906273365021,0.28092333674430847,0.2925916910171509,0.4464869201183319,0.2495361566543579,0.6633074283599854,0.24482551217079163,0.31091248989105225
chapati,0.18341492116451263,0.23365862667560577,0.12293974310159683,0.2262323498725891,0.22274070978164673,0.15413422882556915,0.32496675848960876,0.28104692697525024,0.13893954455852509
",",0.3087472915649414,0.4691906273365021,0.28092333674430847,0.2925916910171509,0.4464869201183319,0.2495361566543579,0.6633074283599854,0.24482551217079163,0.31091248989105225
mahamri,0.19812384247779846,0.19945864379405975,0.09486068040132523,0.09955638647079468,0.19461846351623535,0.14469948410987854,0.2730545401573181,0.1831904649734497,0.13967323303222656
",",0.3087472915649414,0.4691906273365021,0.28092333674430847,0.2925916910171509,0.4464869201183319,0.2495361566543579,0.6633074283599854,0.24482551217079163,0.31091248989105225
boiled,0.20549975335597992,0.18058030307292938,0.23732095956802368,0.6063547730445862,0.1709146499633789,0.3676651418209076,0.21333567798137665,0.20840567350387573,0.22562114894390106
sweet,0.21475377678871155,0.18927055597305298,0.21552754938602448,0.3993941843509674,0.17908237874507904,0.3156123459339142,0.25466933846473694,0.22171583771705627,0.16117225587368011
potatoes,0.1947978436946869,0.18136537075042725,0.1689896136522293,0.5428288578987122,0.17788760364055634,0.3326816260814667,0.21524778008460999,0.18398195505142212,0.1893954575061798
or,0.33867141604423523,0.41870999336242676,0.5445803999900818,0.27491244673728943,0.4111599624156952,0.19175568222999573,0.4713204801082611,0.20005469024181366,0.32389625906944275
yams,0.18160440027713776,0.2056315541267395,0.27922138571739197,0.4115290641784668,0.1679295003414154,0.23031793534755707,0.3268079161643982,0.10649441182613373,0.18197153508663177
.,0.3567904531955719,0.4569662809371948,0.33750930428504944,0.27862393856048584,0.4726039469242096,0.22594867646694183,0.588965117931366,0.2540096342563629,0.4130953550338745
