,what,was,the,purpose,of,the,turks,in,luther,'s,mind,?
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.17171922326087952,0.38706058263778687,0.4571082592010498,0.16183754801750183,0.41690486669540405,0.2454872578382492,0.024063590914011,0.19713859260082245,0.2089974731206894
saw,0.24788837134838104,0.42132335901260376,0.318278044462204,0.16408513486385345,0.28204935789108276,0.318278044462204,0.19924084842205048,0.24892163276672363,0.13097959756851196,0.04767860472202301,0.14928750693798065,0.14690998196601868
the,0.42745697498321533,0.48711544275283813,1.0,0.3061215281486511,0.733189046382904,1.0,0.25820091366767883,0.6662389636039734,0.1759674996137619,-0.01540423184633255,0.16300682723522186,0.22068053483963013
turks,0.2076534628868103,0.181900754570961,0.25820091366767883,0.07859181612730026,0.235667884349823,0.25820091366767883,0.9999999403953552,0.18422621488571167,0.17542731761932373,0.0375792495906353,0.1460554152727127,0.1953624188899994
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.3096271753311157,0.3886612355709076,0.48381632566452026,0.15202166140079498,0.3887844979763031,0.20242992043495178,-0.05775856226682663,0.23618297278881073,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2899824380874634,0.5052502155303955,0.5829201340675354,0.13034214079380035,0.539380669593811,0.17967689037322998,0.04866964742541313,0.1835121214389801,0.23916715383529663
scourge,0.2399693727493286,0.15779176354408264,0.24120070040225983,0.19509561359882355,0.2317979782819748,0.24120070040225983,0.19965322315692902,0.16907411813735962,0.24936635792255402,-0.014986095950007439,0.13141094148159027,0.1880749613046646
sent,0.19595611095428467,0.3192673325538635,0.3010627329349518,0.2053341120481491,0.28923630714416504,0.3010627329349518,0.23218569159507751,0.25609636306762695,0.16650304198265076,0.06689035892486572,0.1512293964624405,0.10903520882129669
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.38124558329582214,0.41548454761505127,0.535392165184021,0.1928449124097824,0.45010748505592346,0.18029534816741943,0.03782717138528824,0.21568894386291504,0.29463258385658264
punish,0.34964239597320557,0.15436358749866486,0.1862790733575821,0.2823169231414795,0.16148439049720764,0.1862790733575821,0.24008728563785553,0.09686420857906342,0.1786191165447235,0.1751440316438675,0.20398163795471191,0.23481756448745728
christians,0.302469938993454,0.20866592228412628,0.24734680354595184,0.22464591264724731,0.25621283054351807,0.24734680354595184,0.3986973166465759,0.19406449794769287,0.30765244364738464,0.09842957556247711,0.18775218725204468,0.20289786159992218
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.2327440232038498,0.3646814823150635,0.4408751428127289,0.2066512107849121,0.370934396982193,0.15382802486419678,-0.010884488001465797,0.179106667637825,0.17966607213020325
god,0.3127830922603607,0.20121176540851593,0.24689088761806488,0.22828425467014313,0.2159487009048462,0.24689088761806488,0.17340610921382904,0.1355067938566208,0.2238161414861679,0.1100120022892952,0.24719887971878052,0.23396754264831543
