,what,kind,of,allegations,were,brought,after,the,2007,election,?
nevertheless,0.3331672251224518,0.28862258791923523,0.2589026987552643,0.2940089702606201,0.31472048163414,0.2414218783378601,0.23279991745948792,0.29583513736724854,-0.19657641649246216,0.27718913555145264,0.12207362055778503
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22029541432857513,0.36755475401878357,0.30810219049453735,0.38860568404197693,0.4933079481124878,-0.24049624800682068,0.22834618389606476,0.31091248989105225
there,0.35085538029670715,0.29799365997314453,0.44397735595703125,0.1704593002796173,0.4359818994998932,0.3376960754394531,0.28266575932502747,0.47025805711746216,-0.233750119805336,0.15338711440563202,0.29405656456947327
have,0.39808809757232666,0.31829583644866943,0.3802283704280853,0.2695932388305664,0.5193349123001099,0.32661235332489014,0.2838422358036041,0.40389683842658997,-0.17263253033161163,0.19942942261695862,0.32991164922714233
been,0.2567804455757141,0.23833909630775452,0.31685134768486023,0.28232353925704956,0.5062422156333923,0.41170039772987366,0.2954521179199219,0.3563927710056305,-0.2230411171913147,0.18561263382434845,0.24354910850524902
serious,0.3481818735599518,0.3274988830089569,0.23478257656097412,0.38590100407600403,0.24625079333782196,0.30152595043182373,0.25254684686660767,0.2602829933166504,-0.03392946347594261,0.17746493220329285,0.23093265295028687
allegations,0.23008185625076294,0.1884838044643402,0.22527608275413513,1.0,0.2627026438713074,0.25011396408081055,0.24509024620056152,0.2481755167245865,-0.22556477785110474,0.3369603753089905,0.23546560108661652
of,0.33290785551071167,0.2285657674074173,1.0,0.22527608275413513,0.34038281440734863,0.3339962065219879,0.3867455720901489,0.733189046382904,-0.21244128048419952,0.23051156103610992,0.1826142966747284
human,0.24243313074111938,0.20610454678535461,0.3083189129829407,0.21905064582824707,0.15361809730529785,0.16652855277061462,0.16210533678531647,0.3103327453136444,0.01581949181854725,0.11403051018714905,0.19748784601688385
rights,0.2386135458946228,0.15721380710601807,0.19425496459007263,0.29427894949913025,0.22253857553005219,0.18601201474666595,0.17070108652114868,0.2579100430011749,-0.23581191897392273,0.23619849979877472,0.21814769506454468
violations,0.30446916818618774,0.16751603782176971,0.20400193333625793,0.5766276121139526,0.22707538306713104,0.23642155528068542,0.1592387855052948,0.2137424498796463,-0.16576886177062988,0.23352523148059845,0.3311455547809601
