,what,amount,of,time,was,the,longest,that,tesla,spent,working,without,stopping,to,rest,?
:43,0.22202709317207336,0.06294877082109451,0.20452247560024261,0.15966087579727173,0.2703487277030945,0.14367784559726715,-0.004982756916433573,0.1808701902627945,0.05789818614721298,0.2399991899728775,0.16417384147644043,0.13709226250648499,0.19430145621299744,0.30534911155700684,0.1997571438550949,0.1636640429496765
",",0.3087472915649414,0.21125462651252747,0.4946078956127167,0.3029961884021759,0.45456063747406006,0.4933079481124878,0.21878951787948608,0.4137537479400635,0.20599327981472015,0.2880055606365204,0.29007792472839355,0.24492648243904114,0.24046269059181213,0.44245919585227966,0.3065745532512665,0.31091248989105225
301,0.11217121034860611,0.02230822667479515,0.17845773696899414,0.13935492932796478,0.21341775357723236,0.15098905563354492,0.08996692299842834,0.11346284300088882,0.06152140349149704,0.11556196212768555,0.16718557476997375,0.05641036480665207,0.053658630698919296,0.17820784449577332,0.08639154583215714,0.14999660849571228
on,0.34226128458976746,0.2525322437286377,0.3966929316520691,0.30044233798980713,0.3909217119216919,0.5107308030128479,0.24148814380168915,0.42569106817245483,0.16159376502037048,0.2312440574169159,0.2811677157878876,0.26243290305137634,0.2537979781627655,0.41031414270401,0.30716630816459656,0.2714994251728058
one,0.376489520072937,0.32451149821281433,0.4999135136604309,0.4878559708595276,0.3752199709415436,0.5514441132545471,0.40612950921058655,0.5133185982704163,0.2218162566423416,0.2709624171257019,0.2526702582836151,0.2595095634460449,0.20120611786842346,0.4025384783744812,0.3479134738445282,0.2673267424106598
occasion,0.20515377819538116,0.24264469742774963,0.18207356333732605,0.3017566204071045,0.21339811384677887,0.22899624705314636,0.14795471727848053,0.2509068250656128,0.1115165501832962,0.20163564383983612,0.1141754761338234,0.23446689546108246,0.1526276022195816,0.26944923400878906,0.1344435065984726,0.18074023723602295
at,0.2838611304759979,0.22508464753627777,0.42558613419532776,0.3956010341644287,0.36707764863967896,0.457212895154953,0.1961495280265808,0.3183255195617676,0.16552478075027466,0.319078266620636,0.26494351029396057,0.191813126206398,0.18297100067138672,0.36524343490600586,0.21832938492298126,0.21978627145290375
his,0.26976513862609863,0.18319322168827057,0.38364991545677185,0.3553589880466461,0.4405253231525421,0.4394008219242096,0.21290676295757294,0.3173833191394806,0.1580733060836792,0.4525286853313446,0.30046597123146057,0.2569580078125,0.25144654512405396,0.3715193271636963,0.32109877467155457,0.18075084686279297
laboratory,0.20190474390983582,0.11495164781808853,0.23493865132331848,0.16049104928970337,0.24070261418819427,0.19762322306632996,0.11059626936912537,0.20624227821826935,0.3209504187107086,0.20622487366199493,0.27329233288764954,0.09354682266712189,0.07684818655252457,0.20453277230262756,0.12906526029109955,0.07445509731769562
",",0.3087472915649414,0.21125462651252747,0.4946078956127167,0.3029961884021759,0.45456063747406006,0.4933079481124878,0.21878951787948608,0.4137537479400635,0.20599327981472015,0.2880055606365204,0.29007792472839355,0.24492648243904114,0.24046269059181213,0.44245919585227966,0.3065745532512665,0.31091248989105225
tesla,0.23221199214458466,0.24955591559410095,0.18837453424930573,0.14928559958934784,0.16455206274986267,0.1324402391910553,0.12209642678499222,0.22102725505828857,0.9999999403953552,0.06432446837425232,0.206875741481781,0.10386574268341064,0.07891208678483963,0.17548894882202148,0.09777440130710602,0.10250775516033173
worked,0.168898344039917,0.12707442045211792,0.2398757040500641,0.31418266892433167,0.38922780752182007,0.22615844011306763,0.18009738624095917,0.18242602050304413,0.15985111892223358,0.45015308260917664,0.6747631430625916,0.050712671130895615,0.16200393438339233,0.22250263392925262,0.21299955248832703,0.0901828184723854
for,0.3017193675041199,0.3007623255252838,0.4185989499092102,0.3992156386375427,0.3863949179649353,0.4739971458911896,0.23358364403247833,0.4137635827064514,0.13983871042728424,0.3765812814235687,0.3632623255252838,0.4273005723953247,0.32693347334861755,0.4451248347759247,0.24690839648246765,0.264628142118454
a,0.3320399522781372,0.3439450263977051,0.5052502155303955,0.3292340338230133,0.4508470594882965,0.5829201340675354,0.2599286735057831,0.47537946701049805,0.2211925983428955,0.22275763750076294,0.2998538911342621,0.2797018885612488,0.21476297080516815,0.45503583550453186,0.2692912518978119,0.23916715383529663
period,0.24507179856300354,0.29124030470848083,0.2698146104812622,0.46082159876823425,0.2820133864879608,0.3125074505805969,0.2892744839191437,0.261763334274292,0.09859111160039902,0.1859680861234665,0.16383586823940277,0.20618954300880432,0.23716990649700165,0.24346192181110382,0.2608301341533661,0.18706195056438446
of,0.33290785551071167,0.2541177570819855,1.0,0.35127586126327515,0.4069072902202606,0.733189046382904,0.32879963517189026,0.41498205065727234,0.18837453424930573,0.28987428545951843,0.19986772537231445,0.3081340193748474,0.19457077980041504,0.41548454761505127,0.33621829748153687,0.1826142966747284
84,0.17860032618045807,0.07194735109806061,0.1612369865179062,0.0753897875547409,0.14718076586723328,0.13401101529598236,0.10075410455465317,0.09830432385206223,0.241347536444664,0.04429594799876213,0.07611073553562164,0.1191113293170929,0.06322361528873444,0.12902551889419556,0.1395399123430252,0.4249154031276703
hours,0.21807120740413666,0.2861533761024475,0.1357264667749405,0.45485395193099976,0.18615439534187317,0.18919475376605988,0.20021438598632812,0.22699102759361267,0.1507396697998047,0.30971071124076843,0.17539525032043457,0.26698988676071167,0.3216763138771057,0.23638038337230682,0.2616027295589447,0.21755769848823547
without,0.3181614279747009,0.3273037374019623,0.3081340193748474,0.29504939913749695,0.18635936081409454,0.3270869255065918,0.19093410670757294,0.3644297122955322,0.10386574268341064,0.25288915634155273,0.133394256234169,1.0,0.41634511947631836,0.37970873713493347,0.27193161845207214,0.2928665280342102
sleep,0.21082337200641632,0.2110719382762909,0.20480428636074066,0.2873101532459259,0.1396891325712204,0.20454104244709015,0.07194279879331589,0.22555981576442719,0.002529138932004571,0.25394123792648315,0.20595189929008484,0.1574447900056839,0.2554089426994324,0.22335325181484222,0.29146984219551086,0.20425266027450562
or,0.33867141604423523,0.3757528066635132,0.3792596757411957,0.2774261236190796,0.2330796718597412,0.4174870550632477,0.12363030016422272,0.4729836881160736,0.1529218554496765,0.1633041799068451,0.2252151519060135,0.5009438991546631,0.3262948989868164,0.38921234011650085,0.25195372104644775,0.32389625906944275
rest,0.35225364565849304,0.28524303436279297,0.33621829748153687,0.33889803290367126,0.22034120559692383,0.41330549120903015,0.2595977783203125,0.3498731553554535,0.09777440130710602,0.3437212407588959,0.32093867659568787,0.27193161845207214,0.31895819306373596,0.367563933134079,1.0000001192092896,0.1725541204214096
.,0.3567904531955719,0.24893930554389954,0.5352458953857422,0.371569961309433,0.40146201848983765,0.5934505462646484,0.2187548726797104,0.4460422694683075,0.17949827015399933,0.24406199157238007,0.28468647599220276,0.29967203736305237,0.23885071277618408,0.4645031690597534,0.36049437522888184,0.4130953550338745
