,what,are,the,phagocytes,that,are,located,in,tissues,in,contact,with,the,external,environment,called,?
dendritic,0.21291865408420563,0.26048845052719116,0.22784094512462616,0.6654239892959595,0.2738852798938751,0.26048845052719116,0.1454886794090271,0.20291747152805328,0.5565957427024841,0.20291747152805328,0.2865219712257385,0.15183447301387787,0.22784094512462616,0.29244133830070496,0.2847495973110199,0.287968248128891,0.16278338432312012
cells,0.1758001297712326,0.2908284366130829,0.19095487892627716,0.7345613837242126,0.2709589898586273,0.2908284366130829,0.13138210773468018,0.1711641103029251,0.6814829707145691,0.1711641103029251,0.23713582754135132,0.2187740057706833,0.19095487892627716,0.26796507835388184,0.3059556782245636,0.20908011496067047,0.1898086667060852
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.20227107405662537,0.2264307141304016,0.23263892531394958,0.21025894582271576,0.3087427020072937,0.15814973413944244,0.3087427020072937,0.15854868292808533,0.29503780603408813,0.33289089798927307,0.20739369094371796,0.20103386044502258,0.2546432614326477,0.40561532974243164
dc,0.1052524521946907,0.19295628368854523,0.2332114279270172,0.15646250545978546,0.13257308304309845,0.19295628368854523,0.149245485663414,0.19641384482383728,0.1744321584701538,0.19641384482383728,0.13919423520565033,0.11949494481086731,0.2332114279270172,0.19224268198013306,0.13083945214748383,0.16544289886951447,0.17813897132873535
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.18641716241836548,0.23478686809539795,0.2373749315738678,0.19755883514881134,0.3326910734176636,0.14953845739364624,0.3326910734176636,0.15068231523036957,0.3069596290588379,0.3456730246543884,0.20801493525505066,0.19162903726100922,0.273923397064209,0.42300865054130554
are,0.29724663496017456,1.0,0.40399202704429626,0.3706930875778198,0.45265161991119385,1.0,0.24096766114234924,0.3841303884983063,0.2978569567203522,0.3841303884983063,0.23957745730876923,0.38996943831443787,0.40399202704429626,0.25311222672462463,0.3009084165096283,0.3676711618900299,0.24591213464736938
phagocytes,0.2258819192647934,0.3706930875778198,0.18778933584690094,0.9999999403953552,0.2861746847629547,0.3706930875778198,0.10491473227739334,0.1853681057691574,0.6559956073760986,0.1853681057691574,0.27547696232795715,0.19319239258766174,0.18778933584690094,0.26124319434165955,0.26012468338012695,0.2526703476905823,0.21603655815124512
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.1853681057691574,0.435920387506485,0.3841303884983063,0.35149815678596497,1.0,0.18891920149326324,1.0,0.163491353392601,0.4080928862094879,0.6662389636039734,0.1451910436153412,0.2854640781879425,0.40847352147102356,0.20430970191955566
tissues,0.22605282068252563,0.2978569567203522,0.25059279799461365,0.6559956073760986,0.2756805121898651,0.2978569567203522,0.1372600942850113,0.18891920149326324,0.9999999403953552,0.18891920149326324,0.2748700976371765,0.21099089086055756,0.25059279799461365,0.3832155764102936,0.3156909644603729,0.23279985785484314,0.17531797289848328
that,0.6297725439071655,0.45265161991119385,0.5473989248275757,0.2861746847629547,1.0,0.45265161991119385,0.1796129047870636,0.435920387506485,0.2756805121898651,0.435920387506485,0.3364052176475525,0.4154358208179474,0.5473989248275757,0.32276126742362976,0.28900691866874695,0.41604554653167725,0.32716336846351624
are,0.29724663496017456,1.0,0.40399202704429626,0.3706930875778198,0.45265161991119385,1.0,0.24096766114234924,0.3841303884983063,0.2978569567203522,0.3841303884983063,0.23957745730876923,0.38996943831443787,0.40399202704429626,0.25311222672462463,0.3009084165096283,0.3676711618900299,0.24591213464736938
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.1853681057691574,0.435920387506485,0.3841303884983063,0.35149815678596497,1.0,0.18891920149326324,1.0,0.163491353392601,0.4080928862094879,0.6662389636039734,0.1451910436153412,0.2854640781879425,0.40847352147102356,0.20430970191955566
contact,0.2598453462123871,0.23957745730876923,0.2564430236816406,0.27547696232795715,0.3364052176475525,0.23957745730876923,0.18992410600185394,0.163491353392601,0.2748700976371765,0.163491353392601,1.0,0.3598524034023285,0.2564430236816406,0.24154672026634216,0.22042177617549896,0.20364144444465637,0.2231319397687912
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.19319239258766174,0.4154358208179474,0.38996943831443787,0.12990716099739075,0.4080928862094879,0.21099089086055756,0.4080928862094879,0.3598524034023285,0.9999999403953552,0.4223487675189972,0.20283888280391693,0.2171572744846344,0.3139074146747589,0.2433311939239502
the,0.42745697498321533,0.40399202704429626,1.0,0.18778933584690094,0.5473989248275757,0.40399202704429626,0.407527357339859,0.6662389636039734,0.25059279799461365,0.6662389636039734,0.2564430236816406,0.4223487675189972,1.0,0.22874414920806885,0.25819888710975647,0.489897221326828,0.22068053483963013
external,0.2436257004737854,0.25311222672462463,0.22874414920806885,0.26124319434165955,0.32276126742362976,0.25311222672462463,0.17855438590049744,0.1451910436153412,0.3832155764102936,0.1451910436153412,0.24154672026634216,0.20283888280391693,0.22874414920806885,1.0000001192092896,0.320736825466156,0.1477264165878296,0.18867096304893494
environment,0.213022843003273,0.3009084165096283,0.25819888710975647,0.26012468338012695,0.28900691866874695,0.3009084165096283,0.1817549765110016,0.2854640781879425,0.3156909644603729,0.2854640781879425,0.22042177617549896,0.2171572744846344,0.25819888710975647,0.320736825466156,0.9999998807907104,0.12740208208560944,0.19478057324886322
