,what,school,model,is,sweden,notable,for,?
sweden,0.12934117019176483,0.14412793517112732,0.1314946711063385,0.15954536199569702,1.0,0.16465727984905243,0.15663805603981018,0.1268482208251953
is,0.28837618231773376,0.19488026201725006,0.21612800657749176,1.0,0.15954536199569702,0.20672309398651123,0.43268078565597534,0.22961433231830597
internationally,0.14883552491664886,0.18297554552555084,0.21540355682373047,0.2696622908115387,0.24251922965049744,0.15767207741737366,0.3566492199897766,0.13284996151924133
known,0.20381177961826324,0.10808554291725159,0.23405469954013824,0.41921812295913696,0.12225279211997986,0.3208778202533722,0.363901823759079,0.18314571678638458
for,0.3017193675041199,0.18618352711200714,0.17261183261871338,0.43268078565597534,0.15663805603981018,0.2551795244216919,0.9999999403953552,0.264628142118454
this,0.5489566326141357,0.1667502373456955,0.15816543996334076,0.480927973985672,0.15825919806957245,0.29765671491622925,0.5082864165306091,0.3155723512172699
innovative,0.20474673807621002,0.20373792946338654,0.2042139321565628,0.25859203934669495,0.1408790647983551,0.20115023851394653,0.3382309377193451,0.20593076944351196
school,0.18774057924747467,1.0,0.09528788924217224,0.19488026201725006,0.14412793517112732,0.1560765653848648,0.18618352711200714,0.15091250836849213
voucher,0.2039799839258194,0.2785850167274475,0.15939858555793762,0.1415400207042694,0.1135186180472374,0.1363012194633484,0.27854156494140625,0.17459723353385925
model,0.2303347885608673,0.09528788924217224,1.0000001192092896,0.21612800657749176,0.1314946711063385,0.14791718125343323,0.17261183261871338,0.14843042194843292
that,0.6297725439071655,0.2190830111503601,0.16250061988830566,0.3995479643344879,0.1780386120080948,0.33818313479423523,0.4137635827064514,0.32716336846351624
provides,0.16175243258476257,0.16490787267684937,0.18382713198661804,0.3195696473121643,0.06516022980213165,0.163079634308815,0.39385566115379333,0.1500944346189499
swedish,0.0756891518831253,0.11482138931751251,0.21383723616600037,0.1349116414785385,0.6695595383644104,0.1907345950603485,0.18564701080322266,0.08206682652235031
pupils,0.180222749710083,0.43612703680992126,0.05932439863681793,0.1490861177444458,0.0636177733540535,0.1258877068758011,0.148450568318367,0.06499303877353668
with,0.2464839518070221,0.13135014474391937,0.120089091360569,0.3250955045223236,0.14620748162269592,0.1739683747291565,0.39140474796295166,0.2433311939239502
the,0.42745697498321533,0.22953221201896667,0.14028635621070862,0.5823672413825989,0.20170342922210693,0.20948168635368347,0.4739971458911896,0.22068053483963013
opportunity,0.2871367037296295,0.2109244167804718,0.1433762162923813,0.12906494736671448,0.12659548223018646,0.17830298840999603,0.30034998059272766,0.19524551928043365
to,0.455847829580307,0.24496325850486755,0.187554731965065,0.42745086550712585,0.15696309506893158,0.18140920996665955,0.4451248347759247,0.29463258385658264
choose,0.37237128615379333,0.20257419347763062,0.11726558953523636,0.2237997204065323,0.12662866711616516,0.22048428654670715,0.3124878704547882,0.2863835394382477
the,0.42745697498321533,0.22953221201896667,0.14028635621070862,0.5823672413825989,0.20170342922210693,0.20948168635368347,0.4739971458911896,0.22068053483963013
school,0.18774057924747467,1.0,0.09528788924217224,0.19488026201725006,0.14412793517112732,0.1560765653848648,0.18618352711200714,0.15091250836849213
they,0.4431931674480438,0.20544153451919556,0.13883844017982483,0.330102801322937,0.16232837736606598,0.19860345125198364,0.3466525673866272,0.2753053903579712
prefer,0.28133246302604675,0.09668466448783875,0.16349060833454132,0.2075660228729248,0.11112607270479202,0.16562891006469727,0.26722946763038635,0.30593395233154297
.,0.3567904531955719,0.24214158952236176,0.1938832700252533,0.4569662809371948,0.25245529413223267,0.2256665676832199,0.4726039469242096,0.4130953550338745
,what,school,model,is,sweden,notable,for,?
in,0.30808621644973755,0.26157811284065247,0.2267826348543167,0.5394441485404968,0.2946893274784088,0.25145605206489563,0.4322226941585541,0.20430970191955566
sweden,0.12934117019176483,0.14412793517112732,0.1314946711063385,0.15954536199569702,1.0,0.16465727984905243,0.15663805603981018,0.1268482208251953
",",0.3087472915649414,0.27141863107681274,0.244965597987175,0.4691906273365021,0.23803623020648956,0.31026551127433777,0.4464869201183319,0.31091248989105225
pupils,0.180222749710083,0.43612703680992126,0.05932439863681793,0.1490861177444458,0.0636177733540535,0.1258877068758011,0.148450568318367,0.06499303877353668
are,0.29724663496017456,0.17021894454956055,0.07012248039245605,0.5330929756164551,0.12436545640230179,0.2350337952375412,0.3895993232727051,0.24591213464736938
free,0.22754132747650146,0.14928355813026428,0.12059932947158813,0.2297741025686264,0.1267927885055542,0.11424904316663742,0.2585347890853882,0.1278279572725296
to,0.455847829580307,0.24496325850486755,0.187554731965065,0.42745086550712585,0.15696309506893158,0.18140920996665955,0.4451248347759247,0.29463258385658264
choose,0.37237128615379333,0.20257419347763062,0.11726558953523636,0.2237997204065323,0.12662866711616516,0.22048428654670715,0.3124878704547882,0.2863835394382477
a,0.3320399522781372,0.2245093584060669,0.29218459129333496,0.658733606338501,0.18488308787345886,0.21731382608413696,0.44038116931915283,0.23916715383529663
private,0.16778090596199036,0.3584248125553131,0.16185440123081207,0.1420905888080597,0.11205107718706131,0.20274920761585236,0.22242696583271027,0.14389030635356903
school,0.18774057924747467,1.0,0.09528788924217224,0.19488026201725006,0.14412793517112732,0.1560765653848648,0.18618352711200714,0.15091250836849213
and,0.31309178471565247,0.2752758264541626,0.22216768562793732,0.3859752118587494,0.22991979122161865,0.18581628799438477,0.5064792633056641,0.20544172823429108
the,0.42745697498321533,0.22953221201896667,0.14028635621070862,0.5823672413825989,0.20170342922210693,0.20948168635368347,0.4739971458911896,0.22068053483963013
private,0.16778090596199036,0.3584248125553131,0.16185440123081207,0.1420905888080597,0.11205107718706131,0.20274920761585236,0.22242696583271027,0.14389030635356903
school,0.18774057924747467,1.0,0.09528788924217224,0.19488026201725006,0.14412793517112732,0.1560765653848648,0.18618352711200714,0.15091250836849213
gets,0.20188207924365997,0.17407158017158508,0.11857236176729202,0.42208805680274963,0.08490467071533203,0.10393282026052475,0.22999852895736694,0.22999030351638794
paid,0.254770964384079,0.20238032937049866,0.13158094882965088,0.11761607974767685,0.12556526064872742,0.25157612562179565,0.29203978180885315,0.20964482426643372
the,0.42745697498321533,0.22953221201896667,0.14028635621070862,0.5823672413825989,0.20170342922210693,0.20948168635368347,0.4739971458911896,0.22068053483963013
same,0.3764382302761078,0.1699296087026596,0.21815288066864014,0.31152886152267456,0.12216626852750778,0.24462145566940308,0.31941699981689453,0.22649677097797394
amount,0.2602839767932892,0.060191258788108826,0.11787617951631546,0.3016021251678467,0.14780791103839874,0.15989400446414948,0.3007623255252838,0.17984020709991455
as,0.31749409437179565,0.2065676748752594,0.21406425535678864,0.43216490745544434,0.16112519800662994,0.2787022590637207,0.44774648547172546,0.27043893933296204
municipal,0.1597214788198471,0.22351974248886108,0.10071734338998795,0.1656477153301239,0.1863088607788086,0.17017589509487152,0.17443011701107025,0.10536540299654007
schools,0.1820785105228424,0.7602541446685791,0.08655571192502975,0.2022145688533783,0.1429915875196457,0.1942712515592575,0.2320515662431717,0.18349280953407288
.,0.3567904531955719,0.24214158952236176,0.1938832700252533,0.4569662809371948,0.25245529413223267,0.2256665676832199,0.4726039469242096,0.4130953550338745
