,when,was,isiah,bowman,appointed,to,president,wilson,'s,inquiry,?
three,0.2820437252521515,0.2748996615409851,0.15691865980625153,0.21573084592819214,0.1781313717365265,0.3043823838233948,0.16705118119716644,0.1870618313550949,0.03946888819336891,0.12549668550491333,0.20928427577018738
years,0.3409145474433899,0.35855233669281006,0.1513182520866394,0.2048075795173645,0.248477041721344,0.23891852796077728,0.21169443428516388,0.13898780941963196,0.05563735216856003,0.09711258113384247,0.1914375126361847
later,0.4627884030342102,0.5684447288513184,0.2518487572669983,0.23479479551315308,0.29382193088531494,0.393297016620636,0.17261546850204468,0.18641237914562225,0.05591587722301483,0.2837371230125427,0.1417175978422165
in,0.4431333839893341,0.45514053106307983,0.1366327702999115,0.22141125798225403,0.23088723421096802,0.45010748505592346,0.18811661005020142,0.1866002231836319,-0.037580832839012146,0.22388796508312225,0.20430970191955566
1917,0.047619517892599106,0.21635116636753082,0.20072758197784424,0.313031405210495,0.3274836540222168,-0.00011572400399018079,0.3744111955165863,0.25594252347946167,-0.03913708031177521,0.11571617424488068,0.11480528861284256
",",0.36674630641937256,0.45456063747406006,0.21870771050453186,0.31107404828071594,0.27665549516677856,0.44245919585227966,0.26552814245224,0.27987003326416016,-0.0016132977325469255,0.20402637124061584,0.31091248989105225
he,0.39115971326828003,0.5410010814666748,0.23870697617530823,0.3817952275276184,0.3380202353000641,0.385390967130661,0.28017905354499817,0.22614429891109467,0.024063590914011,0.2701519727706909,0.2089974731206894
was,0.37326499819755554,1.0000001192092896,0.2796876132488251,0.31884765625,0.33569878339767456,0.3636345863342285,0.2505730390548706,0.1931360512971878,0.008974763564765453,0.2590499222278595,0.18412111699581146
appointed,0.19494225084781647,0.33569878339767456,0.20776332914829254,0.2575283944606781,1.0,0.21184861660003662,0.4252060055732727,0.18475118279457092,-0.07290255278348923,0.2869868576526642,0.13895352184772491
to,0.5423505902290344,0.3636345863342285,0.2195267677307129,0.2503037452697754,0.21184861660003662,1.0,0.21247753500938416,0.1950661838054657,0.03782717138528824,0.24077343940734863,0.29463258385658264
then,0.6026323437690735,0.27044644951820374,0.24006417393684387,0.26428335905075073,0.20293349027633667,0.5203860402107239,0.16469624638557434,0.1942806988954544,0.010921895503997803,0.14988890290260315,0.2884598970413208
president,0.17933911085128784,0.2505730390548706,0.24364063143730164,0.21033573150634766,0.4252060055732727,0.21247753500938416,1.0000001192092896,0.2326561063528061,-0.08566092699766159,0.19378668069839478,0.14148259162902832
woodrow,0.2243698090314865,0.2865031063556671,0.30028271675109863,0.3451889157295227,0.32532763481140137,0.2564753293991089,0.4917760491371155,0.5838743448257446,-0.07116876542568207,0.3013535141944885,0.14176151156425476
wilson,0.17791715264320374,0.1931360512971878,0.20167824625968933,0.4411719739437103,0.18475118279457092,0.1950661838054657,0.2326561063528061,1.0,0.04975033178925514,0.270449697971344,0.1055358424782753
's,-0.03368149697780609,0.008974763564765453,0.004822907038033009,0.061509426683187485,-0.07290255278348923,0.03782717138528824,-0.08566092699766159,0.04975033178925514,0.9999999403953552,-0.0016987883718684316,-0.023395681753754616
inquiry,0.15531989932060242,0.2590499222278595,0.24265646934509277,0.22768232226371765,0.2869868576526642,0.24077343940734863,0.19378668069839478,0.270449697971344,-0.0016987883718684316,1.0000001192092896,0.1689903736114502
in,0.4431333839893341,0.45514053106307983,0.1366327702999115,0.22141125798225403,0.23088723421096802,0.45010748505592346,0.18811661005020142,0.1866002231836319,-0.037580832839012146,0.22388796508312225,0.20430970191955566
1917,0.047619517892599106,0.21635116636753082,0.20072758197784424,0.313031405210495,0.3274836540222168,-0.00011572400399018079,0.3744111955165863,0.25594252347946167,-0.03913708031177521,0.11571617424488068,0.11480528861284256
.,0.475719153881073,0.40146201848983765,0.2027847319841385,0.2915290296077728,0.23383042216300964,0.4645031690597534,0.26255303621292114,0.27294424176216125,-0.003708066651597619,0.15333840250968933,0.4130953550338745
