,what,is,the,name,of,the,post-independence,government,school,system,in,malaysia,?
after,0.21973377466201782,0.2835143506526947,0.4565047025680542,0.2467648833990097,0.3867455720901489,0.4565047025680542,0.3102218210697174,0.26047283411026,0.2316942811012268,0.1537032574415207,0.44050168991088867,0.19352738559246063,0.16608688235282898
malaysia,0.15015551447868347,0.16514992713928223,0.2227647453546524,0.10676531493663788,0.24504433572292328,0.2227647453546524,0.25017762184143066,0.28057771921157837,0.15658360719680786,0.14804673194885254,0.23870472609996796,1.0,0.13121624290943146
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,-0.01540423184633255,0.018219655379652977,0.00033092309604398906,-0.017113132402300835,0.04329425096511841,-0.037580832839012146,0.008219211362302303,-0.023395681753754616
independence,0.24622133374214172,0.16762453317642212,0.2836182415485382,0.18292170763015747,0.2965129017829895,0.2836182415485382,0.9604630470275879,0.39954841136932373,0.16595305502414703,0.10453937947750092,0.25996696949005127,0.26107415556907654,0.12301119416952133
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.2935886085033417,0.3066793978214264,0.26157811284065247,0.21978288888931274,1.0,0.23870472609996796,0.20430970191955566
1957,-0.006660523824393749,-0.02784627676010132,-0.091727614402771,-0.056081559509038925,-0.03177386894822121,-0.091727614402771,-0.10076336562633514,-0.014348831959068775,-0.12030468136072159,-0.1051468774676323,-0.044204503297805786,-0.10435885190963745,-0.11977791041135788
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.3067222535610199,0.27344048023223877,0.27141863107681274,0.18439900875091553,0.5201468467712402,0.20304693281650543,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.31111255288124084,0.31798112392425537,0.22953221201896667,0.3233085572719574,0.6662389636039734,0.2227647453546524,0.22068053483963013
government,0.28074538707733154,0.20343491435050964,0.31798112392425537,0.12998923659324646,0.3475167155265808,0.31798112392425537,0.4159545600414276,1.0000001192092896,0.24537934362888336,0.23867560923099518,0.3066793978214264,0.28057771921157837,0.18851417303085327
instructed,0.26584240794181824,0.12444961071014404,0.2418500781059265,0.0965965986251831,0.19590458273887634,0.2418500781059265,0.17150771617889404,0.11792179942131042,0.24003241956233978,0.14683473110198975,0.2292570322751999,0.048135049641132355,0.1519833505153656
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.18820150196552277,0.42798417806625366,0.4860881567001343,0.20566560328006744,0.21567091345787048,0.23549780249595642,0.23592321574687958,0.3335905969142914,0.2609952986240387,0.29575422406196594
