,who,was,appointed,genghis,khan,'s,successor,?
in,0.2792111933231354,0.45514053106307983,0.23088723421096802,0.224680557847023,0.1527150720357895,-0.037580832839012146,0.15141087770462036,0.20430970191955566
response,0.2218329906463623,0.2303798496723175,0.1601637899875641,0.11183401942253113,0.07167425751686096,-0.01666334457695484,0.1277972161769867,0.2007838636636734
to,0.42656609416007996,0.3636345863342285,0.21184861660003662,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.11769062280654907,0.29463258385658264
this,0.3345087468624115,0.3638818562030792,0.13347262144088745,0.28079792857170105,0.17467814683914185,0.02106832154095173,0.11482192575931549,0.3155723512172699
tension,0.1467919945716858,0.19301684200763702,0.14661012589931488,0.09301865845918655,0.08309423923492432,0.0027653060387820005,0.10134030878543854,0.16257193684577942
",",0.3365725874900818,0.45456063747406006,0.27665549516677856,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.1759623885154724,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.2608291208744049,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.1350792944431305,0.20544172823429108
possibly,0.237948477268219,0.28066137433052063,0.1700376272201538,0.22901199758052826,0.17947565019130707,0.012713257223367691,0.10298602283000946,0.3334614038467407
for,0.37110671401023865,0.3863949179649353,0.2262866050004959,0.14123353362083435,0.13388998806476593,-0.07241261005401611,0.08394116163253784,0.264628142118454
other,0.3612329661846161,0.14651623368263245,0.13479666411876678,0.12828509509563446,0.15205100178718567,0.04445967823266983,0.07825083285570145,0.24682199954986572
reasons,0.2891221344470978,0.3114069104194641,0.15020664036273956,0.15489383041858673,0.16131369769573212,-0.011799629777669907,0.11720256507396698,0.248102068901062
",",0.3365725874900818,0.45456063747406006,0.27665549516677856,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.1759623885154724,0.31091248989105225
ögedei,0.34607383608818054,0.3649882376194,0.31562453508377075,0.6161514520645142,0.43523725867271423,-0.005691892933100462,0.36593908071517944,0.20177854597568512
was,0.3318818509578705,1.0000001192092896,0.33569878339767456,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.287630170583725,0.18412111699581146
appointed,0.3215055465698242,0.33569878339767456,1.0,0.19255970418453217,0.1821570247411728,-0.07290255278348923,0.3939387798309326,0.13895352184772491
as,0.3923053741455078,0.3677520453929901,0.2932926416397095,0.17543354630470276,0.22500167787075043,-0.05775856226682663,0.26511430740356445,0.27043893933296204
successor,0.1692478209733963,0.287630170583725,0.3939387798309326,0.28109827637672424,0.2138257473707199,-0.010897614061832428,0.9999999403953552,0.0913006067276001
.,0.3541337847709656,0.40146201848983765,0.23383042216300964,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.11615859717130661,0.4130953550338745
