,when,were,the,french,wars,of,religion,?
the,0.5091903209686279,0.3906462490558624,1.0,0.2555147111415863,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
french,0.18820616602897644,0.22002479434013367,0.2555147111415863,1.0000001192092896,0.2266535758972168,0.19450366497039795,0.16959980130195618,0.1386883556842804
wars,0.1940510869026184,0.24968937039375305,0.310673326253891,0.2266535758972168,1.0000001192092896,0.25379252433776855,0.21834717690944672,0.1526605486869812
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.19450366497039795,0.25379252433776855,1.0,0.30360451340675354,0.1826142966747284
religion,0.16804519295692444,0.2073049396276474,0.2757669985294342,0.16959980130195618,0.21834717690944672,0.30360451340675354,0.9999999403953552,0.2503177225589752
in,0.4431333839893341,0.3815755248069763,0.6662389636039734,0.22093388438224792,0.2582511007785797,0.5696388483047485,0.2462482750415802,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,1.0,0.2555147111415863,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
16th,0.09667909890413284,0.06021585315465927,0.2201097458600998,0.08397576212882996,0.1274271011352539,0.13910430669784546,0.19018135964870453,0.06695828586816788
century,0.22992412745952606,0.34997639060020447,0.3617299497127533,0.2562131881713867,0.26885414123535156,0.2826060354709625,0.2350333333015442,0.1026201918721199
and,0.4716290831565857,0.42175528407096863,0.5171257257461548,0.32751965522766113,0.2593706548213959,0.5116966962814331,0.2620435655117035,0.20544172823429108
french,0.18820616602897644,0.22002479434013367,0.2555147111415863,1.0000001192092896,0.2266535758972168,0.19450366497039795,0.16959980130195618,0.1386883556842804
revolution,0.22921188175678253,0.2724667489528656,0.276140034198761,0.3167208731174469,0.33786338567733765,0.27144062519073486,0.2696651220321655,0.1727980077266693
in,0.4431333839893341,0.3815755248069763,0.6662389636039734,0.22093388438224792,0.2582511007785797,0.5696388483047485,0.2462482750415802,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,1.0,0.2555147111415863,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
18th,0.1745137721300125,0.09947817772626877,0.2844390869140625,0.09877610206604004,0.1745937466621399,0.18507498502731323,0.2041722685098648,0.11879357695579529
successively,0.3285868167877197,0.2429562211036682,0.3540465533733368,0.1822604089975357,0.21274496614933014,0.28918561339378357,0.14940884709358215,0.09861457347869873
destroyed,0.27850767970085144,0.3411653935909271,0.3403017520904541,0.10440154373645782,0.29188239574432373,0.27498680353164673,0.1544095128774643,0.10318030416965485
much,0.39518025517463684,0.25476184487342834,0.35023224353790283,0.1541515290737152,0.24832762777805328,0.2671096920967102,0.20341448485851288,0.23442231118679047
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.19450366497039795,0.25379252433776855,1.0,0.30360451340675354,0.1826142966747284
what,0.4700249433517456,0.22298263013362885,0.42745697498321533,0.17393042147159576,0.20595821738243103,0.33290785551071167,0.3103729486465454,0.5051238536834717
existed,0.2067137509584427,0.3758416771888733,0.32677435874938965,0.13847392797470093,0.2242996096611023,0.2990404963493347,0.20801696181297302,0.17013543844223022
in,0.4431333839893341,0.3815755248069763,0.6662389636039734,0.22093388438224792,0.2582511007785797,0.5696388483047485,0.2462482750415802,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,1.0,0.2555147111415863,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
way,0.3943900763988495,0.2970612645149231,0.36217406392097473,0.1318410187959671,0.18836185336112976,0.266871839761734,0.26039111614227295,0.31575819849967957
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.19450366497039795,0.25379252433776855,1.0,0.30360451340675354,0.1826142966747284
the,0.5091903209686279,0.3906462490558624,1.0,0.2555147111415863,0.310673326253891,0.733189046382904,0.2757669985294342,0.22068053483963013
architectural,0.11113786697387695,0.18854285776615143,0.22612835466861725,0.12415392696857452,0.10782553255558014,0.2795933783054352,0.20994316041469574,0.13917183876037598
and,0.4716290831565857,0.42175528407096863,0.5171257257461548,0.32751965522766113,0.2593706548213959,0.5116966962814331,0.2620435655117035,0.20544172823429108
artistic,0.23034259676933289,0.17949526011943817,0.2456032931804657,0.18268409371376038,0.14606085419654846,0.2833148241043091,0.19233772158622742,0.0986262783408165
remnant,0.25443264842033386,0.2482350468635559,0.30171096324920654,0.16681383550167084,0.18886001408100128,0.2425432801246643,0.17142051458358765,0.13557544350624084
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.19450366497039795,0.25379252433776855,1.0,0.30360451340675354,0.1826142966747284
this,0.4959332048892975,0.25469228625297546,0.6274310946464539,0.2380896955728531,0.29649364948272705,0.45148900151252747,0.2827630937099457,0.3155723512172699
norman,0.18821191787719727,0.1889636218547821,0.23459704220294952,0.2732321619987488,0.16969914734363556,0.15827171504497528,0.10567178577184677,0.12243545055389404
creativity,0.10927651077508926,0.13401636481285095,0.16929323971271515,0.18029430508613586,0.1684921830892563,0.22504544258117676,0.2738100588321686,0.24089647829532623
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.2480926215648651,0.25701209902763367,0.5352458953857422,0.28897368907928467,0.4130953550338745
