,who,played,doctor,who,in,the,revival,series,?
the,0.3733934462070465,0.2603478729724884,0.2820442318916321,0.3733934462070465,0.6662389636039734,1.0,0.30452626943588257,0.31376904249191284,0.22068053483963013
first,0.39065709710121155,0.2724764943122864,0.27244147658348083,0.39065709710121155,0.4127444326877594,0.49448907375335693,0.2658042013645172,0.3264976441860199,0.18701928853988647
series,0.21484537422657013,0.30888867378234863,0.2712797522544861,0.21484537422657013,0.2914260923862457,0.31376904249191284,0.22159305214881897,1.0000001192092896,0.1709602326154709
of,0.2827862501144409,0.21120788156986237,0.16895952820777893,0.2827862501144409,0.5696388483047485,0.733189046382904,0.2109367549419403,0.22268271446228027,0.1826142966747284
the,0.3733934462070465,0.2603478729724884,0.2820442318916321,0.3733934462070465,0.6662389636039734,1.0,0.30452626943588257,0.31376904249191284,0.22068053483963013
21st,0.2039957493543625,0.21023796498775482,0.16083142161369324,0.2039957493543625,0.25856947898864746,0.24859341979026794,0.2056257277727127,0.220035120844841,0.22120748460292816
century,0.2990973889827728,0.1648429036140442,0.17628343403339386,0.2990973889827728,0.3174034655094147,0.3617299497127533,0.2811683714389801,0.19289079308509827,0.1026201918721199
featured,0.25015440583229065,0.3386363983154297,0.16105584800243378,0.25015440583229065,0.2658694386482239,0.28660184144973755,0.2906420826911926,0.3595673739910126,0.2944096624851227
christopher,0.28159621357917786,0.18939127027988434,0.2194787561893463,0.28159621357917786,0.19567829370498657,0.22499394416809082,0.19250425696372986,0.11787699162960052,0.09195942431688309
eccleston,0.2467091828584671,0.1749487817287445,0.2983407974243164,0.2467091828584671,0.25081244111061096,0.2835124135017395,0.2664797306060791,0.2919650673866272,0.18846043944358826
in,0.2792111933231354,0.27605336904525757,0.25567495822906494,0.2792111933231354,1.0,0.6662389636039734,0.2631177604198456,0.2914260923862457,0.20430970191955566
the,0.3733934462070465,0.2603478729724884,0.2820442318916321,0.3733934462070465,0.6662389636039734,1.0,0.30452626943588257,0.31376904249191284,0.22068053483963013
title,0.18150031566619873,0.1960923671722412,0.20280343294143677,0.18150031566619873,0.2263992726802826,0.27465343475341797,0.11366897076368332,0.19597706198692322,0.34551161527633667
role,0.2767873704433441,0.3676716685295105,0.2079973667860031,0.2767873704433441,0.243671715259552,0.26607486605644226,0.2654193639755249,0.34679755568504333,0.18676944077014923
and,0.41279885172843933,0.268975168466568,0.21673844754695892,0.41279885172843933,0.4954058527946472,0.5171257257461548,0.2417616993188858,0.26972857117652893,0.20544172823429108
was,0.3318818509578705,0.3139837682247162,0.19672659039497375,0.3318818509578705,0.45514053106307983,0.48711544275283813,0.3003317415714264,0.2261398285627365,0.18412111699581146
produced,0.12907662987709045,0.21490488946437836,0.12545296549797058,0.12907662987709045,0.2542861998081207,0.22045251727104187,0.1837950497865677,0.2875058650970459,0.1623450517654419
by,0.39727845788002014,0.1480340212583542,0.13681447505950928,0.39727845788002014,0.370934396982193,0.4408751428127289,0.24192027747631073,0.267352432012558,0.17966607213020325
the,0.3733934462070465,0.2603478729724884,0.2820442318916321,0.3733934462070465,0.6662389636039734,1.0,0.30452626943588257,0.31376904249191284,0.22068053483963013
bbc,0.2086644321680069,0.21420447528362274,0.32370132207870483,0.2086644321680069,0.22430340945720673,0.2735401690006256,0.24121804535388947,0.31758952140808105,0.20556949079036713
.,0.3541337847709656,0.2876244783401489,0.22361043095588684,0.3541337847709656,0.5591574311256409,0.5934505462646484,0.1816873699426651,0.3121925890445709,0.4130953550338745
