,what,war,in,ireland,featured,huguenot,regiments,?
huguenot,0.1912020891904831,0.3196048438549042,0.26198551058769226,0.26848721504211426,0.0505489744246006,1.0000001192092896,0.28637969493865967,0.1359742432832718
regiments,0.2013155221939087,0.3474277853965759,0.26009050011634827,0.21173496544361115,0.10074827075004578,0.28637969493865967,1.0000001192092896,0.13045227527618408
fought,0.17720700800418854,0.5800250768661499,0.27511686086654663,0.1742507368326187,0.1902599334716797,0.3170984089374542,0.44972437620162964,0.15288178622722626
for,0.3017193675041199,0.22632956504821777,0.4322226941585541,0.20986653864383698,0.30727413296699524,0.14738403260707855,0.19593966007232666,0.264628142118454
william,0.24990826845169067,0.22363723814487457,0.21605195105075836,0.23263508081436157,0.1265670210123062,0.3586803376674652,0.19678765535354614,0.14462219178676605
of,0.33290785551071167,0.31680163741111755,0.5696388483047485,0.2551186680793762,0.2342860847711563,0.29061198234558105,0.27114173769950867,0.1826142966747284
orange,0.18341036140918732,0.08582193404436111,0.20098833739757538,0.22048188745975494,0.1735268384218216,0.1393471658229828,0.2030794769525528,0.1066059097647667
in,0.30808621644973755,0.29904094338417053,1.0,0.24362659454345703,0.2658694386482239,0.26198551058769226,0.26009050011634827,0.20430970191955566
the,0.42745697498321533,0.366199791431427,0.6662389636039734,0.2573983073234558,0.28660184144973755,0.29557526111602783,0.2910691201686859,0.22068053483963013
williamite,0.2476712167263031,0.2768900394439697,0.30293017625808716,0.2657615542411804,0.23001836240291595,0.3482588231563568,0.2674413025379181,0.20239494740962982
war,0.22516006231307983,1.0000001192092896,0.29904094338417053,0.17995944619178772,0.12599465250968933,0.3196048438549042,0.3474277853965759,0.15510529279708862
in,0.30808621644973755,0.29904094338417053,1.0,0.24362659454345703,0.2658694386482239,0.26198551058769226,0.26009050011634827,0.20430970191955566
ireland,0.18062788248062134,0.17995944619178772,0.24362659454345703,1.0,0.10935374349355698,0.26848721504211426,0.21173496544361115,0.10685748606920242
",",0.3087472915649414,0.2671184241771698,0.5201468467712402,0.24259544909000397,0.27189624309539795,0.24752236902713776,0.28327563405036926,0.31091248989105225
for,0.3017193675041199,0.22632956504821777,0.4322226941585541,0.20986653864383698,0.30727413296699524,0.14738403260707855,0.19593966007232666,0.264628142118454
which,0.5261979103088379,0.2244700789451599,0.4840516746044159,0.24782691895961761,0.30209124088287354,0.22239398956298828,0.2172347605228424,0.25814583897590637
they,0.4431931674480438,0.23408442735671997,0.4330179989337921,0.1996392160654068,0.19582970440387726,0.21709397435188293,0.27847403287887573,0.2753053903579712
were,0.22298263013362885,0.3151806890964508,0.3815755248069763,0.19061587750911713,0.26517489552497864,0.23719102144241333,0.36365094780921936,0.17890112102031708
rewarded,0.24313607811927795,0.23160985112190247,0.21160532534122467,0.16488972306251526,0.218003049492836,0.20757882297039032,0.22768548130989075,0.21644258499145508
with,0.2464839518070221,0.20580904185771942,0.4080928862094879,0.20889659225940704,0.2371402531862259,0.19856593012809753,0.20323671400547028,0.2433311939239502
land,0.23411516845226288,0.19939173758029938,0.22871792316436768,0.19308078289031982,0.07376728951931,0.19860590994358063,0.17347870767116547,0.1432059109210968
grants,0.18652507662773132,0.20913036167621613,0.22626352310180664,0.22261030972003937,0.19607584178447723,0.20665757358074188,0.26646432280540466,0.1494954377412796
and,0.31309178471565247,0.29695844650268555,0.4954058527946472,0.2852447032928467,0.26700839400291443,0.2762077748775482,0.23927706480026245,0.20544172823429108
titles,0.1285797506570816,0.14762745797634125,0.21707631647586823,0.13450810313224792,0.2462177872657776,0.1639646738767624,0.20441210269927979,0.19587254524230957
",",0.3087472915649414,0.2671184241771698,0.5201468467712402,0.24259544909000397,0.27189624309539795,0.24752236902713776,0.28327563405036926,0.31091248989105225
many,0.36131182312965393,0.28938722610473633,0.41474202275276184,0.19280791282653809,0.2732047140598297,0.24653638899326324,0.2005164623260498,0.2124512493610382
settling,0.2598934471607208,0.25603702664375305,0.2905094623565674,0.19720496237277985,0.0837283581495285,0.2718975245952606,0.23056140542030334,0.12231551110744476
in,0.30808621644973755,0.29904094338417053,1.0,0.24362659454345703,0.2658694386482239,0.26198551058769226,0.26009050011634827,0.20430970191955566
dublin,0.16170531511306763,0.15482528507709503,0.21641160547733307,0.6875277757644653,0.06941401213407516,0.33924010396003723,0.1276782602071762,0.06738798320293427
.,0.3567904531955719,0.3000848889350891,0.5591574311256409,0.25703296065330505,0.27540460228919983,0.2060975730419159,0.274161696434021,0.4130953550338745
