,what,was,first,battle,in,1754,?
these,0.4164220690727234,0.19784674048423767,0.27486658096313477,0.19074897468090057,0.3791837692260742,0.1300385296344757,0.2571668326854706
dates,0.2078574001789093,0.23610089719295502,0.2531071901321411,0.11749597638845444,0.2340383380651474,0.09385009109973907,0.2331625074148178
do,0.4609605669975281,0.11523093283176422,0.19137287139892578,0.05768134072422981,0.23402775824069977,0.09838232398033142,0.4093979299068451
not,0.5449194312095642,0.2888734042644501,0.2955942749977112,0.09948498010635376,0.3403114080429077,0.09002742171287537,0.41942933201789856
correspond,0.21269553899765015,0.1781671792268753,0.20369215309619904,0.06519987434148788,0.264174222946167,0.210143581032753,0.1509012132883072
with,0.2464839518070221,0.27411898970603943,0.2691199779510498,0.13577404618263245,0.4080928862094879,0.14949016273021698,0.2433311939239502
the,0.42745697498321533,0.48711544275283813,0.49448907375335693,0.2820790410041809,0.6662389636039734,0.11264632642269135,0.22068053483963013
fighting,0.24901722371578217,0.2350539267063141,0.18134751915931702,0.5001240968704224,0.26774391531944275,0.07304378598928452,0.15496447682380676
on,0.34226128458976746,0.3909217119216919,0.3120559751987457,0.19314859807491302,0.46853652596473694,0.07149162143468857,0.2714994251728058
mainland,0.18151205778121948,0.27667051553726196,0.2402775138616562,0.19962140917778015,0.21539314091205597,0.11820190399885178,0.1326279491186142
north,0.18673177063465118,0.29020047187805176,0.2128637284040451,0.22977259755134583,0.39050599932670593,0.20514358580112457,0.11829731613397598
america,0.2517423629760742,0.2850865423679352,0.297447144985199,0.08356117457151413,0.3098583221435547,0.007139328867197037,0.19333907961845398
",",0.3087472915649414,0.45456063747406006,0.34503069519996643,0.23037992417812347,0.5201468467712402,0.16850431263446808,0.31091248989105225
where,0.4457937180995941,0.20731619000434875,0.3238157331943512,0.13785181939601898,0.5344807505607605,-0.014166703447699547,0.24793872237205505
the,0.42745697498321533,0.48711544275283813,0.49448907375335693,0.2820790410041809,0.6662389636039734,0.11264632642269135,0.22068053483963013
fighting,0.24901722371578217,0.2350539267063141,0.18134751915931702,0.5001240968704224,0.26774391531944275,0.07304378598928452,0.15496447682380676
between,0.2462156116962433,0.24048170447349548,0.2911831736564636,0.20428906381130219,0.41100412607192993,0.05524790287017822,0.12887074053287506
the,0.42745697498321533,0.48711544275283813,0.49448907375335693,0.2820790410041809,0.6662389636039734,0.11264632642269135,0.22068053483963013
two,0.23363454639911652,0.27166637778282166,0.3794230818748474,0.18063831329345703,0.36463531851768494,0.13095708191394806,0.19645625352859497
colonial,0.15791663527488708,0.2549057900905609,0.24950629472732544,0.19413481652736664,0.25196215510368347,0.08373917639255524,0.10191229730844498
powers,0.24108682572841644,0.1728597730398178,0.17506173253059387,0.1916210651397705,0.16362762451171875,0.152441143989563,0.17269276082515717
was,0.22111038863658905,1.0000001192092896,0.5022147297859192,0.23319749534130096,0.45514053106307983,0.09897935390472412,0.18412111699581146
largely,0.25660550594329834,0.307300329208374,0.1767672747373581,0.12836796045303345,0.2371911108493805,0.12021768093109131,0.08185246586799622
concluded,0.29084116220474243,0.25460392236709595,0.260113924741745,0.14689061045646667,0.2758161425590515,0.21596911549568176,0.13595789670944214
in,0.30808621644973755,0.45514053106307983,0.4127444326877594,0.24353940784931183,1.0,0.12745094299316406,0.20430970191955566
six,0.1779850870370865,0.3042767345905304,0.31582528352737427,0.18268658220767975,0.3013422191143036,0.18983668088912964,0.15298804640769958
years,0.1981470286846161,0.35855233669281006,0.2958037853240967,0.15971307456493378,0.33554986119270325,0.09848352521657944,0.1914375126361847
",",0.3087472915649414,0.45456063747406006,0.34503069519996643,0.23037992417812347,0.5201468467712402,0.16850431263446808,0.31091248989105225
