,how,many,times,can,a,time,lord,regenerate,?
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.312528520822525,0.5829201340675354,0.43061500787734985,0.2489406019449234,0.2977958917617798,0.22068053483963013
serials,0.23941899836063385,0.2885735034942627,0.263159841299057,0.21258525550365448,0.21007418632507324,0.27723366022109985,0.12546874582767487,0.14170494675636292,0.14029279351234436
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.312528520822525,0.5829201340675354,0.43061500787734985,0.2489406019449234,0.2977958917617798,0.22068053483963013
deadly,0.1861698478460312,0.27100610733032227,0.21556028723716736,0.27001169323921204,0.28167176246643066,0.17484934628009796,0.12252570688724518,0.29037177562713623,0.1889878809452057
assassin,0.06295299530029297,0.10712270438671112,0.12962712347507477,0.0923730805516243,0.19020093977451324,0.09915228188037872,0.07720525562763214,0.11042063683271408,0.19931939244270325
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.3675691485404968,0.3739250600337982,0.3025408685207367,0.22902889549732208,0.261653333902359,0.20544172823429108
mawdryn,0.2516959011554718,0.25176289677619934,0.14579392969608307,0.19836612045764923,0.2193910777568817,0.1738732010126114,0.2840605676174164,0.29595011472702026,0.2520046532154083
undead,0.27943459153175354,0.3546071946620941,0.17060936987400055,0.21710434556007385,0.19627445936203003,0.23189552128314972,0.2819608449935913,0.3479066789150238,0.1811600774526596
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.3675691485404968,0.3739250600337982,0.3025408685207367,0.22902889549732208,0.261653333902359,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.312528520822525,0.5829201340675354,0.43061500787734985,0.2489406019449234,0.2977958917617798,0.22068053483963013
1996,0.11204922944307327,0.12439823895692825,0.06325730681419373,-0.018921131268143654,0.04588954523205757,0.12715132534503937,0.10052322596311569,-0.12410593777894974,0.18022380769252777
tv,0.14689788222312927,0.1735375076532364,0.20867455005645752,0.1896967589855194,0.2169625610113144,0.19689060747623444,0.07813774794340134,0.18132472038269043,0.20290863513946533
film,0.1829524040222168,0.15848217904567719,0.19102692604064941,0.15969279408454895,0.19172197580337524,0.21054072678089142,0.15440644323825836,0.14713779091835022,0.16369038820266724
would,0.43239715695381165,0.33440667390823364,0.2525281608104706,0.5638198852539062,0.398599237203598,0.3781263828277588,0.1505783647298813,0.2803451418876648,0.37178951501846313
later,0.2534695267677307,0.3450429439544678,0.2978288531303406,0.22625304758548737,0.34254932403564453,0.35012131929397583,0.15733522176742554,0.20364134013652802,0.1417175978422165
establish,0.19256964325904846,0.2051573246717453,0.1691780984401703,0.11296388506889343,0.22806213796138763,0.17856010794639587,0.11018131673336029,0.20154745876789093,0.21678102016448975
that,0.557814359664917,0.5391656160354614,0.2866678833961487,0.4522190988063812,0.47537946701049805,0.388528436422348,0.16890279948711395,0.32460102438926697,0.32716336846351624
a,0.29312583804130554,0.2872205972671509,0.2745400369167328,0.3915780484676361,1.0,0.3292340338230133,0.13542361557483673,0.2453545331954956,0.23916715383529663
time,0.35346719622612,0.3523001968860626,0.5334080457687378,0.2720869183540344,0.3292340338230133,0.9999998807907104,0.23587727546691895,0.2569030821323395,0.27391523122787476
lord,0.17180049419403076,0.1546841263771057,0.1400325745344162,0.11454423516988754,0.13542361557483673,0.23587727546691895,1.0000001192092896,0.21067918837070465,0.09544310718774796
can,0.49246567487716675,0.4275496006011963,0.20370972156524658,1.0,0.3915780484676361,0.2720869183540344,0.11454423516988754,0.35875365138053894,0.3226337134838104
only,0.36590442061424255,0.4670507609844208,0.28596800565719604,0.43433451652526855,0.47549712657928467,0.3912617266178131,0.17240290343761444,0.3287718892097473,0.2767370045185089
regenerate,0.2853084206581116,0.24581089615821838,0.13118068873882294,0.35875365138053894,0.2453545331954956,0.2569030821323395,0.21067918837070465,1.0,0.17953330278396606
12,0.10959922522306442,0.1780882626771927,0.18680115044116974,0.21883054077625275,0.2757076025009155,0.14333707094192505,0.05186455696821213,0.2025252729654312,0.10021790862083435
times,0.2685738503932953,0.303416907787323,1.0,0.20370972156524658,0.2745400369167328,0.5334080457687378,0.1400325745344162,0.13118068873882294,0.18880689144134521
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3139454126358032,0.427140474319458,0.3029961884021759,0.23110952973365784,0.18068955838680267,0.31091248989105225
for,0.3308170735836029,0.40972793102264404,0.2999500632286072,0.35690054297447205,0.44038116931915283,0.3992156386375427,0.2191227525472641,0.1440458595752716,0.264628142118454
a,0.29312583804130554,0.2872205972671509,0.2745400369167328,0.3915780484676361,1.0,0.3292340338230133,0.13542361557483673,0.2453545331954956,0.23916715383529663
total,0.22199897468090057,0.2912171483039856,0.20451748371124268,0.1448526680469513,0.20922091603279114,0.23522065579891205,0.12784768640995026,0.17277613282203674,0.14396025240421295
of,0.2480744868516922,0.37253960967063904,0.24352745711803436,0.2603091299533844,0.5052502155303955,0.35127586126327515,0.20127125084400177,0.29200416803359985,0.1826142966747284
13,-0.02601788192987442,0.04598686099052429,0.022115450352430344,-0.08637067675590515,0.01653565652668476,0.04539946839213371,0.07247733324766159,0.04255235940217972,-0.11384815722703934
incarnations,0.24291354417800903,0.3309743404388428,0.24014821648597717,0.23100785911083221,0.22370432317256927,0.27586159110069275,0.2830619215965271,0.3022865653038025,0.21271158754825592
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.35783761739730835,0.50484299659729,0.371569961309433,0.14438843727111816,0.24000315368175507,0.4130953550338745
