,how,many,tonnes,of,tomatoes,does,victoria,produce,?
last,0.24577783048152924,0.21182136237621307,0.17330627143383026,0.3052992522716522,0.09503353387117386,0.15111127495765686,0.19254328310489655,0.13883626461029053,0.22371746599674225
year,0.19631797075271606,0.21933086216449738,0.21752752363681793,0.2578314542770386,0.15634608268737793,0.16000528633594513,0.15436214208602905,0.1674094796180725,0.18315006792545319
",",0.22659391164779663,0.40610817074775696,0.25384521484375,0.4946078956127167,0.2640148997306824,0.28617382049560547,0.2279360294342041,0.19927625358104706,0.31091248989105225
"121,200",0.03592567890882492,0.14185701310634613,-0.023914815858006477,0.09592639654874802,0.0646357536315918,0.03733557462692261,0.13980162143707275,-0.08630584925413132,0.0036161052994430065
tonnes,0.21806004643440247,0.24116253852844238,1.0,0.20021985471248627,0.2935510277748108,0.13119450211524963,0.1494346261024475,0.3019598126411438,0.17092333734035492
of,0.2480744868516922,0.37253960967063904,0.20021985471248627,1.0,0.15510042011737823,0.3119818866252899,0.2505437433719635,0.19541172683238983,0.1826142966747284
pears,0.2001650184392929,0.3166704773902893,0.2601672112941742,0.23338207602500916,0.3062310218811035,0.2293839156627655,0.2035556137561798,0.2723270654678345,0.11514560133218765
and,0.33647966384887695,0.5296266674995422,0.22472572326660156,0.5116966962814331,0.1851278692483902,0.3461615741252899,0.24507255852222443,0.2701570689678192,0.20544172823429108
"270,000",-0.04602263495326042,0.07423656433820724,-0.18481196463108063,0.18605682253837585,-0.006615072954446077,0.03653315082192421,0.03341585770249367,-0.08983669430017471,-0.08078885078430176
tonnes,0.21806004643440247,0.24116253852844238,1.0,0.20021985471248627,0.2935510277748108,0.13119450211524963,0.1494346261024475,0.3019598126411438,0.17092333734035492
of,0.2480744868516922,0.37253960967063904,0.20021985471248627,1.0,0.15510042011737823,0.3119818866252899,0.2505437433719635,0.19541172683238983,0.1826142966747284
tomatoes,0.2384459525346756,0.20566776394844055,0.2935510277748108,0.15510042011737823,1.0,0.20106542110443115,0.13938063383102417,0.24449461698532104,0.23278950154781342
were,0.2082374095916748,0.4804460406303406,0.2650124430656433,0.34038281440734863,0.17098169028759003,0.046230707317590714,0.19546319544315338,0.18991003930568695,0.17890112102031708
produced,0.17719948291778564,0.2355157881975174,0.24791911244392395,0.18961067497730255,0.20428690314292908,0.13402628898620605,0.0907607227563858,0.657219648361206,0.1623450517654419
.,0.3287222981452942,0.3974229395389557,0.2444928139448166,0.5352458953857422,0.2687233090400696,0.3022993505001068,0.23069117963314056,0.2587496340274811,0.4130953550338745
