,what,is,the,second,most,abundant,element,?
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.2977677285671234,0.270847886800766,0.12328586727380753,0.1585245132446289,0.17966607213020325
mass,0.23905135691165924,0.21063528954982758,0.2284930944442749,0.18355771899223328,0.15011264383792877,0.24218623340129852,0.3031277060508728,0.2076406031847
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.3636029064655304,0.2686839997768402,0.20181523263454437,0.31091248989105225
oxygen,0.16781960427761078,0.21825239062309265,0.20428593456745148,0.1368016004562378,0.21728017926216125,0.4410693645477295,0.35867807269096375,0.16786395013332367
is,0.28837618231773376,1.0,0.5823672413825989,0.3161451518535614,0.41165053844451904,0.28058749437332153,0.3385811448097229,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.47635307908058167,0.24729062616825104,0.2041647583246231,0.22068053483963013
third-most,0.34903883934020996,0.4435901343822479,0.509972333908081,0.6339554786682129,0.5399351716041565,0.40225574374198914,0.25871649384498596,0.22875003516674042
abundant,0.20062927901744843,0.28058749437332153,0.24729062616825104,0.12250720709562302,0.39561912417411804,0.9999999403953552,0.2870469093322754,0.13836130499839783
element,0.24694041907787323,0.3385811448097229,0.2041647583246231,0.11323628574609756,0.1972019523382187,0.2870469093322754,1.0,0.18393386900424957
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.34510284662246704,0.41416558623313904,0.21504533290863037,0.16983667016029358,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.47635307908058167,0.24729062616825104,0.2041647583246231,0.22068053483963013
universe,0.2486504465341568,0.22245483100414276,0.23688684403896332,0.19656836986541748,0.2293161004781723,0.1803348809480667,0.28245818614959717,0.22314924001693726
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29927265644073486,0.3636029064655304,0.2686839997768402,0.20181523263454437,0.31091248989105225
after,0.21973377466201782,0.2835143506526947,0.4565047025680542,0.3736267685890198,0.22962093353271484,0.09541217237710953,0.12713241577148438,0.16608688235282898
hydrogen,0.19052310287952423,0.24001643061637878,0.20406323671340942,0.15330509841442108,0.18514886498451233,0.3369152545928955,0.4291958212852478,0.14590126276016235
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2743909955024719,0.4309377074241638,0.2986568808555603,0.16833719611167908,0.20544172823429108
helium,0.21581047773361206,0.20972669124603271,0.20720821619033813,0.1589888036251068,0.15893882513046265,0.31502196192741394,0.4108152985572815,0.1527850180864334
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.346034437417984,0.35404038429260254,0.24012723565101624,0.24230757355690002,0.4130953550338745
