,who,sets,the,work,agenda,and,allocates,time,in,the,chamber,?
convening,0.15238231420516968,0.20543576776981354,0.3037053644657135,0.26279765367507935,0.17702338099479675,0.3311532735824585,0.32286468148231506,0.27776843309402466,0.2667960822582245,0.3037053644657135,0.21119993925094604,0.17496144771575928
the,0.3733934462070465,0.2320500761270523,1.0,0.2704800069332123,0.24096648395061493,0.5171257257461548,0.3648970425128937,0.43061500787734985,0.6662389636039734,1.0,0.2594704031944275,0.22068053483963013
parliamentary,0.20465344190597534,0.12327593564987183,0.2708897888660431,0.14708614349365234,0.302367627620697,0.30461975932121277,0.30315732955932617,0.205973282456398,0.2472391128540039,0.2708897888660431,0.2519800662994385,0.1612216979265213
bureau,0.18711698055267334,0.09062478691339493,0.26302388310432434,0.20447193086147308,0.2981775403022766,0.20569582283496857,0.2673475444316864,0.18589937686920166,0.23286110162734985,0.26302388310432434,0.20748579502105713,0.12716132402420044
",",0.3365725874900818,0.19630418717861176,0.4933079481124878,0.3283594250679016,0.29892265796661377,0.6633074283599854,0.24861131608486176,0.3029961884021759,0.5201468467712402,0.4933079481124878,0.211589053273201,0.31091248989105225
which,0.3688730001449585,0.2933466136455536,0.6521818041801453,0.30331435799598694,0.23440873622894287,0.506277859210968,0.41276878118515015,0.325231671333313,0.4840516746044159,0.6521818041801453,0.26306310296058655,0.25814583897590637
allocates,0.25525200366973877,0.2520807683467865,0.3648970425128937,0.2571898102760315,0.2634744346141815,0.31676721572875977,1.0000001192092896,0.25599223375320435,0.26946401596069336,0.3648970425128937,0.19206222891807556,0.24268190562725067
time,0.36634087562561035,0.15688368678092957,0.43061500787734985,0.33320653438568115,0.1780291497707367,0.3025408685207367,0.25599223375320435,0.9999998807907104,0.3431483507156372,0.43061500787734985,0.1584310531616211,0.27391523122787476
and,0.41279885172843933,0.23491808772087097,0.5171257257461548,0.37551814317703247,0.2819797396659851,1.0,0.31676721572875977,0.3025408685207367,0.4954058527946472,0.5171257257461548,0.2297973483800888,0.20544172823429108
sets,0.17237307131290436,1.0000001192092896,0.2320500761270523,0.16645467281341553,0.12426713109016418,0.23491808772087097,0.2520807683467865,0.15688368678092957,0.16155706346035004,0.2320500761270523,0.22572194039821625,0.07869148254394531
the,0.3733934462070465,0.2320500761270523,1.0,0.2704800069332123,0.24096648395061493,0.5171257257461548,0.3648970425128937,0.43061500787734985,0.6662389636039734,1.0,0.2594704031944275,0.22068053483963013
work,0.3146236836910248,0.16645467281341553,0.2704800069332123,1.0,0.21621696650981903,0.37551814317703247,0.2571898102760315,0.33320653438568115,0.2753349542617798,0.2704800069332123,0.13814443349838257,0.2621155381202698
agenda,0.2428666353225708,0.12426713109016418,0.24096648395061493,0.21621696650981903,1.0,0.2819797396659851,0.2634744346141815,0.1780291497707367,0.1731167435646057,0.24096648395061493,0.1088462620973587,0.2831370234489441
