,where,did,the,residents,of,antioch,flee,to,?
in,0.5344807505607605,0.2593238651752472,0.6662389636039734,0.27393898367881775,0.5696388483047485,0.22959110140800476,0.2723175287246704,0.45010748505592346,0.20430970191955566
1348–49,0.22942279279232025,0.12880927324295044,0.1673358976840973,0.09771924465894699,0.08980025351047516,0.004388144705444574,0.06660088151693344,0.23787885904312134,0.31539103388786316
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.2648939788341522,0.4946078956127167,0.2626475393772125,0.2327422946691513,0.44245919585227966,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,1.0,0.28274044394493103,0.733189046382904,0.2657717168331146,0.28006893396377563,0.535392165184021,0.22068053483963013
disease,0.17014959454536438,0.18150202929973602,0.22720423340797424,0.20143871009349823,0.22984620928764343,0.18516981601715088,0.20479130744934082,0.261801153421402,0.16159942746162415
reached,0.2654554843902588,0.24863581359386444,0.29860952496528625,0.13999241590499878,0.18604008853435516,0.095279261469841,0.1604628711938858,0.20677556097507477,0.1518019139766693
antioch,0.2163211703300476,0.15515094995498657,0.2657717168331146,0.17486242949962616,0.3254023492336273,0.9999999403953552,0.32299837470054626,0.19485542178153992,0.19155849516391754
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2494935691356659,0.5352458953857422,0.24980632960796356,0.16442443430423737,0.4645031690597534,0.4130953550338745
,where,did,the,residents,of,antioch,flee,to,?
the,0.5003893971443176,0.34736719727516174,1.0,0.28274044394493103,0.733189046382904,0.2657717168331146,0.28006893396377563,0.535392165184021,0.22068053483963013
city,0.2686662971973419,0.12266099452972412,0.35769423842430115,0.41451045870780945,0.32503411173820496,0.3045080602169037,0.27455347776412964,0.20300441980361938,0.13423943519592285
's,0.0007701900321990252,0.05069678649306297,-0.01540423184633255,-0.03466647118330002,-0.03817026689648628,-0.07805309444665909,-0.008022124879062176,0.03782717138528824,-0.023395681753754616
residents,0.2537643313407898,0.182059183716774,0.28274044394493103,0.9999998807907104,0.28795862197875977,0.17486242949962616,0.2695058286190033,0.27325206995010376,0.09602975845336914
fled,0.2494370937347412,0.3007028102874756,0.27857163548469543,0.324078768491745,0.2759998142719269,0.3188016712665558,0.6927700638771057,0.24595892429351807,0.13968057930469513
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.27325206995010376,0.41548454761505127,0.19485542178153992,0.3099924921989441,1.0,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,1.0,0.28274044394493103,0.733189046382904,0.2657717168331146,0.28006893396377563,0.535392165184021,0.22068053483963013
north,0.23586879670619965,0.16732536256313324,0.36298373341560364,0.26497501134872437,0.3604778051376343,0.16529902815818787,0.2377481609582901,0.2743184268474579,0.11829731613397598
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.2648939788341522,0.4946078956127167,0.2626475393772125,0.2327422946691513,0.44245919585227966,0.31091248989105225
most,0.3678402900695801,0.2822507321834564,0.47635307908058167,0.28502365946769714,0.4178851246833801,0.1530863344669342,0.15380536019802094,0.321603000164032,0.2107497900724411
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.28795862197875977,1.0,0.3254023492336273,0.26381760835647583,0.41548454761505127,0.1826142966747284
them,0.38025808334350586,0.44189682602882385,0.4788833558559418,0.29410871863365173,0.34503093361854553,0.20119744539260864,0.34231874346733093,0.5916602611541748,0.35435691475868225
dying,0.20921212434768677,0.2199503481388092,0.2987707853317261,0.19773174822330475,0.26819124817848206,0.2087215632200241,0.3279919922351837,0.3080615699291229,0.16392137110233307
during,0.3543127477169037,0.30679523944854736,0.4838213622570038,0.22113946080207825,0.3869180977344513,0.21349015831947327,0.25843846797943115,0.2828781306743622,0.1325719803571701
the,0.5003893971443176,0.34736719727516174,1.0,0.28274044394493103,0.733189046382904,0.2657717168331146,0.28006893396377563,0.535392165184021,0.22068053483963013
journey,0.21481096744537354,0.173209547996521,0.24944555759429932,0.12787410616874695,0.19444577395915985,0.17006583511829376,0.2730853259563446,0.31875574588775635,0.06391996890306473
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.2648939788341522,0.4946078956127167,0.2626475393772125,0.2327422946691513,0.44245919585227966,0.31091248989105225
but,0.49101024866104126,0.49033689498901367,0.4859698414802551,0.2465316355228424,0.39942997694015503,0.19152522087097168,0.2743181586265564,0.5542377829551697,0.27921953797340393
the,0.5003893971443176,0.34736719727516174,1.0,0.28274044394493103,0.733189046382904,0.2657717168331146,0.28006893396377563,0.535392165184021,0.22068053483963013
infection,0.21740542352199554,0.13334374129772186,0.21775591373443604,0.2359125018119812,0.2276538908481598,0.23400960862636566,0.1861831396818161,0.23874373733997345,0.18650056421756744
had,0.2596948444843292,0.540525496006012,0.3875846862792969,0.2876463234424591,0.37755560874938965,0.19933506846427917,0.2646331787109375,0.37984350323677063,0.20728366076946259
been,0.24669882655143738,0.2835664749145508,0.3563927710056305,0.23609571158885956,0.31685134768486023,0.14986874163150787,0.20404364168643951,0.34945759177207947,0.24354910850524902
spread,0.2061590999364853,0.1917719841003418,0.28994160890579224,0.20351670682430267,0.2895529866218567,0.15038204193115234,0.17775402963161469,0.2748686373233795,0.16482828557491302
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.27325206995010376,0.41548454761505127,0.19485542178153992,0.3099924921989441,1.0,0.29463258385658264
the,0.5003893971443176,0.34736719727516174,1.0,0.28274044394493103,0.733189046382904,0.2657717168331146,0.28006893396377563,0.535392165184021,0.22068053483963013
people,0.3212973177433014,0.26765021681785583,0.36838498711586,0.43970397114753723,0.3251037895679474,0.17830702662467957,0.21104931831359863,0.37275731563568115,0.23739641904830933
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.28795862197875977,1.0,0.3254023492336273,0.26381760835647583,0.41548454761505127,0.1826142966747284
asia,0.21505002677440643,0.19509263336658478,0.2838890850543976,0.17299877107143402,0.2372564673423767,0.22323738038539886,0.15054026246070862,0.22411112487316132,0.1340748518705368
minor,0.1873733103275299,0.18436601758003235,0.2544519603252411,0.05464762821793556,0.2443368136882782,0.19627287983894348,0.08060464262962341,0.16949769854545593,0.21100293099880219
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2494935691356659,0.5352458953857422,0.24980632960796356,0.16442443430423737,0.4645031690597534,0.4130953550338745
