,where,did,the,monks,flee,to,?
under,0.35552138090133667,0.20815621316432953,0.3348022699356079,0.14061850309371948,0.18485330045223236,0.27177539467811584,0.18233340978622437
the,0.5003893971443176,0.34736719727516174,1.0,0.21652711927890778,0.28006893396377563,0.535392165184021,0.22068053483963013
norman,0.11904808133840561,0.1672605574131012,0.23459704220294952,0.2601599395275116,0.1525351107120514,0.16204318404197693,0.12243545055389404
abbot,0.12174025923013687,0.12099624425172806,0.1794712245464325,0.4904017150402069,0.23933039605617523,0.20602832734584808,0.109479621052742
robert,0.15809039771556854,0.16245460510253906,0.2257954627275467,0.15098412334918976,0.12486028671264648,0.16130879521369934,0.11293095350265503
de,0.2051386833190918,0.09745011478662491,0.23491892218589783,0.08223184943199158,0.15699541568756104,0.15903331339359283,0.11064168810844421
grantmesnil,0.22722072899341583,0.18269316852092743,0.3191452920436859,0.2933844029903412,0.21233458817005157,0.2760434150695801,0.2753920555114746
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.17870470881462097,0.2327422946691513,0.44245919585227966,0.31091248989105225
several,0.32044100761413574,0.24080568552017212,0.40559855103492737,0.17978636920452118,0.17423972487449646,0.36196985840797424,0.15595775842666626
monks,0.28270384669303894,0.18693049252033234,0.21652711927890778,1.0,0.31190958619117737,0.29168152809143066,0.12877516448497772
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.2314586341381073,0.26381760835647583,0.41548454761505127,0.1826142966747284
saint-evroul,0.2668326199054718,0.2079707533121109,0.34619078040122986,0.4172104299068451,0.2662144601345062,0.2977866232395172,0.27136653661727905
fled,0.2494370937347412,0.3007028102874756,0.27857163548469543,0.3475121557712555,0.6927700638771057,0.24595892429351807,0.13968057930469513
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.29168152809143066,0.3099924921989441,1.0,0.29463258385658264
southern,0.2580642104148865,0.13322393596172333,0.3282862603664398,0.20271526277065277,0.21664796769618988,0.18284058570861816,0.11225555837154388
italy,0.2641044557094574,0.10825580358505249,0.2633645832538605,0.19604729115962982,0.24630583822727203,0.19335418939590454,0.11567100137472153
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.17870470881462097,0.2327422946691513,0.44245919585227966,0.31091248989105225
where,0.9999999403953552,0.24159270524978638,0.5003893971443176,0.28270384669303894,0.2571423649787903,0.47735077142715454,0.24793872237205505
they,0.43078136444091797,0.4879390597343445,0.49925389885902405,0.3008573055267334,0.2852044701576233,0.5452046394348145,0.2753053903579712
were,0.2363632768392563,0.4162326455116272,0.3906462490558624,0.29595303535461426,0.28661441802978516,0.31913647055625916,0.17890112102031708
patronised,0.1706162840127945,0.273841917514801,0.22887137532234192,0.29418981075286865,0.1402701586484909,0.2609826624393463,0.14390429854393005
by,0.2641284465789795,0.18574509024620056,0.4408751428127289,0.2316741645336151,0.24336832761764526,0.33534231781959534,0.17966607213020325
robert,0.15809039771556854,0.16245460510253906,0.2257954627275467,0.15098412334918976,0.12486028671264648,0.16130879521369934,0.11293095350265503
guiscard,0.19861383736133575,0.13030850887298584,0.2827313542366028,0.3077109754085541,0.29834339022636414,0.16573655605316162,0.14692836999893188
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.24540609121322632,0.25736117362976074,0.48971283435821533,0.20544172823429108
established,0.16059793531894684,0.18989217281341553,0.33092597126960754,0.14279629290103912,0.18349601328372955,0.15850777924060822,0.15917523205280304
a,0.40997210144996643,0.2552328109741211,0.5829201340675354,0.18119055032730103,0.17902876436710358,0.45503583550453186,0.23916715383529663
latin,0.2080112248659134,0.11352607607841492,0.24914836883544922,0.20806539058685303,0.13258224725723267,0.18086881935596466,0.1303461492061615
monastery,0.19567489624023438,0.14108262956142426,0.22441139817237854,0.6571652293205261,0.2670815587043762,0.21633468568325043,0.11713293194770813
at,0.4402937591075897,0.28390252590179443,0.457212895154953,0.2148832082748413,0.1550220400094986,0.36524343490600586,0.21978627145290375
sant'eufemia,0.24158929288387299,0.16602252423763275,0.2763131856918335,0.2975830137729645,0.2061486393213272,0.22704234719276428,0.2667573094367981
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.17902152240276337,0.16442443430423737,0.4645031690597534,0.4130953550338745
