,what,were,the,cultural,origins,of,the,engineers,and,technology,adopted,by,the,mongol,military,?
the,0.42745697498321533,0.3906462490558624,1.0,0.23337452113628387,0.2890577018260956,0.733189046382904,1.0,0.25282254815101624,0.5171257257461548,0.21669498085975647,0.23462533950805664,0.4408751428127289,1.0,0.2924198508262634,0.2290858030319214,0.22068053483963013
mongol,0.15870186686515808,0.21221880614757538,0.2924198508262634,0.24347521364688873,0.27367669343948364,0.22712039947509766,0.2924198508262634,0.15127748250961304,0.21553155779838562,0.1515612006187439,0.19112372398376465,0.1995033621788025,0.2924198508262634,1.0000001192092896,0.26000091433525085,0.12849251925945282
military,0.18809624016284943,0.21322216093540192,0.2290858030319214,0.3016163110733032,0.12492744624614716,0.27347031235694885,0.2290858030319214,0.302031546831131,0.2530125379562378,0.2868160307407379,0.1597222238779068,0.2170676290988922,0.2290858030319214,0.26000091433525085,0.9999998807907104,0.1890317052602768
was,0.22111038863658905,0.590133786201477,0.48711544275283813,0.18866337835788727,0.2043774425983429,0.4069072902202606,0.48711544275283813,0.21913187205791473,0.3740963041782379,0.20640774071216583,0.31838172674179077,0.4752357602119446,0.48711544275283813,0.17204789817333221,0.24704936146736145,0.18412111699581146
also,0.42747777700424194,0.31877249479293823,0.6021018624305725,0.21377404034137726,0.23494292795658112,0.4924938678741455,0.6021018624305725,0.2537425756454468,0.5755972862243652,0.26604264974594116,0.18118521571159363,0.3824189305305481,0.6021018624305725,0.2039244920015335,0.2341880202293396,0.21848613023757935
successful,0.16902779042720795,0.24574939906597137,0.31354787945747375,0.12267761677503586,0.1084609180688858,0.2304827868938446,0.31354787945747375,0.16860714554786682,0.2795376479625702,0.18216058611869812,0.13156147301197052,0.1869579404592514,0.31354787945747375,0.11085983365774155,0.18429173529148102,0.1132197454571724
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.2409708946943283,0.21701936423778534,0.5696388483047485,0.6662389636039734,0.20390598475933075,0.4954058527946472,0.24215441942214966,0.22637200355529785,0.370934396982193,0.6662389636039734,0.16958336532115936,0.2402431070804596,0.20430970191955566
siege,0.12691979110240936,0.21970319747924805,0.26454421877861023,0.13309867680072784,0.19640038907527924,0.24839437007904053,0.26454421877861023,0.1553230881690979,0.1764419823884964,0.109673872590065,0.1088983342051506,0.1746872216463089,0.26454421877861023,0.341903954744339,0.2593000829219818,0.07257505506277084
warfare,0.21073800325393677,0.26906102895736694,0.257932186126709,0.21281133592128754,0.24392399191856384,0.23136936128139496,0.257932186126709,0.2998267412185669,0.2182304859161377,0.2837368845939636,0.1820598691701889,0.1912270039319992,0.257932186126709,0.2501002848148346,0.3755948543548584,0.1583555042743683
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.24125681817531586,0.257002055644989,0.4946078956127167,0.4933079481124878,0.20086117088794708,0.6633074283599854,0.2817870080471039,0.19488979876041412,0.3680937886238098,0.4933079481124878,0.2229510098695755,0.2611614465713501,0.31091248989105225
cutting,0.2535122334957123,0.21747282147407532,0.2671166658401489,0.17689678072929382,0.15522976219654083,0.26013487577438354,0.2671166658401489,0.19114837050437927,0.2864779531955719,0.19771535694599152,0.10136989504098892,0.18736174702644348,0.2671166658401489,0.1403256058692932,0.15232478082180023,0.07885761559009552
off,0.2350364625453949,0.21087022125720978,0.2773582935333252,0.07095794379711151,0.07715611159801483,0.20023372769355774,0.2773582935333252,0.15060819685459137,0.2800697982311249,0.11326237767934799,0.08363630622625351,0.28998351097106934,0.2773582935333252,0.14724689722061157,0.12430787086486816,0.12937544286251068
resources,0.24701403081417084,0.1945209950208664,0.25734785199165344,0.2606859803199768,0.19184310734272003,0.2746381163597107,0.25734785199165344,0.272918701171875,0.3116118013858795,0.3749237358570099,0.12427783757448196,0.19408294558525085,0.25734785199165344,0.1732160747051239,0.22436527907848358,0.26047492027282715
for,0.3017193675041199,0.33592689037323,0.4739971458911896,0.25172704458236694,0.20094417035579681,0.4185989499092102,0.4739971458911896,0.2197026014328003,0.5064792633056641,0.24007871747016907,0.20525452494621277,0.3248702883720398,0.4739971458911896,0.1556200236082077,0.22577130794525146,0.264628142118454
cities,0.161918506026268,0.2273229956626892,0.2621172070503235,0.25594592094421387,0.1454135775566101,0.29528072476387024,0.2621172070503235,0.1473959982395172,0.292957067489624,0.1861741840839386,0.12476755678653717,0.14042139053344727,0.2621172070503235,0.19590207934379578,0.2373671531677246,0.13339310884475708
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.28489047288894653,0.21966230869293213,0.5116966962814331,0.5171257257461548,0.23259219527244568,1.0,0.2333960235118866,0.18808485567569733,0.4289871156215668,0.5171257257461548,0.21553155779838562,0.2530125379562378,0.20544172823429108
