,what,university,donated,the,land,for,the,manned,spacecraft,center,?
a,0.3320399522781372,0.20256656408309937,0.25708192586898804,0.5829201340675354,0.247930645942688,0.44038116931915283,0.5829201340675354,0.1981727033853531,0.1892588883638382,0.2640431225299835,0.23916715383529663
site,0.21561308205127716,0.16562306880950928,0.21790623664855957,0.288954496383667,0.2008039504289627,0.26506415009498596,0.288954496383667,0.0964241772890091,0.17306627333164215,0.1994858980178833,0.2014765441417694
was,0.22111038863658905,0.290752112865448,0.2994552254676819,0.48711544275283813,0.23751215636730194,0.3863949179649353,0.48711544275283813,0.24339483678340912,0.18611936271190643,0.19517986476421356,0.18412111699581146
chosen,0.24263155460357666,0.14606234431266785,0.25244948267936707,0.32853078842163086,0.12118808925151825,0.28363165259361267,0.32853078842163086,0.276106595993042,0.17345403134822845,0.11077795922756195,0.18667186796665192
in,0.30808621644973755,0.3201795518398285,0.2671816647052765,0.6662389636039734,0.22871792316436768,0.4322226941585541,0.6662389636039734,0.1528020054101944,0.19417698681354523,0.27253323793411255,0.20430970191955566
houston,0.16980771720409393,0.25726139545440674,0.25525563955307007,0.24086737632751465,0.12187913805246353,0.2338290810585022,0.24086737632751465,0.24809688329696655,0.204906165599823,0.2780347168445587,0.14217448234558105
",",0.3087472915649414,0.3017033040523529,0.2569865584373474,0.4933079481124878,0.22220008075237274,0.4464869201183319,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.31091248989105225
texas,0.1829363852739334,0.2679651379585266,0.17911311984062195,0.2597190737724304,0.1392221599817276,0.1373835802078247,0.2597190737724304,0.12737056612968445,0.1703304499387741,0.26223719120025635,0.13821813464164734
",",0.3087472915649414,0.3017033040523529,0.2569865584373474,0.4933079481124878,0.22220008075237274,0.4464869201183319,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.31091248989105225
on,0.34226128458976746,0.18291500210762024,0.16190804541110992,0.5107308030128479,0.2075873464345932,0.36199691891670227,0.5107308030128479,0.22706209123134613,0.20470470190048218,0.23809784650802612,0.2714994251728058
land,0.23411516845226288,0.15340852737426758,0.21239589154720306,0.28587454557418823,1.0000001192092896,0.19845563173294067,0.28587454557418823,0.22838427126407623,0.2670876681804657,0.16315385699272156,0.1432059109210968
