,what,were,the,fossils,that,were,found,to,represent,ctenphores,missing,that,current,ctenphora,have,?
despite,0.1825345903635025,0.3547813892364502,0.3172689974308014,0.21924017369747162,0.3715449869632721,0.3547813892364502,0.22573569416999817,0.3584847152233124,0.2101244479417801,0.24016952514648438,0.14497865736484528,0.3715449869632721,0.19426752626895905,0.14459314942359924,0.33455711603164673,0.14350546896457672
their,0.35142919421195984,0.43277356028556824,0.516537070274353,0.208581805229187,0.4266771972179413,0.43277356028556824,0.16267240047454834,0.44619059562683105,0.24555432796478271,0.36545273661613464,0.16920259594917297,0.4266771972179413,0.18771663308143616,0.2313387095928192,0.523270845413208,0.1898253709077835
soft,0.22882381081581116,0.20185865461826324,0.21071362495422363,0.24756060540676117,0.283719927072525,0.20185865461826324,0.19314168393611908,0.2119559645652771,0.12709371745586395,0.27246445417404175,0.10906937718391418,0.283719927072525,0.13036561012268066,0.20919370651245117,0.3149976134300232,0.20168161392211914
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.21695511043071747,0.4137537479400635,0.36755475401878357,0.27385151386260986,0.44245919585227966,0.26053929328918457,0.2835661768913269,0.2425287365913391,0.4137537479400635,0.29341426491737366,0.3108535408973694,0.3541618287563324,0.31091248989105225
gelatinous,0.15438850224018097,0.2801215350627899,0.23073269426822662,0.34085941314697266,0.2851770520210266,0.2801215350627899,0.2719419598579407,0.23706254363059998,0.2211708128452301,0.5201867818832397,0.11788488179445267,0.2851770520210266,0.17574772238731384,0.39889901876449585,0.3874933421611786,0.17941416800022125
bodies,0.1688588559627533,0.350736141204834,0.2745959758758545,0.3195175230503082,0.30124250054359436,0.350736141204834,0.31567689776420593,0.2779117226600647,0.22181549668312073,0.3918001055717468,0.20167165994644165,0.30124250054359436,0.08954691886901855,0.2233913093805313,0.3680446147918701,0.18285469710826874
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.21695511043071747,0.4137537479400635,0.36755475401878357,0.27385151386260986,0.44245919585227966,0.26053929328918457,0.2835661768913269,0.2425287365913391,0.4137537479400635,0.29341426491737366,0.3108535408973694,0.3541618287563324,0.31091248989105225
fossils,0.24009542167186737,0.27053937315940857,0.2495197057723999,1.0000001192092896,0.29984185099601746,0.27053937315940857,0.44371047616004944,0.22865045070648193,0.23489755392074585,0.49241742491722107,0.3214291036128998,0.29984185099601746,0.12108323723077774,0.4333183467388153,0.31919050216674805,0.1504307985305786
thought,0.4469435214996338,0.40236467123031616,0.3509289622306824,0.25450655817985535,0.520185112953186,0.40236467123031616,0.372762531042099,0.3858291208744049,0.28303205966949463,0.27595439553260803,0.19859331846237183,0.520185112953186,0.14116114377975464,0.1877741813659668,0.45581644773483276,0.2600135803222656
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.22865045070648193,0.5436353087425232,0.31913647055625916,0.25225648283958435,1.0,0.2675820589065552,0.2807357609272003,0.260368674993515,0.5436353087425232,0.30630946159362793,0.17951789498329163,0.4544740617275238,0.29463258385658264
represent,0.2515442371368408,0.26450902223587036,0.3288072943687439,0.23489755392074585,0.31693750619888306,0.26450902223587036,0.2021806240081787,0.2675820589065552,1.0,0.2838202714920044,0.20051191747188568,0.31693750619888306,0.23606640100479126,0.2478385865688324,0.36942538619041443,0.1972627341747284
ctenophores,0.2505159080028534,0.1838040053844452,0.2543465793132782,0.5183635354042053,0.3005664348602295,0.1838040053844452,0.32198694348335266,0.2038351595401764,0.26890915632247925,0.8729482293128967,0.2381175309419632,0.3005664348602295,0.10702556371688843,0.6831612586975098,0.3612369894981384,0.2054179310798645
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.21695511043071747,0.4137537479400635,0.36755475401878357,0.27385151386260986,0.44245919585227966,0.26053929328918457,0.2835661768913269,0.2425287365913391,0.4137537479400635,0.29341426491737366,0.3108535408973694,0.3541618287563324,0.31091248989105225
