,in,what,year,was,the,20th,anniversary,special,aired,?
later,0.40857815742492676,0.2517229914665222,0.27576395869255066,0.5684447288513184,0.4060266613960266,0.18981727957725525,0.3156496584415436,0.17338314652442932,0.22772401571273804,0.1417175978422165
that,0.435920387506485,0.6297725439071655,0.2826407253742218,0.33670201897621155,0.5473989248275757,0.2447710484266281,0.18585778772830963,0.27173271775245667,0.22264628112316132,0.32716336846351624
same,0.3692481815814972,0.3764382302761078,0.3087594211101532,0.27172183990478516,0.4583131968975067,0.2287483811378479,0.20270773768424988,0.3153497576713562,0.1884618103504181,0.22649677097797394
year,0.3359307050704956,0.15184831619262695,1.0,0.3209837079048157,0.3609684407711029,0.25513777136802673,0.37422534823417664,0.10077399760484695,0.2463400959968567,0.18315006792545319
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.22451449930667877,0.20396199822425842,0.23880577087402344,0.2195960283279419,0.31091248989105225
during,0.4627237319946289,0.24137552082538605,0.3447895348072052,0.4470829963684082,0.4838213622570038,0.19423027336597443,0.36299774050712585,0.18424199521541595,0.2747999131679535,0.1325719803571701
1983,-0.00395767018198967,0.025786560028791428,-0.1255417764186859,-0.05299026519060135,-0.019107989966869354,0.024738717824220657,-0.024536024779081345,-0.0032942963298410177,-0.02090437337756157,0.09926492720842361
's,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,0.008974763564765453,-0.01540423184633255,0.1176292821764946,-0.008144883438944817,-0.03405539691448212,-0.008831794373691082,-0.023395681753754616
20th,0.20743919909000397,0.1850772649049759,0.25513777136802673,0.258506178855896,0.3097512125968933,1.0,0.31932532787323,0.14550115168094635,0.2352677881717682,0.14985637366771698
anniversary,0.25491592288017273,0.15616674721240997,0.37422534823417664,0.28924626111984253,0.29318708181381226,0.31932532787323,1.0,0.3297252953052521,0.32387199997901917,0.1981802135705948
special,0.2897285223007202,0.24134232103824615,0.10077399760484695,0.1585642695426941,0.3027077615261078,0.14550115168094635,0.3297252953052521,1.0000001192092896,0.2174231857061386,0.29623302817344666
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.2525516450405121,0.22068053483963013
five,0.3634254038333893,0.18688078224658966,0.33582794666290283,0.310379296541214,0.41977158188819885,0.1854521483182907,0.2505345642566681,0.17902345955371857,0.17838238179683685,0.18342848122119904
doctors,0.1817551702260971,0.28694474697113037,0.09199967980384827,0.1506645530462265,0.24499839544296265,0.1520397663116455,0.13385212421417236,0.2336871474981308,0.13360123336315155,0.19305896759033203
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.22451449930667877,0.20396199822425842,0.23880577087402344,0.2195960283279419,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.2525516450405121,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.3099139928817749,0.5022147297859192,0.49448907375335693,0.35831061005592346,0.3821796178817749,0.26929977536201477,0.28434500098228455,0.18701928853988647
doctor,0.25567495822906494,0.20870667695999146,0.16282056272029877,0.19672659039497375,0.2820442318916321,0.26512598991394043,0.17330653965473175,0.16843044757843018,0.23426684737205505,0.1462511420249939
enquires,0.24993278086185455,0.2610766887664795,0.19350282847881317,0.35106968879699707,0.34384581446647644,0.15788188576698303,0.20228242874145508,0.12276061624288559,0.17241822183132172,0.23682163655757904
as,0.3887844979763031,0.31749409437179565,0.28440728783607483,0.3677520453929901,0.48381632566452026,0.19359804689884186,0.15546119213104248,0.2774268388748169,0.17256414890289307,0.27043893933296204
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.3636345863342285,0.535392165184021,0.20756898820400238,0.16979461908340454,0.28623831272125244,0.18075093626976013,0.29463258385658264
