,what,were,the,win/loss,game,stats,for,the,denver,bronco,'s,regular,season,in,2015,?
the,0.42745697498321533,0.3906462490558624,1.0,0.3793964982032776,0.285271555185318,0.19401417672634125,0.4739971458911896,1.0,0.2052404284477234,0.17987582087516785,-0.01540423184633255,0.3214086890220642,0.2507155239582062,0.6662389636039734,0.1466771513223648,0.22068053483963013
broncos,0.1787765771150589,0.21682508289813995,0.25985947251319885,0.36899441480636597,0.32325026392936707,0.25648078322410583,0.2739109396934509,0.25985947251319885,0.5774994492530823,0.8171223998069763,-0.037254199385643005,0.26932692527770996,0.3664494454860687,0.20316283404827118,-0.0028495145961642265,0.18377114832401276
finished,0.2113480567932129,0.20712995529174805,0.2754973769187927,0.3387548327445984,0.21245916187763214,0.17753645777702332,0.261849045753479,0.2754973769187927,0.11362142860889435,0.15105277299880981,0.008866960182785988,0.21908339858055115,0.30780723690986633,0.2933714687824249,0.08713356405496597,0.14789283275604248
the,0.42745697498321533,0.3906462490558624,1.0,0.3793964982032776,0.285271555185318,0.19401417672634125,0.4739971458911896,1.0,0.2052404284477234,0.17987582087516785,-0.01540423184633255,0.3214086890220642,0.2507155239582062,0.6662389636039734,0.1466771513223648,0.22068053483963013
regular,0.224887877702713,0.22610516846179962,0.3214086890220642,0.3549565076828003,0.24102358520030975,0.2916283905506134,0.3314341604709625,0.3214086890220642,0.20430372655391693,0.1516178995370865,0.04493177309632301,1.0,0.4002528786659241,0.23172755539417267,-0.06340658664703369,0.18334713578224182
season,0.12117787450551987,0.20231115818023682,0.2507155239582062,0.39274564385414124,0.3434298038482666,0.29510045051574707,0.24490800499916077,0.2507155239582062,0.2508152425289154,0.22042551636695862,0.06624794006347656,0.4002528786659241,1.0,0.2184021919965744,-0.03830436244606972,0.16793298721313477
with,0.2464839518070221,0.3179011940956116,0.4223487675189972,0.3265986144542694,0.19394829869270325,0.1567969024181366,0.39140474796295166,0.4223487675189972,0.20079316198825836,0.14700986444950104,-0.04624466598033905,0.3385944962501526,0.26700887084007263,0.4080928862094879,-0.05818283185362816,0.2433311939239502
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.38005948066711426,0.23211604356765747,0.138144388794899,0.44038116931915283,0.5829201340675354,0.179859921336174,0.1873185783624649,0.04866964742541313,0.313107967376709,0.1855505406856537,0.539380669593811,-0.008371892385184765,0.23916715383529663
12–4,0.22497637569904327,-0.07857716828584671,0.06233663484454155,0.20359627902507782,0.018460799008607864,0.28045275807380676,0.12571392953395844,0.06233663484454155,-0.04389326274394989,0.0004688211192842573,-0.06414545327425003,0.1484825164079666,0.01567118614912033,0.019164228811860085,-0.08494976907968521,0.4863562285900116
record,0.1772487461566925,0.2188205122947693,0.23569516837596893,0.5028985738754272,0.28325363993644714,0.24326980113983154,0.24185582995414734,0.23569516837596893,0.19634279608726501,0.11516519635915756,0.05960977077484131,0.2587777376174927,0.2865971624851227,0.23162534832954407,0.022880665957927704,0.14407116174697876
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.41471225023269653,0.2653886377811432,0.2316780686378479,0.4464869201183319,0.4933079481124878,0.25173696875572205,0.1808430403470993,-0.0016132977325469255,0.2336544692516327,0.2232367992401123,0.5201468467712402,0.06568983197212219,0.31091248989105225
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.37483206391334534,0.25192898511886597,0.19816012680530548,0.5064792633056641,0.5171257257461548,0.20625516772270203,0.14328375458717346,0.06895173341035843,0.3054477870464325,0.2369309365749359,0.4954058527946472,0.015077123418450356,0.20544172823429108
denied,0.283390611410141,0.2762676775455475,0.22753532230854034,0.18429726362228394,0.17072361707687378,0.15354441106319427,0.28901219367980957,0.22753532230854034,0.15737982094287872,0.12009204924106598,-0.05628032609820366,0.17331862449645996,0.17483200132846832,0.2281353622674942,-0.044214434921741486,0.2030181586742401
the,0.42745697498321533,0.3906462490558624,1.0,0.3793964982032776,0.285271555185318,0.19401417672634125,0.4739971458911896,1.0,0.2052404284477234,0.17987582087516785,-0.01540423184633255,0.3214086890220642,0.2507155239582062,0.6662389636039734,0.1466771513223648,0.22068053483963013
new,0.2130378633737564,0.21711495518684387,0.3845241069793701,0.25223609805107117,0.20104768872261047,0.1538940817117691,0.2700757384300232,0.3845241069793701,0.2101706713438034,0.21747425198554993,-0.008355522528290749,0.21821914613246918,0.17859753966331482,0.3758552670478821,-0.04652296006679535,0.14782847464084625
england,0.21399550139904022,0.3110785484313965,0.28280043601989746,0.2763768434524536,0.23439037799835205,0.11535683274269104,0.2606674134731293,0.28280043601989746,0.2835085093975067,0.18319396674633026,-0.056369803845882416,0.21214137971401215,0.17900700867176056,0.33311840891838074,0.1285318285226822,0.13436897099018097
