,who,spoke,to,luther,about,his,books,on,behalf,of,the,empire,?
johann,0.2507777810096741,0.15281635522842407,0.1611560434103012,0.3837730586528778,0.13302192091941833,0.2528531551361084,0.17506268620491028,0.17273928225040436,0.0645642802119255,0.19805940985679626,0.1716882735490799,0.16664208471775055,0.1194499209523201
eck,0.24915529787540436,0.20194940268993378,0.1271955817937851,0.3661292493343353,0.19855956733226776,0.27123960852622986,0.2603786289691925,0.2982678711414337,0.1752970814704895,0.24540671706199646,0.24178750813007355,0.18429499864578247,0.17439329624176025
",",0.3365725874900818,0.2793640196323395,0.44245919585227966,0.23255878686904907,0.3877100944519043,0.3378419280052185,0.258169561624527,0.49057599902153015,0.23490607738494873,0.4946078956127167,0.4933079481124878,0.27646857500076294,0.31091248989105225
speaking,0.26571694016456604,0.4974942207336426,0.2276923805475235,0.14732424914836884,0.26426997780799866,0.22401155531406403,0.15300601720809937,0.1496996432542801,0.29742199182510376,0.3102818429470062,0.34174251556396484,0.2517453730106354,0.18994855880737305
on,0.2340552806854248,0.2033570408821106,0.41031414270401,0.19090485572814941,0.322975218296051,0.32064297795295715,0.24774901568889618,0.9999999403953552,0.27204787731170654,0.3966929316520691,0.5107308030128479,0.1508585810661316,0.2714994251728058
behalf,0.358695387840271,0.29156768321990967,0.2612593173980713,0.19120970368385315,0.1491541713476181,0.33685311675071716,0.13368810713291168,0.27204787731170654,1.0000001192092896,0.1939983069896698,0.29712867736816406,0.18291954696178436,0.15256446599960327
of,0.2827862501144409,0.21485641598701477,0.41548454761505127,0.1719115972518921,0.40939709544181824,0.38364991545677185,0.18863578140735626,0.3966929316520691,0.1939983069896698,1.0,0.733189046382904,0.30522286891937256,0.1826142966747284
the,0.3733934462070465,0.268061101436615,0.535392165184021,0.1759674996137619,0.37995871901512146,0.4394008219242096,0.23187310993671417,0.5107308030128479,0.29712867736816406,0.733189046382904,1.0,0.32532164454460144,0.22068053483963013
empire,0.18977859616279602,0.21931402385234833,0.21448755264282227,0.10935846716165543,0.15781402587890625,0.22914105653762817,0.16313789784908295,0.1508585810661316,0.18291954696178436,0.30522286891937256,0.32532164454460144,1.0000001192092896,0.14909450709819794
as,0.3923053741455078,0.24983882904052734,0.42092081904411316,0.20242992043495178,0.2989700436592102,0.3146366477012634,0.2024291753768921,0.36047765612602234,0.29583412408828735,0.3886612355709076,0.48381632566452026,0.21108263731002808,0.27043893933296204
assistant,0.30212080478668213,0.09879614412784576,0.2208065390586853,0.14209464192390442,0.11787626147270203,0.26504063606262207,0.09199637174606323,0.10388898849487305,0.20221024751663208,0.1757187694311142,0.14871449768543243,0.09458154439926147,0.08149340003728867
of,0.2827862501144409,0.21485641598701477,0.41548454761505127,0.1719115972518921,0.40939709544181824,0.38364991545677185,0.18863578140735626,0.3966929316520691,0.1939983069896698,1.0,0.733189046382904,0.30522286891937256,0.1826142966747284
the,0.3733934462070465,0.268061101436615,0.535392165184021,0.1759674996137619,0.37995871901512146,0.4394008219242096,0.23187310993671417,0.5107308030128479,0.29712867736816406,0.733189046382904,1.0,0.32532164454460144,0.22068053483963013
archbishop,0.20037373900413513,0.13821925222873688,0.17190921306610107,0.29106980562210083,0.11810863018035889,0.2572711706161499,0.16893702745437622,0.18370163440704346,0.23218491673469543,0.1995917707681656,0.1770705133676529,0.2172054946422577,0.198198139667511
of,0.2827862501144409,0.21485641598701477,0.41548454761505127,0.1719115972518921,0.40939709544181824,0.38364991545677185,0.18863578140735626,0.3966929316520691,0.1939983069896698,1.0,0.733189046382904,0.30522286891937256,0.1826142966747284
trier,0.14997050166130066,0.1786717027425766,0.23880334198474884,0.2880587875843048,0.19686736166477203,0.20193485915660858,0.1566830575466156,0.18858839571475983,0.1413697898387909,0.2698303163051605,0.2949923872947693,0.2053644061088562,0.11322332918643951
",",0.3365725874900818,0.2793640196323395,0.44245919585227966,0.23255878686904907,0.3877100944519043,0.3378419280052185,0.258169561624527,0.49057599902153015,0.23490607738494873,0.4946078956127167,0.4933079481124878,0.27646857500076294,0.31091248989105225
presented,0.19792668521404266,0.24080029129981995,0.24592746794223785,0.15171067416667938,0.18795353174209595,0.27206429839134216,0.216505229473114,0.2615085244178772,0.318806529045105,0.30231305956840515,0.3251480758190155,0.11232968419790268,0.17025142908096313
luther,0.21013082563877106,0.2555777132511139,0.18029534816741943,1.0,0.203048437833786,0.27093374729156494,0.2571197748184204,0.19090485572814941,0.19120970368385315,0.1719115972518921,0.1759674996137619,0.10935846716165543,0.1732746809720993
with,0.3282766342163086,0.22391703724861145,0.4239959120750427,0.14705438911914825,0.3347385823726654,0.33836179971694946,0.12987132370471954,0.40749499201774597,0.21265965700149536,0.41827285289764404,0.4223487675189972,0.16165103018283844,0.2433311939239502
copies,0.18713273108005524,0.1730986386537552,0.2263323962688446,0.2222888320684433,0.19871895015239716,0.15180130302906036,0.3372865617275238,0.22794416546821594,0.17807525396347046,0.17081943154335022,0.2581797242164612,0.12699167430400848,0.16856800019741058
of,0.2827862501144409,0.21485641598701477,0.41548454761505127,0.1719115972518921,0.40939709544181824,0.38364991545677185,0.18863578140735626,0.3966929316520691,0.1939983069896698,1.0,0.733189046382904,0.30522286891937256,0.1826142966747284
his,0.44966956973075867,0.28526192903518677,0.3715193271636963,0.27093374729156494,0.24169853329658508,0.9999998807907104,0.23605668544769287,0.32064297795295715,0.33685311675071716,0.38364991545677185,0.4394008219242096,0.22914105653762817,0.18075084686279297
writings,0.25615644454956055,0.3800743818283081,0.18383939564228058,0.32714858651161194,0.34160128235816956,0.3246472179889679,0.564620316028595,0.1818399876356125,0.16738231480121613,0.24593348801136017,0.21431727707386017,0.22283974289894104,0.1770159751176834
laid,0.14167603850364685,0.17065411806106567,0.1803169697523117,0.10750522464513779,0.19360405206680298,0.1975925862789154,0.056635454297065735,0.2594444751739502,0.15280593931674957,0.3146350383758545,0.30588608980178833,0.1890105903148651,0.11215737462043762
out,0.3129808306694031,0.2384425550699234,0.42386990785598755,0.1738509088754654,0.3289739489555359,0.3022425174713135,0.18842212855815887,0.39060163497924805,0.2349889874458313,0.34176841378211975,0.39404502511024475,0.16471144556999207,0.22020699083805084
on,0.2340552806854248,0.2033570408821106,0.41031414270401,0.19090485572814941,0.322975218296051,0.32064297795295715,0.24774901568889618,0.9999999403953552,0.27204787731170654,0.3966929316520691,0.5107308030128479,0.1508585810661316,0.2714994251728058
a,0.36608949303627014,0.18961507081985474,0.45503583550453186,0.17967689037322998,0.34171196818351746,0.3497250974178314,0.16057591140270233,0.3848365545272827,0.19912302494049072,0.5052502155303955,0.5829201340675354,0.1900206059217453,0.23916715383529663
table,0.10766229033470154,0.05511704459786415,0.1819842904806137,0.08972174674272537,0.10169859230518341,0.12451355159282684,0.15344159305095673,0.19101692736148834,0.10393889248371124,0.20049740374088287,0.22716619074344635,0.10741037130355835,0.1782790720462799
and,0.41279885172843933,0.22097206115722656,0.48971283435821533,0.20796556770801544,0.3875081241130829,0.4234102666378021,0.3090738356113434,0.4077630043029785,0.2360888421535492,0.5116966962814331,0.5171257257461548,0.27479609847068787,0.20544172823429108
asked,0.38866153359413147,0.37467527389526367,0.39673250913619995,0.1481681615114212,0.294788658618927,0.31231561303138733,0.18331469595432281,0.25118568539619446,0.3595705032348633,0.20290979743003845,0.25750473141670227,0.11661674082279205,0.28475281596183777
him,0.5491244792938232,0.3123930096626282,0.4702378511428833,0.25429821014404297,0.2612628638744354,0.6629161238670349,0.21870195865631104,0.2697460651397705,0.37355342507362366,0.2764812409877777,0.39213326573371887,0.21542863547801971,0.23943768441677094
